time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,0.0031415100,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25.0000000000,25.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0020000000,0.0062825239,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25.0000000000,25.0000000000,0.0000000000,0.0359990525,0.0000000000
0.0030000000,0.0094225457,0.0000000336,0.0000666568,0.0843187803,0.0001032701,25.0000000000,25.0000000000,0.3953735440,0.0719924204,0.0000000000
0.0040000000,0.0125610795,0.0000002492,0.0003462445,0.1656756860,0.0004061777,25.0000000000,25.0000000000,0.7908320820,0.1079667815,0.0000000000
0.0050000000,0.0156976299,0.0000010355,0.0011305048,0.2193326875,0.0010240511,25.0000000000,25.0000000000,1.1874646402,0.1438958730,0.0000000000
0.0060000000,0.0188317014,0.0000030602,0.0026636436,0.2486038328,0.0018358367,25.0000000000,25.0000000000,1.5848139982,0.1797302939,0.0000000000
0.0070000000,0.0219627991,0.0000071596,0.0050740841,0.2635195293,0.0027435247,25.0000000000,25.0000000000,1.9818302857,0.2154145239,0.0000000000
0.0080000000,0.0250904287,0.0000142522,0.0084216391,0.2709016120,0.0036937266,25.0000000000,25.0000000000,2.3775561342,0.2509032531,0.0000000000
0.0090000000,0.0282140962,0.0000252920,0.0127303037,0.2744726171,0.0046591518,25.0000000000,25.0000000000,2.7713024782,0.2861641424,0.0000000000
0.0100000000,0.0313333084,0.0000412449,0.0180060019,0.2761255582,0.0056261077,25.0000000000,25.0000000000,3.1626157024,0.3211754459,0.0000000000
0.0110000000,0.0344475727,0.0000630764,0.0242455978,0.2768021479,0.0065877198,25.0000000000,25.0000000000,3.5512073422,0.3559227893,0.0000000000
0.0120000000,0.0375563973,0.0000917458,0.0314413846,0.2769702691,0.0075405038,25.0000000000,25.0000000000,3.9368944479,0.3903965266,0.0000000000
0.0130000000,0.0406592913,0.0001282032,0.0395833213,0.2768643158,0.0084826687,25.0000000000,25.0000000000,4.3195582297,0.4245899048,0.0000000000
0.0140000000,0.0437557647,0.0002391596,0.1841332625,0.3164936108,0.2055416077,25.0000000000,25.0000000000,4.6971232622,0.4584978900,0.0000000000
0.0150000000,0.0468453286,0.0005696369,0.4248375120,0.3943276244,0.2598005100,25.0000000000,25.0000000000,5.0696101975,0.4765923783,0.0000000000
0.0160000000,0.0499274951,0.0011699384,0.7101362308,0.4338125268,0.2983777786,25.0000000000,25.0000000000,5.2684847723,0.4757192556,0.0015339808
0.0170000000,0.0530017775,0.0020737304,1.0220923862,0.4283963805,0.3176844499,25.0000000000,25.0000000000,5.2590639187,0.4426288734,0.0015339808
0.0180000000,0.0560676902,0.0032940554,1.3382596471,0.3605925259,0.3125690435,25.0000000000,25.0000000000,4.8951508683,0.4166943702,0.0030679616
0.0190000000,0.0591247493,0.0048205723,1.6360139591,0.3212322945,0.2869979615,25.0000000000,25.0000000000,4.6092458946,0.3674373262,0.0046019424
0.0200000000,0.0621724718,0.0066227816,1.8960768869,0.2413698595,0.2422220287,25.0000000000,25.0000000000,4.0664858273,0.3173645406,0.0061359232
0.0210000000,0.0652103766,0.0086519926,2.1014261472,0.1663225594,0.1822402370,25.0000000000,25.0000000000,3.5144302724,0.2711467387,0.0092038847
0.0220000000,0.0682379839,0.0108459584,2.2408265722,0.1033476358,0.1134782319,25.0000000000,25.0000000000,3.0045614176,0.2154890190,0.0107378655
0.0230000000,0.0712548156,0.0131297406,2.2984459444,0.0614198036,0.0249817062,25.0000000000,25.0000000000,2.3888571209,0.1889739590,0.0138058271
