time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,0.0000000000,0.0002607307,0.4506225910,0.7575565803,0.5304113394,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0020000000,0.0000000000,0.0010723351,1.0383015204,0.8443249294,0.6168087998,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0015339808
0.0030000000,0.0000000000,0.0025135965,1.6886751361,0.8939687995,0.6662348813,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0030679616
0.0040000000,0.0000000000,0.0046258015,2.3679852635,0.9113366017,0.6833708066,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0046019424
0.0050000000,0.0000000000,0.0074189945,3.0465411791,0.9006478812,0.6724420096,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0076699039
0.0060000000,0.0000000000,0.0108763127,3.6991535133,0.8665155310,0.6380854037,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0107378655
0.0070000000,0.0000000000,0.0149586702,4.3053981760,0.8137237874,0.5851154506,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0153398079
0.0080000000,0.0000000000,0.0196095685,4.8496618003,0.7470300246,0.5183166517,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0199417502
0.0090000000,0.0000000000,0.0247598308,5.3209997009,0.6709957526,0.4422684258,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0245436926
0.0100000000,0.0000000000,0.0303320972,5.7128400481,0.5898485504,0.3612042493,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0306796158
0.0110000000,0.0000000000,0.0362449457,6.0225687665,0.5073755762,0.2789052669,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0368155389
0.0120000000,0.0000000000,0.0424165425,6.2510289814,0.4268482599,0.1986271703,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0429514621
0.0130000000,0.0000000000,0.0487677563,6.4019668946,0.3509767909,0.1230580090,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0490873852
0.0140000000,0.0000000000,0.0552246999,6.4814530921,0.2818920890,0.0543037556,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0552233084
0.0150000000,0.0000000000,0.0617206931,6.4973047340,0.2211521581,-0.0061021149,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0613592315
0.0160000000,0.0000000000,0.0681976594,6.4585301166,0.1697691378,-0.0571690957,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0674951547
0.0170000000,0.0000000000,0.0746069908,6.3748129512,0.1282530155,-0.0984043420,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0751650586
0.0180000000,0.0000000000,0.0809099301,6.2560495547,0.0966678523,-0.1297556981,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0813009818
0.0190000000,0.0000000000,0.0870775273,6.1119481583,0.0746964787,-0.1515469631,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0874369049
0.0200000000,0.0000000000,0.0930902384,5.9516958234,0.0617098851,-0.1644089875,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0935728281
0.0210000000,0.0000000000,0.0989372339,5.7836951027,0.0568379254,-0.1692097915,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0981747704
0.0220000000,0.0000000000,0.1046154877,5.6153696772,0.0590384229,-0.1669864487,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1043106936
0.0230000000,0.0000000000,0.1101287126,5.4530357523,0.0671622829,-0.1588809904,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1104466167
0.0240000000,0.0000000000,0.1154862062,5.3018340517,0.0800127416,-0.1460820974,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1150485591
0.0250000000,0.0000000000,0.1207016625,5.1657157827,0.0963973982,-0.1297738631,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1211844822
0.0260000000,0.0000000000,0.1257919994,5.0474749478,0.1151721658,-0.1110924561,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1257864246
0.0270000000,0.0000000000,0.1307762427,4.9488188161,0.1352767167,-0.0910910960,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1303883670
0.0280000000,0.0000000000,0.1356745001,4.8704681860,0.1557613926,-0.0707133858,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1349903093
0.0290000000,0.0000000000,0.1405070497,4.8122792290,0.1758058765,-0.0507747306,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1411262325
0.0300000000,0.0000000000,0.1452935590,4.7733791414,0.1947301896,-0.0319513165,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1457281748
0.0310000000,0.0000000000,0.1500524450,4.7523084829,0.2119987804,-0.0147759198,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1503301172
0.0320000000,0.0000000000,0.1548003768,4.7471639087,0.2272186112,0.0003603207,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1549320596
0.0330000000,0.0000000000,0.1595519181,4.7557359256,0.2401322315,0.0132011314,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1595340019
0.0340000000,0.0000000000,0.1643193029,4.7756372983,0.2506068620,0.0236143323,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1641359443
0.0350000000,0.0000000000,0.1691123302,4.8044187330,0.2586205011,0.0315780680,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1687378867
0.0360000000,0.0000000000,0.1739383669,4.8396694468,0.2642460215,0.0371650024,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1733398290
0.0370000000,0.0000000000,0.1788024396,4.8791011516,0.2676341485,0.0405253723,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1794757522
0.0380000000,0.0000000000,0.1837074006,4.9206148217,0.2689961200,0.0418697023,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1840776945
0.0390000000,0.0000000000,0.1886541489,4.9623503493,0.2685867147,0.0414518766,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1886796369
0.0400000000,0.0000000000,0.1936418918,5.0027198152,0.2666882216,0.0395531451,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1932815793
0.0410000000,0.0000000000,0.1986684292,5.0404256032,0.2635958010,0.0364675186,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.1994175024
0.0420000000,0.0000000000,0.2037304479,5.0744649675,0.2596045706,0.0324888913,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.2040194448
0.0430000000,0.0000000000,0.2088238124,5.1041229250,0.2549986338,0.0279001075,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.2086213872
