time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,0.0000000000,0.0000000000,0.0000000000,0.7996129950,0.5729760885,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0020000000,0.0000000000,0.0000000000,0.0000000000,0.9594174647,0.7328497209,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0030000000,0.0000000000,0.0000000000,0.0000000000,1.1063686972,0.8802126830,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0040000000,0.0000000000,0.0000000000,0.0000000000,1.2425892024,1.0169998172,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0050000000,0.0000000000,0.0000000000,0.0000000000,1.3688852713,1.1439797980,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0060000000,0.0000000000,0.0000000000,0.0000000000,1.4859985258,1.2618622124,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0070000000,0.0000000000,0.0000000000,0.0000000000,1.5946131310,1.3713041766,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0080000000,0.0000000000,0.0000000000,0.0000000000,1.6953602602,1.4729143952,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0090000000,0.0000000000,0.0000000000,0.0000000000,1.7888222871,1.5672568824,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0100000000,0.0000000000,0.0000000000,0.0000000000,1.8755366971,1.6548543767,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0110000000,0.0000000000,0.0000000000,0.0000000000,1.9559997127,1.7361914759,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0120000000,0.0000000000,0.0000000000,0.0000000000,2.0306696397,1.8117175158,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0130000000,0.0000000000,0.0000000000,0.0000000000,2.0999699409,1.8818492169,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
