time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,0.0000000000,-0.0015136132,-2.3556184273,2.0944767920,0.4953531933,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0015339808
0.0020000000,0.0000000000,-0.0050350166,-4.1497514183,1.8329299794,1.0659272878,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0046019424
0.0030000000,0.0000000000,-0.0100062486,-5.3996744116,1.6318259099,1.5891972790,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0107378655
0.0040000000,0.0000000000,-0.0159205381,-6.1668504299,1.7240187269,2.0471685235,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0153398079
0.0050000000,0.0000000000,-0.0223364896,-6.5174725891,1.9906466974,2.4389335363,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0230097118
0.0060000000,0.0000000000,-0.0288787664,-6.5174207439,2.3200629701,2.7650239275,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0291456350
0.0070000000,0.0000000000,-0.0352375089,-6.2318773974,2.6469157283,3.0263206316,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0352815581
0.0080000000,0.0000000000,-0.0411665156,-5.7219316439,2.9195615786,3.2347295919,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0414174813
0.0090000000,0.0000000000,-0.0464579540,-5.0098371633,2.9887408251,3.4280567477,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0460194236
0.0100000000,0.0000000000,-0.0509340355,-4.1396294367,2.9986705174,3.5648066850,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0506213660
0.0110000000,0.0000000000,-0.0544723074,-3.1683716265,3.0001002068,3.6445612327,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0552233084
0.0120000000,0.0000000000,-0.0570067775,-2.1518320265,3.0003074295,3.6695979632,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0567572892
0.0130000000,0.0000000000,-0.0585250535,-1.1420275486,3.0003363298,3.6444991921,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0582912699
0.0140000000,0.0000000000,-0.0590632897,-0.1851992186,3.0003368243,3.5756970395,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0598252507
0.0150000000,0.0000000000,-0.0586994083,0.6797312548,3.0003301850,3.4709801829,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0582912699
0.0160000000,0.0000000000,-0.0575450892,1.4222026231,3.0003185907,3.3389894061,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0582912699
0.0170000000,0.0000000000,-0.0557370324,2.0205574833,3.0002998266,3.1887268068,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0552233084
0.0180000000,0.0000000000,-0.0534279727,2.4621160719,3.0002629194,3.0291019953,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0536893276
0.0190000000,0.0000000000,-0.0507777398,2.7432910170,2.9972096411,2.8698658279,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0506213660
0.0200000000,0.0000000000,-0.0479423369,2.8727853857,2.9729263364,2.7243756570,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0475534044
0.0210000000,0.0000000000,-0.0450609593,2.8718409639,2.9103436576,2.6035822483,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0444854428
0.0220000000,0.0000000000,-0.0422480266,2.7660420631,2.8233537711,2.5081210659,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0429514621
0.0230000000,0.0000000000,-0.0395930315,2.5797637101,2.7334364521,2.4364137509,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0398835005
0.0240000000,0.0000000000,-0.0371621726,2.3356196889,2.6537629513,2.3866053452,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0368155389
0.0250000000,0.0000000000,-0.0350002760,2.0542032771,2.5903972838,2.3565708931,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0352815581
0.0260000000,0.0000000000,-0.0331329907,1.7538072946,2.5451984825,2.3439086038,25.0000000000,25.0000000000,11.1000000000,1.0000000000,-0.0337475773
