time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,0.0000000000,0.0000570566,0.1226532661,2.3123612864,0.2203107318,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0000000000
0.0020000000,0.0000000000,0.0004016217,0.5092502490,1.8217584563,0.4789983608,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0000000000
0.0030000000,0.0000000000,0.0012720002,1.1084801955,1.2983187827,0.6609296958,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0015339808
0.0040000000,0.0000000000,0.0028304627,1.8404850652,1.0446008629,0.7660308418,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0030679616
0.0050000000,0.0000000000,0.0051666917,2.6383679085,0.9575796589,0.8103718885,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0046019424
0.0060000000,0.0000000000,0.0083132525,3.4505610969,0.9352477798,0.8082366475,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0076699039
0.0070000000,0.0000000000,0.0122590645,4.2377989957,0.9223599547,0.7708399177,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0122718463
0.0080000000,0.0000000000,0.0169600909,4.9706701268,0.8957216336,0.7073428301,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0168737887
0.0090000000,0.0000000000,0.0223481690,5.6280645582,0.8487958901,0.6255935251,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0230097118
0.0100000000,0.0000000000,0.0283386111,6.1960871763,0.7826925833,0.5324483378,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0276116542
0.0110000000,0.0000000000,0.0348368362,6.6671338446,0.7016356374,0.4338625378,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0352815581
0.0120000000,0.0000000000,0.0417441015,7.0389956218,0.6108056027,0.3348937733,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0414174813
0.0130000000,0.0000000000,0.0489623328,7.3139541471,0.5153294933,0.2396917767,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0490873852
0.0140000000,0.0000000000,0.0563980484,7.4978760535,0.4198110870,0.1515051272,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0567572892
0.0150000000,0.0000000000,0.0639653896,7.5993303757,0.3281213524,0.0727143453,25.0000000000,25.0000000000,12.6000000000,1.0000000000,0.0644271931
