time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,0.0000000000,-0.0006644579,-1.0236602551,1.6843983656,0.2907215943,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0020000000,0.0000000000,-0.0021448370,-1.7125605387,1.4169796983,0.6281719904,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0015339808
0.0030000000,0.0000000000,-0.0041156716,-2.0900881915,1.1632114437,0.9205991346,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0046019424
0.0040000000,0.0000000000,-0.0062980805,-2.2087218880,1.1252696114,1.1597250851,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0061359232
0.0050000000,0.0000000000,-0.0084652028,-2.1190923851,1.2180111800,1.3501192214,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0092038847
0.0060000000,0.0000000000,-0.0104377098,-1.8669251040,1.3593585386,1.4964646261,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0107378655
0.0070000000,0.0000000000,-0.0120793517,-1.4938034656,1.5025983089,1.6026474693,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0122718463
0.0080000000,0.0000000000,-0.0132931114,-1.0375568705,1.6256013549,1.6724190850,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0138058271
0.0090000000,0.0000000000,-0.0140173829,-0.5321056875,1.7196428255,1.7098109258,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0138058271
0.0100000000,0.0000000000,-0.0142218455,-0.0071098535,1.7828127275,1.7192161872,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0138058271
0.0110000000,0.0000000000,-0.0139030029,0.5123378514,1.8166262215,1.7052872353,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0138058271
0.0120000000,0.0000000000,-0.0130795063,1.0058652437,1.8243215217,1.6727624494,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0138058271
0.0130000000,0.0000000000,-0.0117874371,1.4577921790,1.8099689390,1.6262841519,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0122718463
0.0140000000,0.0000000000,-0.0100757273,1.8569311601,1.7779627243,1.5702368369,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0107378655
0.0150000000,0.0000000000,-0.0080018707,2.1962459048,1.7327016989,1.5086178100,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0076699039
0.0160000000,0.0000000000,-0.0056280446,2.4724029410,1.6783738181,1.4449437483,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0061359232
0.0170000000,0.0000000000,-0.0030177281,2.6852518553,1.6188074829,1.3821923292,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0030679616
0.0180000000,0.0000000000,-0.0002328654,2.8372674448,1.5573722387,1.3227758190,25.0000000000,25.0000000000,9.0000000000,1.0000000000,-0.0000000000
0.0190000000,0.0000000000,0.0026684046,2.9329831180,1.4969193269,1.2685423363,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0030679616
0.0200000000,0.0000000000,0.0056334609,2.9784402256,1.4397554542,1.2207999620,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0061359232
0.0210000000,0.0000000000,0.0086163827,2.9806730514,1.3876441403,1.1803587085,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0092038847
0.0220000000,0.0000000000,0.0115786477,2.9472442651,1.3418293609,1.1475854841,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0122718463
0.0230000000,0.0000000000,0.0144894032,2.8858409579,1.3030764255,1.1224675054,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0138058271
0.0240000000,0.0000000000,0.0173253741,2.8039371103,1.2717253033,1.1046800605,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0168737887
0.0250000000,0.0000000000,0.0200704764,2.7085245777,1.2477519790,1.0936550743,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0199417502
0.0260000000,0.0000000000,0.0227152034,2.6059115037,1.2308338894,1.0886475195,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0230097118
0.0270000000,0.0000000000,0.0252558520,2.5015844911,1.2204160285,1.0887973301,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0245436926
0.0280000000,0.0000000000,0.0276936462,2.4001288995,1.2157748874,1.0931850722,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0276116542
0.0290000000,0.0000000000,0.0300338148,2.3052002454,1.2160779872,1.1008801931,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0306796158
0.0300000000,0.0000000000,0.0322846675,2.2195388308,1.2204373435,1.1109811824,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0322135965
