time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,0.0000000000,0.0000398149,0.0857525316,1.6601284654,0.1544713524,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0020000000,0.0000000000,0.0002815663,0.3576319776,1.3172591785,0.3371701890,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0030000000,0.0000000000,0.0008935995,0.7798292451,0.9470551492,0.4658457239,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0015339808
0.0040000000,0.0000000000,0.0019907039,1.2959911967,0.7671517453,0.5402620091,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0015339808
0.0050000000,0.0000000000,0.0036364008,1.8588551417,0.7053195508,0.5717456951,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0030679616
0.0060000000,0.0000000000,0.0058538528,2.4319820615,0.6894311592,0.5703875713,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0061359232
0.0070000000,0.0000000000,0.0086353803,2.9876246485,0.6803488860,0.5441109255,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0092038847
0.0080000000,0.0000000000,0.0119500135,3.5049963718,0.6616162902,0.4993862473,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0122718463
0.0090000000,0.0000000000,0.0157497288,3.9691732726,0.6285770834,0.4417555551,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0153398079
0.0100000000,0.0000000000,0.0199748161,4.3703259940,0.5819953524,0.3760602881,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0199417502
0.0110000000,0.0000000000,0.0245585621,4.7030675637,0.5248445041,0.3065059145,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0245436926
0.0120000000,0.0000000000,0.0294312973,4.9658212832,0.4607785835,0.2366645374,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0291456350
0.0130000000,0.0000000000,0.0345238082,5.1601824298,0.3934164761,0.1694676202,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0352815581
0.0140000000,0.0000000000,0.0397701090,5.2902792121,0.3260090573,0.1072106762,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0398835005
0.0150000000,0.0000000000,0.0451095838,5.3621498565,0.2612906163,0.0515765252,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0444854428
0.0160000000,0.0000000000,0.0504885250,5.3831545039,0.2014245761,0.0036767453,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0506213660
0.0170000000,0.0000000000,0.0558611154,5.3614381961,0.1480018759,-0.0358919539,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0552233084
0.0180000000,0.0000000000,0.0611899118,5.3054572416,0.1020713009,-0.0669807011,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0613592315
0.0190000000,0.0000000000,0.0664447442,5.2210158344,0.0771727193,-0.0946495270,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0659611739
0.0200000000,0.0000000000,0.0715992740,5.1120174819,0.0710131814,-0.1166016706,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0720970970
0.0210000000,0.0000000000,0.0766336353,4.9861674234,0.0675956524,-0.1304067051,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0766990394
0.0220000000,0.0000000000,0.0815359152,4.8512731954,0.0651502438,-0.1366978805,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0813009818
0.0230000000,0.0000000000,0.0863015185,4.7143577692,0.0644419173,-0.1362517756,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0859029241
0.0240000000,0.0000000000,0.0909323856,4.5816540626,0.0654265744,-0.1298940827,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0905048665
0.0250000000,0.0000000000,0.0954361239,4.4584697889,0.0678157426,-0.1186090642,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0951068088
0.0260000000,0.0000000000,0.0998249956,4.3490560309,0.0713246536,-0.1034872797,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0997087512
0.0270000000,0.0000000000,0.1041148175,4.2565454755,0.0756660567,-0.0856561741,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1043106936
0.0280000000,0.0000000000,0.1083238368,4.1829507584,0.0805496723,-0.0662251419,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1089126359
0.0290000000,0.0000000000,0.1124716378,4.1292118427,0.0856957368,-0.0462395488,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1119805975
0.0300000000,0.0000000000,0.1165781213,4.0952844678,0.0908468387,-0.0266427249,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1165825399
0.0310000000,0.0000000000,0.1206625936,4.0802610662,0.0957765164,-0.0082469135,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1211844822
0.0320000000,0.0000000000,0.1247429908,4.0825097443,0.1003349670,0.0082643416,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1242524438
0.0330000000,0.0000000000,0.1288350420,4.0993832224,0.1066081290,0.0215814720,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1288543862
0.0340000000,0.0000000000,0.1329511720,4.1273492944,0.1153105775,0.0313763885,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1334563285
0.0350000000,0.0000000000,0.1371003743,4.1630933895,0.1242641250,0.0379901667,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1365242901
0.0360000000,0.0000000000,0.1412885547,4.2036667923,0.1318648104,0.0417960839,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1411262325
0.0370000000,0.0000000000,0.1455189067,4.2465004334,0.1373804026,0.0431774677,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1457281748
0.0380000000,0.0000000000,0.1497922976,4.2894145010,0.1406361293,0.0425267719,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1503301172
0.0390000000,0.0000000000,0.1541076613,4.3306241661,0.1417553600,0.0402393472,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1533980788
0.0400000000,0.0000000000,0.1584623923,4.3687359712,0.1410082201,0.0367027061,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1580000212
0.0410000000,0.0000000000,0.1628527286,4.4027326461,0.1387293625,0.0322848238,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1626019635
0.0420000000,0.0000000000,0.1672741118,4.4319469187,0.1352724175,0.0273237476,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1672039059
0.0430000000,0.0000000000,0.1717215162,4.4560263628,0.1309832447,0.0221195633,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1718058482
0.0440000000,0.0000000000,0.1761897380,4.4748918738,0.1261833326,0.0169290303,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1764077906
0.0450000000,0.0000000000,0.1806736403,4.4886924171,0.1211593311,0.0119628117,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1810097330
0.0460000000,0.0000000000,0.1851683523,4.4977584864,0.1161567934,0.0073850312,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.1856116753
