time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,1.0471975512,-0.0002947343,-0.4638783505,0.0036995425,0.0596602489,25.0000000000,25.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0020000000,1.0471975512,-0.0010117645,-0.8595950973,0.0108279028,0.1326802969,25.0000000000,25.0000000000,0.0000000000,1.0000000000,-0.0015339808
0.0030000000,1.0471975512,-0.0020309840,-1.0795264877,2.0861093627,0.3896088430,25.0000000000,25.0000000000,10.9956945319,1.0000000000,-0.0015339808
0.0040000000,1.0471975512,-0.0030856352,-1.0040460703,1.7355100319,0.6805851904,25.0000000000,25.0000000000,11.0132244984,1.0000000000,-0.0030679616
0.0050000000,1.0471975512,-0.0039027267,-0.6782268733,1.3572463484,0.9035638242,25.0000000000,25.0000000000,11.0321376826,1.0000000000,-0.0046019424
0.0060000000,1.0471975512,-0.0042773038,-0.1743845112,1.2065889903,1.0558779315,25.0000000000,25.0000000000,11.0396705505,1.0000000000,-0.0046019424
0.0070000000,1.0471975512,-0.0040719535,0.4440253123,1.1943530006,1.1493090685,25.0000000000,25.0000000000,11.0402823500,1.0000000000,-0.0046019424
0.0080000000,1.0471975512,-0.0032053387,1.1251788125,1.2326786428,1.1948813696,25.0000000000,25.0000000000,11.0383660679,1.0000000000,-0.0030679616
0.0090000000,1.0471975512,-0.0016417003,1.8270058638,1.2732699992,1.2016534094,25.0000000000,25.0000000000,11.0363365000,1.0000000000,-0.0015339808
0.0100000000,1.0471975512,0.0006178789,2.5156568645,1.2951910249,1.1774302156,25.0000000000,25.0000000000,11.0352404488,1.0000000000,0.0000000000
0.0110000000,1.0471975512,0.0035430923,3.1645952594,1.2920801483,1.1292691355,25.0000000000,25.0000000000,11.0353959926,1.0000000000,0.0030679616
0.0120000000,1.0471975512,0.0070813254,3.7539802345,1.2645764221,1.0636564425,25.0000000000,25.0000000000,11.0367711789,1.0000000000,0.0076699039
0.0130000000,1.0471975512,0.0111640005,4.2701027151,1.2164166134,0.9865049425,25.0000000000,25.0000000000,11.0391791693,1.0000000000,0.0107378655
0.0140000000,1.0471975512,0.0157123309,4.7047725832,1.1525026624,0.9030879263,25.0000000000,25.0000000000,11.0423748669,1.0000000000,0.0153398079
0.0150000000,1.0471975512,0.0206424175,5.0546347365,1.0779404861,0.8179698713,25.0000000000,25.0000000000,11.0461029757,1.0000000000,0.0199417502
0.0160000000,1.0471975512,0.0258696249,5.3204289371,0.9975502495,0.7349599403,25.0000000000,25.0000000000,11.0501224875,1.0000000000,0.0260776734
0.0170000000,1.0471975512,0.0313121973,5.5062223494,0.9156130011,0.6570965394,25.0000000000,25.0000000000,11.0542193499,1.0000000000,0.0306796158
0.0180000000,1.0471975512,0.0368941072,5.6186461057,0.8357448457,0.5866626846,25.0000000000,25.0000000000,11.0582127577,1.0000000000,0.0368155389
0.0190000000,1.0471975512,0.0425471592,5.6661643460,0.7608470517,0.5252280973,25.0000000000,25.0000000000,11.0619576474,1.0000000000,0.0429514621
0.0200000000,1.0471975512,0.0482123957,5.6583990180,0.6931057500,0.4737124235,25.0000000000,25.0000000000,11.0653447125,1.0000000000,0.0475534044
0.0210000000,1.0471975512,0.0538408723,5.6055278265,0.6340259532,0.4324635966,25.0000000000,25.0000000000,11.0682987023,1.0000000000,0.0536893276
0.0220000000,1.0471975512,0.0593938831,5.5177668458,0.5844895972,0.4013455903,25.0000000000,25.0000000000,11.0707755201,1.0000000000,0.0598252507
0.0230000000,1.0471975512,0.0648427254,5.4049438791,0.5448297368,0.3798303539,25.0000000000,25.0000000000,11.0727585132,1.0000000000,0.0644271931
0.0240000000,1.0471975512,0.0701680953,5.2761638794,0.5149144511,0.3670894357,25.0000000000,25.0000000000,11.0742542774,1.0000000000,0.0705631162
0.0250000000,1.0471975512,0.0753592042,5.1395637467,0.4942350575,0.3620816010,25.0000000000,25.0000000000,11.0752882471,1.0000000000,0.0751650586
0.0260000000,1.0471975512,0.0804127042,5.0021506327,0.4819941469,0.3636335627,25.0000000000,25.0000000000,11.0759002927,1.0000000000,0.0797670010
0.0270000000,1.0471975512,0.0853314984,4.8697155004,0.4771898126,0.3705117394,25.0000000000,25.0000000000,11.0761405094,1.0000000000,0.0859029241
0.0280000000,1.0471975512,0.0901235068,4.7468120711,0.4786932754,0.3814836936,25.0000000000,25.0000000000,11.0760653362,1.0000000000,0.0905048665
0.0290000000,1.0471975512,0.0948004466,4.6367903610,0.4853178826,0.3953685657,25.0000000000,25.0000000000,11.0757341059,1.0000000000,0.0951068088
0.0300000000,1.0471975512,0.0993766730,4.5418736943,0.4958781844,0.4110763950,25.0000000000,25.0000000000,11.0752060908,1.0000000000,0.0997087512
0.0310000000,1.0471975512,0.1038681198,4.4632682766,0.5092384255,0.4276366934,25.0000000000,25.0000000000,11.0745380787,1.0000000000,0.1043106936
0.0320000000,1.0471975512,0.1082913622,4.4012950184,0.5243503484,0.4442170153,25.0000000000,25.0000000000,11.0737824826,1.0000000000,0.1089126359
0.0330000000,1.0471975512,0.1126628221,4.3555342252,0.5402806600,0.4601325432,25.0000000000,25.0000000000,11.0729859670,1.0000000000,0.1119805975
0.0340000000,1.0471975512,0.1169981207,4.3249749149,0.5562288769,0.4748478984,25.0000000000,25.0000000000,11.0721885562,1.0000000000,0.1165825399
0.0350000000,1.0471975512,0.1213115788,4.3081618012,0.5715365309,0.4879724896,25.0000000000,25.0000000000,11.0714231735,1.0000000000,0.1211844822
0.0360000000,1.0471975512,0.1256158611,4.3033343216,0.5856888985,0.4992507406,25.0000000000,25.0000000000,11.0707155551,1.0000000000,0.1257864246
0.0370000000,1.0471975512,0.1299217506,4.3085534150,0.5983105154,0.5085485142,25.0000000000,25.0000000000,11.0700844742,1.0000000000,0.1303883670
0.0380000000,1.0471975512,0.1342380414,4.3218130247,0.6091557693,0.5158369673,25.0000000000,25.0000000000,11.0695422115,1.0000000000,0.1349903093
0.0390000000,1.0471975512,0.1385715319,4.3411344703,0.6180958347,0.5211749586,25.0000000000,25.0000000000,11.0690952083,1.0000000000,0.1380582709
0.0400000000,1.0471975512,0.1429271016,4.3646428650,0.6251031396,0.5246909906,25.0000000000,25.0000000000,11.0687448430,1.0000000000,0.1426602133
0.0410000000,1.0471975512,0.1473078525,4.3906256405,0.6302344413,0.5265655095,25.0000000000,25.0000000000,11.0684882779,1.0000000000,0.1472621556
0.0420000000,1.0471975512,0.1517152988,4.4175739662,0.6336134565,0.5270142287,25.0000000000,25.0000000000,11.0683193272,1.0000000000,0.1518640980
0.0430000000,1.0471975512,0.1561495879,4.4442084107,0.6354138363,0.5262729757,25.0000000000,25.0000000000,11.0682293082,1.0000000000,0.1564660404
0.0440000000,1.0471975512,0.1606097379,4.4694906015,0.6358431271,0.5245844158,25.0000000000,25.0000000000,11.0682078436,1.0000000000,0.1610679827
0.0450000000,1.0471975512,0.1650938795,4.4926229014,0.6351281982,0.5221868625,25.0000000000,25.0000000000,11.0682435901,1.0000000000,0.1656699251
0.0460000000,1.0471975512,0.1695994910,4.5130382505,0.6335024742,0.5193052609,25.0000000000,25.0000000000,11.0683248763,1.0000000000,0.1702718675
0.0470000000,1.0471975512,0.1741236182,4.5303823464,0.6311951755,0.5161443304,25.0000000000,25.0000000000,11.0684402412,1.0000000000,0.1748738098
0.0480000000,1.0471975512,0.1786630731,4.5444902608,0.6284226494,0.5128837592,25.0000000000,25.0000000000,11.0685788675,1.0000000000,0.1779417714
0.0490000000,1.0471975512,0.1832146062,4.5553594440,0.6253817772,0.5096752856,25.0000000000,25.0000000000,11.0687309111,1.0000000000,0.1825437138
0.0500000000,1.0471975512,0.1877750515,4.5631208731,0.6222453556,0.5066414476,25.0000000000,25.0000000000,11.0688877322,1.0000000000,0.1871456561
0.0510000000,1.0471975512,0.1923414411,4.5680098583,0.6191592923,0.5038757557,25.0000000000,25.0000000000,11.0690420354,1.0000000000,0.1917475985
0.0520000000,1.0471975512,0.1969110924,4.5703377686,0.6162414060,0.5014440268,25.0000000000,25.0000000000,11.0691879297,1.0000000000,0.1963495408
0.0530000000,1.0471975512,0.2014816671,4.5704656748,0.6135815947,0.4993866191,25.0000000000,25.0000000000,11.0693209203,1.0000000000,0.2009514832
0.0540000000,1.0471975512,0.2060512059,4.5687806507,0.6112431209,0.4977213135,25.0000000000,25.0000000000,11.0694378440,1.0000000000,0.2055534256
0.0550000000,1.0471975512,0.2106181415,4.5656752319,0.6092647627,0.4964466096,25.0000000000,25.0000000000,11.0695367619,1.0000000000,0.2101553679
0.0560000000,1.0471975512,0.2151812930,4.5615303132,0.6076635863,0.4955452255,25.0000000000,25.0000000000,11.0696168207,1.0000000000,0.2147573103
0.0570000000,1.0471975512,0.2197398457,4.5567015749,0.6064381172,0.4949876226,25.0000000000,25.0000000000,11.0696780941,1.0000000000,0.2193592527
0.0580000000,1.0471975512,0.2242933190,4.5515093647,0.6055717067,0.4947354044,25.0000000000,25.0000000000,11.0697214147,1.0000000000,0.2239611950
0.0590000000,1.0471975512,0.2288415268,4.5462318370,0.6050359223,0.4947444745,25.0000000000,25.0000000000,11.0697482039,1.0000000000,0.2285631374
0.0600000000,1.0471975512,0.2333845326,4.5411010476,0.6047938172,0.4949678644,25.0000000000,25.0000000000,11.0697603091,1.0000000000,0.2331650798
0.0610000000,1.0471975512,0.2379226020,4.5363016408,0.6048029668,0.4953581757,25.0000000000,25.0000000000,11.0697598517,1.0000000000,0.2377670221
0.0620000000,1.0471975512,0.2424561565,4.5319717172,0.6050181886,0.4958696041,25.0000000000,25.0000000000,11.0697490906,1.0000000000,0.2423689645
0.0630000000,1.0471975512,0.2469857276,4.5282054598,0.6053938906,0.4964595372,25.0000000000,25.0000000000,11.0697303055,1.0000000000,0.2469709068
0.0640000000,1.0471975512,0.2515119159,4.5250570962,0.6058860175,0.4970897362,25.0000000000,25.0000000000,11.0697056991,1.0000000000,0.2515728492
0.0650000000,1.0471975512,0.2560353537,4.5225457954,0.6064535867,0.4977271272,25.0000000000,25.0000000000,11.0696773207,1.0000000000,0.2561747916
0.0660000000,1.0471975512,0.2605566736,4.5206611331,0.6070598245,0.4983442385,25.0000000000,25.0000000000,11.0696470088,1.0000000000,0.2607767339
0.0670000000,1.0471975512,0.2650764826,4.5193687963,0.6076729261,0.4989193311,25.0000000000,25.0000000000,11.0696163537,1.0000000000,0.2653786763
0.0680000000,1.0471975512,0.2695953413,4.5186162542,0.6082664766,0.4994362690,25.0000000000,25.0000000000,11.0695866762,1.0000000000,0.2699806187
0.0690000000,1.0471975512,0.2741137494,4.5183381648,0.6088195749,0.4998841832,25.0000000000,25.0000000000,11.0695590213,1.0000000000,0.2745825610
0.0700000000,1.0471975512,0.2786321362,4.5184613445,0.6093167095,0.5002569790,25.0000000000,25.0000000000,11.0695341645,1.0000000000,0.2791845034
0.0710000000,1.0471975512,0.2831508551,4.5189091733,0.6097474343,0.5005527350,25.0000000000,25.0000000000,11.0695126283,1.0000000000,0.2837864458
0.0720000000,1.0471975512,0.2876701829,4.5196053560,0.6101058947,0.5007730380,25.0000000000,25.0000000000,11.0694947053,1.0000000000,0.2883883881
0.0730000000,1.0471975512,0.2921903221,4.5204769988,0.6103902494,0.5009222917,25.0000000000,25.0000000000,11.0694804875,1.0000000000,0.2914563497
0.0740000000,1.0471975512,0.2967114055,4.5214569981,0.6106020304,0.5010070341,25.0000000000,25.0000000000,11.0694698985,1.0000000000,0.2960582921
0.0750000000,1.0471975512,0.3012335038,4.5224857645,0.6107454781,0.5010352876,25.0000000000,25.0000000000,11.0694627261,1.0000000000,0.3006602344
0.0760000000,1.0471975512,0.3057566331,4.5235123317,0.6108268846,0.5010159651,25.0000000000,25.0000000000,11.0694586558,1.0000000000,0.3052621768
0.0770000000,1.0471975512,0.3102807644,4.5244949128,0.6108539689,0.5009583447,25.0000000000,25.0000000000,11.0694573016,1.0000000000,0.3098641192
0.0780000000,1.0471975512,0.3148058326,4.5254009798,0.6108353057,0.5008716237,25.0000000000,25.0000000000,11.0694582347,1.0000000000,0.3144660615
0.0790000000,1.0471975512,0.3193317459,4.5262069494,0.6107798198,0.5007645548,25.0000000000,25.0000000000,11.0694610090,1.0000000000,0.3190680039
0.0800000000,1.0471975512,0.3238583939,4.5268975566,0.6106963577,0.5006451658,25.0000000000,25.0000000000,11.0694651821,1.0000000000,0.3236699462
0.0810000000,1.0471975512,0.3283856558,4.5274649988,0.6105933377,0.5005205592,25.0000000000,25.0000000000,11.0694703331,1.0000000000,0.3282718886
0.0820000000,1.0471975512,0.3329134073,4.5279079252,0.6104784805,0.5003967853,25.0000000000,25.0000000000,11.0694760760,1.0000000000,0.3328738310
0.0830000000,1.0471975512,0.3374415259,4.5282303420,0.6103586161,0.5002787811,25.0000000000,25.0000000000,11.0694820692,1.0000000000,0.3374757733
0.0840000000,1.0471975512,0.3419698959,4.5284404924,0.6102395626,0.5001703663,25.0000000000,25.0000000000,11.0694880219,1.0000000000,0.3420777157
0.0850000000,1.0471975512,0.3464984121,4.5285497626,0.6101260668,0.5000742853,25.0000000000,25.0000000000,11.0694936967,1.0000000000,0.3466796581
0.0860000000,1.0471975512,0.3510269818,4.5285716528,0.6100218010,0.4999922862,25.0000000000,25.0000000000,11.0694989100,1.0000000000,0.3512816004
0.0870000000,1.0471975512,0.3555555268,4.5285208463,0.6099294032,0.4999252271,25.0000000000,25.0000000000,11.0695035298,1.0000000000,0.3558835428
0.0880000000,1.0471975512,0.3600839838,4.5284123946,0.6098505534,0.4998731990,25.0000000000,25.0000000000,11.0695074723,1.0000000000,0.3604854852
0.0890000000,1.0471975512,0.3646123044,4.5282610337,0.6097860753,0.4998356591,25.0000000000,25.0000000000,11.0695106962,1.0000000000,0.3650874275
0.0900000000,1.0471975512,0.3691404544,4.5280806347,0.6097360552,0.4998115661,25.0000000000,25.0000000000,11.0695131972,1.0000000000,0.3696893699
0.0910000000,1.0471975512,0.3736684129,4.5278837882,0.6096999701,0.4997995119,25.0000000000,25.0000000000,11.0695150015,1.0000000000,0.3742913122
0.0920000000,1.0471975512,0.3781961703,4.5276815153,0.6096768175,0.4997978449,25.0000000000,25.0000000000,11.0695161591,1.0000000000,0.3788932546
0.0930000000,1.0471975512,0.3827237271,4.5274830945,0.6096652425,0.4998047813,25.0000000000,25.0000000000,11.0695167379,1.0000000000,0.3819612162
0.0940000000,1.0471975512,0.3872510922,4.5272959916,0.6096636560,0.4998185018,25.0000000000,25.0000000000,11.0695168172,1.0000000000,0.3865631585
0.0950000000,1.0471975512,0.3917782803,4.5271258758,0.6096703420,0.4998372329,25.0000000000,25.0000000000,11.0695164829,1.0000000000,0.3911651009
0.0960000000,1.0471975512,0.3963053112,4.5269767075,0.6096835504,0.4998593113,25.0000000000,25.0000000000,11.0695158225,1.0000000000,0.3957670433
0.0970000000,1.0471975512,0.4008322074,4.5268508801,0.6097015755,0.4998832331,25.0000000000,25.0000000000,11.0695149212,1.0000000000,0.4003689856
0.0980000000,1.0471975512,0.4053589930,4.5267494011,0.6097228176,0.4999076865,25.0000000000,25.0000000000,11.0695138591,1.0000000000,0.4049709280
0.0990000000,1.0471975512,0.4098856922,4.5266720980,0.6097458303,0.4999315721,25.0000000000,25.0000000000,11.0695127085,1.0000000000,0.4095728704
0.1000000000,1.0471975512,0.4144123286,4.5266178356,0.6097693523,0.4999540096,25.0000000000,25.0000000000,11.0695115324,1.0000000000,0.4141748127
0.1010000000,1.0471975512,0.4189389242,4.5265847347,0.6097923263,0.4999743355,25.0000000000,25.0000000000,11.0695103837,1.0000000000,0.4187767551
0.1020000000,1.0471975512,0.4234654986,4.5265703814,0.6098139061,0.4999920912,25.0000000000,25.0000000000,11.0695093047,1.0000000000,0.4233786975
0.1030000000,1.0471975512,0.4279920689,4.5265720223,0.6098334536,0.5000070054,25.0000000000,25.0000000000,11.0695083273,1.0000000000,0.4279806398
0.1040000000,1.0471975512,0.4325186492,4.5265867377,0.6098505281,0.5000189721,25.0000000000,25.0000000000,11.0695074736,1.0000000000,0.4325825822
0.1050000000,1.0471975512,0.4370452508,4.5266115913,0.6098648691,0.5000280253,25.0000000000,25.0000000000,11.0695067565,1.0000000000,0.4371845245
0.1060000000,1.0471975512,0.4415718820,4.5266437541,0.6098763747,0.5000343125,25.0000000000,25.0000000000,11.0695061813,1.0000000000,0.4417864669
0.1070000000,1.0471975512,0.4460985485,4.5266806010,0.6098850780,0.5000380687,25.0000000000,25.0000000000,11.0695057461,1.0000000000,0.4463884093
0.1080000000,1.0471975512,0.4506252535,4.5267197829,0.6098911210,0.5000395908,25.0000000000,25.0000000000,11.0695054439,1.0000000000,0.4509903516
0.1090000000,1.0471975512,0.4551519980,4.5267592733,0.6098947299,0.5000392149,25.0000000000,25.0000000000,11.0695052635,1.0000000000,0.4555922940
0.1100000000,1.0471975512,0.4596787813,4.5267973948,0.6098961904,0.5000372947,25.0000000000,25.0000000000,11.0695051905,1.0000000000,0.4601942364
0.1110000000,1.0471975512,0.4642056011,4.5268328251,0.6098958257,0.5000341846,25.0000000000,25.0000000000,11.0695052087,1.0000000000,0.4647961787
0.1120000000,1.0471975512,0.4687324541,4.5268645884,0.6098939762,0.5000302246,25.0000000000,25.0000000000,11.0695053012,1.0000000000,0.4693981211
0.1130000000,1.0471975512,0.4732593362,4.5268920335,0.6098909827,0.5000257289,25.0000000000,25.0000000000,11.0695054509,1.0000000000,0.4740000635
0.1140000000,1.0471975512,0.4777862428,4.5269148029,0.6098871723,0.5000209778,25.0000000000,25.0000000000,11.0695056414,1.0000000000,0.4770680250
0.1150000000,1.0471975512,0.4823131692,4.5269327949,0.6098828471,0.5000162120,25.0000000000,25.0000000000,11.0695058576,1.0000000000,0.4816699674
0.1160000000,1.0471975512,0.4868401107,4.5269461221,0.6098782767,0.5000116300,25.0000000000,25.0000000000,11.0695060862,1.0000000000,0.4862719098
0.1170000000,1.0471975512,0.4913670628,4.5269550689,0.6098736927,0.5000073873,25.0000000000,25.0000000000,11.0695063154,1.0000000000,0.4908738521
0.1180000000,1.0471975512,0.4958940212,4.5269600488,0.6098692856,0.5000035976,25.0000000000,25.0000000000,11.0695065357,1.0000000000,0.4954757945
0.1190000000,1.0471975512,0.5004209825,4.5269615646,0.6098652052,0.5000003360,25.0000000000,25.0000000000,11.0695067397,1.0000000000,0.5000777369
0.1200000000,1.0471975512,0.5049479434,4.5269601718,0.6098615608,0.4999976422,25.0000000000,25.0000000000,11.0695069220,1.0000000000,0.5046796792
0.1210000000,1.0471975512,0.5094749014,4.5269564463,0.6098584243,0.4999955256,25.0000000000,25.0000000000,11.0695070788,1.0000000000,0.5092816216
0.1220000000,1.0471975512,0.5140018545,4.5269509572,0.6098558342,0.4999939704,25.0000000000,25.0000000000,11.0695072083,1.0000000000,0.5138835639
0.1230000000,1.0471975512,0.5185288013,4.5269442446,0.6098537993,0.4999929402,25.0000000000,25.0000000000,11.0695073100,1.0000000000,0.5184855063
0.1240000000,1.0471975512,0.5230557410,4.5269368023,0.6098523042,0.4999923838,25.0000000000,25.0000000000,11.0695073848,1.0000000000,0.5230874487
0.1250000000,1.0471975512,0.5275826730,4.5269290664,0.6098513142,0.4999922396,25.0000000000,25.0000000000,11.0695074343,1.0000000000,0.5276893910
0.1260000000,1.0471975512,0.5321095972,4.5269214070,0.6098507798,0.4999924400,25.0000000000,25.0000000000,11.0695074610,1.0000000000,0.5322913334
0.1270000000,1.0471975512,0.5366365140,4.5269141252,0.6098506417,0.4999929152,25.0000000000,25.0000000000,11.0695074679,1.0000000000,0.5368932758
0.1280000000,1.0471975512,0.5411634239,4.5269074529,0.6098508350,0.4999935968,25.0000000000,25.0000000000,11.0695074582,1.0000000000,0.5414952181
0.1290000000,1.0471975512,0.5456903276,4.5269015555,0.6098512926,0.4999944199,25.0000000000,25.0000000000,11.0695074354,1.0000000000,0.5460971605
0.1300000000,1.0471975512,0.5502172260,4.5268965371,0.6098519485,0.4999953255,25.0000000000,25.0000000000,11.0695074026,1.0000000000,0.5506991029
0.1310000000,1.0471975512,0.5547441199,4.5268924472,0.6098527405,0.4999962617,25.0000000000,25.0000000000,11.0695073630,1.0000000000,0.5553010452
0.1320000000,1.0471975512,0.5592710103,4.5268892883,0.6098536117,0.4999971845,25.0000000000,25.0000000000,11.0695073194,1.0000000000,0.5599029876
0.1330000000,1.0471975512,0.5637978981,4.5268870240,0.6098545123,0.4999980585,25.0000000000,25.0000000000,11.0695072744,1.0000000000,0.5645049299
0.1340000000,1.0471975512,0.5683247842,4.5268855880,0.6098553999,0.4999988563,25.0000000000,25.0000000000,11.0695072300,1.0000000000,0.5675728915
0.1350000000,1.0471975512,0.5728516693,4.5268848915,0.6098562404,0.4999995589,25.0000000000,25.0000000000,11.0695071880,1.0000000000,0.5721748339
0.1360000000,1.0471975512,0.5773785541,4.5268848312,0.6098570077,0.5000001543,25.0000000000,25.0000000000,11.0695071496,1.0000000000,0.5767767762
0.1370000000,1.0471975512,0.5819054392,4.5268852961,0.6098576834,0.5000006372,25.0000000000,25.0000000000,11.0695071158,1.0000000000,0.5813787186
0.1380000000,1.0471975512,0.5864323250,4.5268861736,0.6098582559,0.5000010078,25.0000000000,25.0000000000,11.0695070872,1.0000000000,0.5859806610
0.1390000000,1.0471975512,0.5909592119,4.5268873539,0.6098587202,0.5000012709,25.0000000000,25.0000000000,11.0695070640,1.0000000000,0.5905826033
0.1400000000,1.0471975512,0.5954861001,4.5268887346,0.6098590765,0.5000014348,25.0000000000,25.0000000000,11.0695070462,1.0000000000,0.5951845457
0.1410000000,1.0471975512,0.6000129897,4.5268902232,0.6098593293,0.5000015106,25.0000000000,25.0000000000,11.0695070335,1.0000000000,0.5997864881
0.1420000000,1.0471975512,0.6045398809,4.5268917393,0.6098594869,0.5000015108,25.0000000000,25.0000000000,11.0695070257,1.0000000000,0.6043884304
0.1430000000,1.0471975512,0.6090667736,4.5268932157,0.6098595596,0.5000014489,25.0000000000,25.0000000000,11.0695070220,1.0000000000,0.6089903728
