time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,1.0471975512,-0.0011787848,-1.8549451984,0.0107960149,0.2405917887,25.0000000000,25.0000000000,0.0000000000,0.0000000000,-0.0015339808
0.0020000000,1.0471975512,-0.0040430975,-3.4323305845,0.0228437811,0.5363015858,25.0000000000,25.0000000000,0.0000000000,1.0000000000,-0.0046019424
0.0030000000,1.0471975512,-0.0082595639,-4.6270904982,2.2621483646,0.9880552083,25.0000000000,25.0000000000,10.9868925818,1.0000000000,-0.0076699039
0.0040000000,1.0471975512,-0.0133638489,-5.3303938835,2.1378323447,1.4753115172,25.0000000000,25.0000000000,10.9931083828,1.0000000000,-0.0138058271
0.0050000000,1.0471975512,-0.0188878168,-5.5896466738,1.9817433984,1.8895016179,25.0000000000,25.0000000000,11.0009128301,1.0000000000,-0.0184077695
0.0060000000,1.0471975512,-0.0244382790,-5.4868076147,2.0399267103,2.2207925056,25.0000000000,25.0000000000,10.9980036645,1.0000000000,-0.0245436926
0.0070000000,1.0471975512,-0.0297032325,-5.1011581470,2.2215174923,2.4754557494,25.0000000000,25.0000000000,10.9889241254,1.0000000000,-0.0291456350
0.0080000000,1.0471975512,-0.0344454375,-4.5046973545,2.4365708298,2.6608465226,25.0000000000,25.0000000000,10.9781714585,1.0000000000,-0.0337475773
0.0090000000,1.0471975512,-0.0384951749,-3.7622970332,2.6342783054,2.7839912658,25.0000000000,25.0000000000,10.9682860847,1.0000000000,-0.0383495197
0.0100000000,1.0471975512,-0.0417431918,-2.9317569764,2.7915593233,2.8520448677,25.0000000000,25.0000000000,10.9604220338,1.0000000000,-0.0414174813
0.0110000000,1.0471975512,-0.0441334376,-2.0634495038,2.9004758838,2.8726869809,25.0000000000,25.0000000000,10.9549762058,1.0000000000,-0.0444854428
0.0120000000,1.0471975512,-0.0456539670,-1.1969478961,2.9467763829,2.8589521466,25.0000000000,25.0000000000,10.9526611809,1.0000000000,-0.0460194236
0.0130000000,1.0471975512,-0.0463269568,-0.3651044486,2.9506493910,2.8113480538,25.0000000000,25.0000000000,10.9524675305,1.0000000000,-0.0460194236
0.0140000000,1.0471975512,-0.0462075607,0.4001181767,2.9378477177,2.7346211646,25.0000000000,25.0000000000,10.9531076141,1.0000000000,-0.0460194236
0.0150000000,1.0471975512,-0.0453770058,1.0768316667,2.9003891311,2.6403995766,25.0000000000,25.0000000000,10.9549805434,1.0000000000,-0.0460194236
0.0160000000,1.0471975512,-0.0439318934,1.6530422089,2.8353411511,2.5369304027,25.0000000000,25.0000000000,10.9582329424,1.0000000000,-0.0444854428
0.0170000000,1.0471975512,-0.0419766160,2.1232396866,2.7502386411,2.4300593439,25.0000000000,25.0000000000,10.9624880679,1.0000000000,-0.0414174813
0.0180000000,1.0471975512,-0.0396177287,2.4871557263,2.6534432835,2.3246888404,25.0000000000,25.0000000000,10.9673278358,1.0000000000,-0.0398835005
0.0190000000,1.0471975512,-0.0369592705,2.7488642820,2.5519106290,2.2248226393,25.0000000000,25.0000000000,10.9724044686,1.0000000000,-0.0368155389
0.0200000000,1.0471975512,-0.0340989893,2.9158732808,2.4511285029,2.1335530509,25.0000000000,25.0000000000,10.9774435749,1.0000000000,-0.0337475773
0.0210000000,1.0471975512,-0.0311254724,2.9982239604,2.3553289690,2.0530833318,25.0000000000,25.0000000000,10.9822335515,1.0000000000,-0.0306796158
0.0220000000,1.0471975512,-0.0281161525,3.0076367176,2.2676621150,1.9847876413,25.0000000000,25.0000000000,10.9866168942,1.0000000000,-0.0276116542
0.0230000000,1.0471975512,-0.0251361204,2.9567348631,2.1903251623,1.9292983432,25.0000000000,25.0000000000,10.9904837419,1.0000000000,-0.0245436926
