time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,1.0471975512,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,25.0000000000,25.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0020000000,1.0471975512,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,25.0000000000,25.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0030000000,1.0471975512,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,25.0000000000,25.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0040000000,1.0471975512,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,25.0000000000,25.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0050000000,1.0471975512,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,25.0000000000,25.0000000000,-0.0000000000,0.0000000000,0.0000000000
0.0060000000,1.0471975512,0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,25.0000000000,25.0000000000,0.0000000000,1.0000000000,0.0000000000
0.0070000000,1.0471975512,0.0000495332,0.1065128798,2.0231264572,0.1913967758,25.0000000000,25.0000000000,10.9988436771,1.0000000000,0.0000000000
0.0080000000,1.0471975512,0.0003488998,0.4425194679,1.5995403475,0.4164217039,25.0000000000,25.0000000000,11.0200229826,1.0000000000,0.0000000000
0.0090000000,1.0471975512,0.0011055510,0.9638492577,1.1484781942,0.5752631069,25.0000000000,25.0000000000,11.0425760903,1.0000000000,0.0015339808
0.0100000000,1.0471975512,0.0024613208,1.6015078408,0.9286802750,0.6676136812,25.0000000000,25.0000000000,11.0535659862,1.0000000000,0.0030679616
0.0110000000,1.0471975512,0.0044951393,2.2973947756,0.8519170072,0.7070683233,25.0000000000,25.0000000000,11.0574041496,1.0000000000,0.0046019424
0.0120000000,1.0471975512,0.0072361584,3.0064744014,0.8312527928,0.7058605021,25.0000000000,25.0000000000,11.0584373604,1.0000000000,0.0076699039
0.0130000000,1.0471975512,0.0106753221,3.6943301884,0.8193428518,0.6737178645,25.0000000000,25.0000000000,11.0590328574,1.0000000000,0.0107378655
0.0140000000,1.0471975512,0.0147746567,4.3351421769,0.7960179016,0.6186559799,25.0000000000,25.0000000000,11.0601991049,1.0000000000,0.0153398079
0.0150000000,1.0471975512,0.0194750030,4.9103720002,0.7553749566,0.5475655438,25.0000000000,25.0000000000,11.0622312522,1.0000000000,0.0199417502
0.0160000000,1.0471975512,0.0247026902,5.4078176127,0.6981721002,0.4664673202,25.0000000000,25.0000000000,11.0650913950,1.0000000000,0.0245436926
0.0170000000,1.0471975512,0.0303753577,5.8207972896,0.6279487087,0.3805841625,25.0000000000,25.0000000000,11.0686025646,1.0000000000,0.0306796158
0.0180000000,1.0471975512,0.0364069797,6.1473561524,0.5491425644,0.2943442411,25.0000000000,25.0000000000,11.0725428718,1.0000000000,0.0368155389
0.0190000000,1.0471975512,0.0427120926,6.3894668629,0.4661886760,0.2113745398,25.0000000000,25.0000000000,11.0766905662,1.0000000000,0.0429514621
0.0200000000,1.0471975512,0.0492092239,6.5522322100,0.3830910791,0.1345095216,25.0000000000,25.0000000000,11.0808454460,1.0000000000,0.0490873852
0.0210000000,1.0471975512,0.0558235347,6.6431103423,0.3032276385,0.0658224451,25.0000000000,25.0000000000,11.0848386181,1.0000000000,0.0552233084
0.0220000000,1.0471975512,0.0624887153,6.6711853177,0.2292763076,0.0066787162,25.0000000000,25.0000000000,11.0885361846,1.0000000000,0.0628932123
0.0230000000,1.0471975512,0.0691481901,6.6465026268,0.1632097828,-0.0421927769,25.0000000000,25.0000000000,11.0918395109,1.0000000000,0.0690291355
0.0240000000,1.0471975512,0.0757557065,6.5794844422,0.1063315448,-0.0806155829,25.0000000000,25.0000000000,11.0946834228,1.0000000000,0.0751650586
0.0250000000,1.0471975512,0.0822742332,6.4777606046,0.0731988102,-0.1141841041,25.0000000000,25.0000000000,11.0963400595,1.0000000000,0.0828349625
0.0260000000,1.0471975512,0.0886715677,6.3458244574,0.0648007225,-0.1413875877,25.0000000000,25.0000000000,11.0967599639,1.0000000000,0.0889708857
0.0270000000,1.0471975512,0.0949230456,6.1928612923,0.0606025021,-0.1586892834,25.0000000000,25.0000000000,11.0969698749,1.0000000000,0.0951068088
0.0280000000,1.0471975512,0.1010136924,6.0284475205,0.0575566599,-0.1667568359,25.0000000000,25.0000000000,11.0971221670,1.0000000000,0.1012427320
0.0290000000,1.0471975512,0.1069375222,5.8612080314,0.0565829840,-0.1665542707,25.0000000000,25.0000000000,11.0971708508,1.0000000000,0.1073786552
0.0300000000,1.0471975512,0.1126965730,5.6987959738,0.0576862457,-0.1590895054,25.0000000000,25.0000000000,11.0971156877,1.0000000000,0.1119805975
0.0310000000,1.0471975512,0.1182998479,5.5477406623,0.0605225220,-0.1455573420,25.0000000000,25.0000000000,11.0969738739,1.0000000000,0.1181165207
0.0320000000,1.0471975512,0.1237620864,5.4132866122,0.0647424386,-0.1272853089,25.0000000000,25.0000000000,11.0967628781,1.0000000000,0.1242524438
0.0330000000,1.0471975512,0.1291024228,5.2993148415,0.0699952743,-0.1056490000,25.0000000000,25.0000000000,11.0965002363,1.0000000000,0.1288543862
0.0340000000,1.0471975512,0.1343430157,5.2083383929,0.0759267201,-0.0820041622,25.0000000000,25.0000000000,11.0962036640,1.0000000000,0.1349903093
0.0350000000,1.0471975512,0.1395077099,5.1415582218,0.0821945914,-0.0576302148,25.0000000000,25.0000000000,11.0958902704,1.0000000000,0.1395922517
0.0360000000,1.0471975512,0.1446207877,5.0989695105,0.0884834053,-0.0336835680,25.0000000000,25.0000000000,11.0955758297,1.0000000000,0.1441941941
0.0370000000,1.0471975512,0.1497058517,5.0795079306,0.0945150427,-0.0111618251,25.0000000000,25.0000000000,11.0952742479,1.0000000000,0.1503301172
0.0380000000,1.0471975512,0.1547848723,5.0812235115,0.1000646151,0.0091162128,25.0000000000,25.0000000000,11.0949967692,1.0000000000,0.1549320596
0.0390000000,1.0471975512,0.1598772006,5.1009783994,0.1074646151,0.0255778202,25.0000000000,25.0000000000,11.0946267692,1.0000000000,0.1595340019
0.0400000000,1.0471975512,0.1649982013,5.1344663257,0.1179208082,0.0377173213,25.0000000000,25.0000000000,11.0941039596,1.0000000000,0.1656699251
0.0410000000,1.0471975512,0.1701590287,5.1776143770,0.1288224875,0.0459458719,25.0000000000,25.0000000000,11.0935588756,1.0000000000,0.1702718675
0.0420000000,1.0471975512,0.1753670407,5.2267964655,0.1381712602,0.0507213849,25.0000000000,25.0000000000,11.0930914370,1.0000000000,0.1748738098
0.0430000000,1.0471975512,0.1806262599,5.2788534946,0.1450299704,0.0525157640,25.0000000000,25.0000000000,11.0927485015,1.0000000000,0.1810097330
0.0440000000,1.0471975512,0.1859378484,5.3311055325,0.1491532990,0.0518119676,25.0000000000,25.0000000000,11.0925423350,1.0000000000,0.1856116753
0.0450000000,1.0471975512,0.1913005919,5.3813583060,0.1506714141,0.0490958416,25.0000000000,25.0000000000,11.0924664293,1.0000000000,0.1917475985
0.0460000000,1.0471975512,0.1967113830,5.4278980672,0.1499022997,0.0448429248,25.0000000000,25.0000000000,11.0925048850,1.0000000000,0.1963495408
0.0470000000,1.0471975512,0.2021656910,5.4694723578,0.1472483921,0.0395042424,25.0000000000,25.0000000000,11.0926375804,1.0000000000,0.2024854640
0.0480000000,1.0471975512,0.2076580036,5.5052574499,0.1431387150,0.0334937411,25.0000000000,25.0000000000,11.0928430642,1.0000000000,0.2070874064
0.0490000000,1.0471975512,0.2131822295,5.5348149656,0.1379947466,0.0271786028,25.0000000000,25.0000000000,11.0931002627,1.0000000000,0.2132233295
0.0500000000,1.0471975512,0.2187320521,5.5580408336,0.1322092711,0.0208728084,25.0000000000,25.0000000000,11.0933895364,1.0000000000,0.2193592527
0.0510000000,1.0471975512,0.2243012294,5.5751098044,0.1261331018,0.0148338596,25.0000000000,25.0000000000,11.0936933449,1.0000000000,0.2239611950
0.0520000000,1.0471975512,0.2298838371,5.5864184843,0.1200671754,0.0092623293,25.0000000000,25.0000000000,11.0939966412,1.0000000000,0.2300971182
0.0530000000,1.0471975512,0.2354744559,5.5925294498,0.1142586597,0.0043037976,25.0000000000,25.0000000000,11.0942870670,1.0000000000,0.2362330413
0.0540000000,1.0471975512,0.2410683035,5.5941185229,0.1089002056,0.0000526887,25.0000000000,25.0000000000,11.0945549897,1.0000000000,0.2408349837
0.0550000000,1.0471975512,0.2466613178,5.5919268036,0.1041316751,-0.0034424823,25.0000000000,25.0000000000,11.0947934162,1.0000000000,0.2469709068
