time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,0.0062825239,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,25.0000000000,25.0000000000,-0.0000000000,0.0000000000,0.0000000000
0.0020000000,0.0125610795,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,25.0000000000,25.0000000000,0.0000000000,0.0719924204,-0.0000000000
0.0030000000,0.0188317014,0.0000013390,0.0034802916,0.1705471325,0.0070223582,25.0000000000,25.0000000000,0.7905885096,0.1439393688,0.0000000000
0.0040000000,0.0250904287,0.0000135451,0.0226572473,0.3105958191,0.0305889429,25.0000000000,25.0000000000,1.5821972028,0.2153965900,0.0000000000
0.0050000000,0.0313333084,0.0000619884,0.0742804054,0.4000253171,0.0690489595,25.0000000000,25.0000000000,2.3709008832,0.2847193990,0.0000000000
0.0060000000,0.0375563973,0.0001860205,0.1697210743,0.4598442691,0.1162114948,25.0000000000,25.0000000000,3.1373931151,0.3491434907,0.0000000000
0.0070000000,0.0437557647,0.0004329949,0.3144485602,0.5021142985,0.1664487476,25.0000000000,25.0000000000,3.8503870316,0.4059611215,0.0000000000
0.0080000000,0.0499274951,0.0008527153,0.5086531793,0.5305920581,0.2147388637,25.0000000000,25.0000000000,4.4796388459,0.4531692341,0.0015339808
0.0090000000,0.0560676902,0.0014925028,0.7478715876,0.5459650719,0.2567284280,25.0000000000,25.0000000000,5.0028802445,0.4721440168,0.0015339808
0.0100000000,0.0621724718,0.0023923251,1.0220593148,0.5117558572,0.2853832807,25.0000000000,25.0000000000,5.2152107936,0.4980081030,0.0030679616
0.0110000000,0.0682379839,0.0035792590,1.3173827858,0.5123869424,0.3011763273,25.0000000000,25.0000000000,5.5022705962,0.4967173390,0.0030679616
0.0120000000,0.0742603954,0.0050669423,1.6200220595,0.4648484265,0.3014269686,25.0000000000,25.0000000000,5.4903200421,0.5055472695,0.0046019424
0.0130000000,0.0802359025,0.0068541816,1.9154130574,0.4522762263,0.2891509987,25.0000000000,25.0000000000,5.5889608798,0.4919631316,0.0061359232
0.0140000000,0.0861607308,0.0089269667,2.1913781208,0.3950622849,0.2639584639,25.0000000000,25.0000000000,5.4410376466,0.4765010760,0.0092038847
0.0150000000,0.0920311382,0.0112586950,2.4354393019,0.3415581157,0.2273261850,25.0000000000,25.0000000000,5.2720840373,0.4444359920,0.0107378655
0.0160000000,0.0978434167,0.0138112890,2.6366463176,0.2595309397,0.1797108086,25.0000000000,25.0000000000,4.9202629637,0.4337592462,0.0138058271
0.0170000000,0.1035938952,0.0165369843,2.7874566089,0.2326825074,0.1284131555,25.0000000000,25.0000000000,4.8030935078,0.4119659095,0.0168737887
0.0180000000,0.1092789417,0.0193844132,2.8864412832,0.1771705135,0.0762368650,25.0000000000,25.0000000000,4.5639630697,0.3988032569,0.0199417502
0.0190000000,0.1148949652,0.0223018300,2.9342683398,0.1379753739,0.0264349749,25.0000000000,25.0000000000,4.4198173825,0.3954990155,0.0230097118
0.0200000000,0.1204384185,0.0252404602,2.9358131805,0.1166412458,-0.0166160020,25.0000000000,25.0000000000,4.3842070101,0.4025701651,0.0245436926
0.0210000000,0.1259058004,0.0281586950,2.8998829848,0.1101665001,-0.0494282122,25.0000000000,25.0000000000,4.4630205071,0.4372745661,0.0276116542
0.0220000000,0.1312936575,0.0310260423,2.8397799565,0.1527848974,-0.0662121426,25.0000000000,25.0000000000,4.8461084393,0.4632668095,0.0306796158
0.0230000000,0.1365985867,0.0338273966,2.7712087185,0.1585177847,-0.0689139014,25.0000000000,25.0000000000,5.1343356963,0.4959866095,0.0337475773
0.0240000000,0.1418172373,0.0365614761,2.7066369877,0.1725423615,-0.0599380874,25.0000000000,25.0000000000,5.4968242472,0.5325459331,0.0368155389
0.0250000000,0.1469463131,0.0392384956,2.6568786925,0.1946161536,-0.0408705981,25.0000000000,25.0000000000,5.9015290495,0.5700531706,0.0398835005
0.0260000000,0.1519825744,0.0418784327,2.6307637495,0.2193916680,-0.0140468162,25.0000000000,25.0000000000,6.3166206108,0.6058047588,0.0414174813
0.0270000000,0.1569228403,0.0445086114,2.6343919097,0.2425934786,0.0175385867,25.0000000000,25.0000000000,6.7123031485,0.6549969693,0.0444854428
0.0280000000,0.1617639904,0.0471613179,2.6723725231,0.2979555283,0.0541356161,25.0000000000,25.0000000000,7.2555685827,0.6805657557,0.0475534044
0.0290000000,0.1665029669,0.0498727190,2.7469179033,0.2998215294,0.0896102248,25.0000000000,25.0000000000,7.5392888114,0.6985896210,0.0506213660
0.0300000000,0.1711367765,0.0526773293,2.8537166022,0.2948244968,0.1189892376,25.0000000000,25.0000000000,7.7396035680,0.7080480807,0.0521553468
0.0310000000,0.1756624924,0.0556033446,2.9852162468,0.2853162242,0.1398604345,25.0000000000,25.0000000000,7.8450678851,0.7264862930,0.0552233084
0.0320000000,0.1800772562,0.0586709363,3.1337343352,0.3062251849,0.1543269299,25.0000000000,25.0000000000,8.0486865935,0.7195805738,0.0582912699
0.0330000000,0.1843782793,0.0618931160,3.2915350771,0.2737864175,0.1589415701,25.0000000000,25.0000000000,7.9736550483,0.7061896938,0.0613592315
0.0340000000,0.1885628452,0.0652729539,3.4473897365,0.2371199441,0.1519923861,25.0000000000,25.0000000000,7.8268496040,0.6878248571,0.0659611739
0.0350000000,0.1926283107,0.0688021987,3.5902698935,0.2010100666,0.1346071796,25.0000000000,25.0000000000,7.6248054100,0.6489351054,0.0690291355
0.0360000000,0.1965721080,0.0724618217,3.7091448705,0.1288155298,0.1052783209,25.0000000000,25.0000000000,7.1967388940,0.6269393141,0.0720970970
