time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,0.0007853969,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,25.0000000000,25.0000000000,-0.0000000000,0.0000000000,0.0000000000
0.0020000000,0.0015707860,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,25.0000000000,25.0000000000,0.0000000000,0.0089999852,-0.0000000000
0.0030000000,0.0023561596,0.0000001820,0.0003608720,0.0212697765,0.0005579626,25.0000000000,25.0000000000,0.0988363468,0.0179998816,0.0000000000
0.0040000000,0.0031415100,0.0000011791,0.0014833287,0.0446100865,0.0014189850,25.0000000000,25.0000000000,0.1975681810,0.0269582474,0.0000000000
0.0050000000,0.0039268293,0.0000039159,0.0036251500,0.0676538260,0.0025324328,25.0000000000,25.0000000000,0.2958538548,0.0358083991,0.0000000000
0.0060000000,0.0047121099,0.0000095913,0.0070867129,0.0895729105,0.0039879017,25.0000000000,25.0000000000,0.3929945849,0.0444874112,0.0000000000
0.0070000000,0.0054973440,0.0000198017,0.0123429999,0.1093149401,0.0060201275,25.0000000000,25.0000000000,0.4883445172,0.0529293557,0.0000000000
0.0080000000,0.0062825239,0.0000368103,0.0201895040,0.1254225468,0.0089870177,25.0000000000,25.0000000000,0.5812447208,0.0610467953,0.0000000000
0.0090000000,0.0070676417,0.0000638573,0.0316759783,0.1369795284,0.0130198711,25.0000000000,25.0000000000,0.6707704514,0.0687048102,0.0000000000
0.0100000000,0.0078526898,0.0001051634,0.0476814122,0.1445870092,0.0177734006,25.0000000000,25.0000000000,0.7553940426,0.0757156032,0.0000000000
0.0110000000,0.0086376603,0.0001655297,0.0685889848,0.1494449926,0.0227060308,25.0000000000,25.0000000000,0.8329709457,0.0818845065,0.0000000000
0.0120000000,0.0094225457,0.0002498073,0.0942553353,0.1523616828,0.0273137837,25.0000000000,25.0000000000,0.9012999385,0.0870702329,0.0000000000
0.0130000000,0.0102073380,0.0003624173,0.1240902286,0.1537226937,0.0311855613,25.0000000000,25.0000000000,0.9587934507,0.0912185222,0.0000000000
0.0140000000,0.0109920296,0.0005069668,0.1571590666,0.1537343922,0.0340174043,25.0000000000,25.0000000000,1.0048388766,0.0943698359,0.0000000000
0.0150000000,0.0117766127,0.0006859748,0.1922967037,0.1525817070,0.0356228711,25.0000000000,25.0000000000,1.0398760928,0.0966514574,0.0000000000
0.0160000000,0.0125610795,0.0009007175,0.2282285962,0.1504880453,0.0359380950,25.0000000000,25.0000000000,1.0653067749,0.0982605000,0.0015339808
0.0170000000,0.0133454224,0.0011511945,0.2636917013,0.1477229849,0.0350181627,25.0000000000,25.0000000000,1.0833054006,0.0818634028,0.0015339808
0.0180000000,0.0141296336,0.0014352823,0.2955591711,0.1095400777,0.0294814325,25.0000000000,25.0000000000,0.9032067673,0.0828833877,0.0015339808
0.0190000000,0.0149137053,0.0017471001,0.3207107191,0.1142491820,0.0225746812,25.0000000000,25.0000000000,0.9142931440,0.0842340815,0.0015339808
0.0200000000,0.0156976299,0.0020799396,0.3393591690,0.1198882440,0.0164008291,25.0000000000,25.0000000000,0.9290038922,0.0865188744,0.0015339808
0.0210000000,0.0164813995,0.0024279294,0.3525620626,0.1228771112,0.0114107596,25.0000000000,25.0000000000,0.9542156498,0.0900150292,0.0030679616
0.0220000000,0.0172650064,0.0027864362,0.3616446019,0.1249381012,0.0078212460,25.0000000000,25.0000000000,0.9929199193,0.0771618229,0.0030679616
0.0230000000,0.0180484430,0.0031513315,0.3660986687,0.0923722174,0.0021614060,25.0000000000,25.0000000000,0.8518776229,0.0829723049,0.0030679616
0.0240000000,0.0188317014,0.0035172554,0.3652888176,0.1033559573,-0.0023474358,25.0000000000,25.0000000000,0.9158247865,0.0898549319,0.0030679616
0.0250000000,0.0196147739,0.0038804091,0.3616965680,0.1154741589,-0.0040703885,25.0000000000,25.0000000000,0.9916160359,0.0978757670,0.0046019424
0.0260000000,0.0203976529,0.0042397618,0.3581022517,0.1248565809,-0.0030922767,25.0000000000,25.0000000000,1.0801781845,0.0892053113,0.0046019424
0.0270000000,0.0211803305,0.0045959491,0.3549723974,0.0976571102,-0.0033650153,25.0000000000,25.0000000000,0.9852961002,0.0985554812,0.0046019424
0.0280000000,0.0219627991,0.0049490221,0.3520843500,0.1126080797,-0.0024019775,25.0000000000,25.0000000000,1.0883354368,0.1080724801,0.0046019424
0.0290000000,0.0227450510,0.0053005816,0.3517003825,0.1275009871,0.0010042379,25.0000000000,25.0000000000,1.1932294792,0.1176439425,0.0046019424
0.0300000000,0.0235270783,0.0056545292,0.3559811616,0.1382539702,0.0063355114,25.0000000000,25.0000000000,1.2989350631,0.1269544041,0.0061359232
0.0310000000,0.0243088735,0.0060164985,0.3663834549,0.1461040038,0.0128438926,25.0000000000,25.0000000000,1.4018886849,0.1180203692,0.0061359232
0.0320000000,0.0250904287,0.0063921854,0.3816345949,0.1168693935,0.0162555939,25.0000000000,25.0000000000,1.3041826282,0.1256284251,0.0061359232
0.0330000000,0.0258717363,0.0067848133,0.3995550457,0.1288077546,0.0188962487,25.0000000000,25.0000000000,1.3880351305,0.1321614081,0.0061359232
0.0340000000,0.0266527886,0.0071971486,0.4203902299,0.1396900294,0.0219744696,25.0000000000,25.0000000000,1.4600071283,0.1378495112,0.0076699039
0.0350000000,0.0274335778,0.0076322942,0.4443892542,0.1457097737,0.0251381174,25.0000000000,25.0000000000,1.5228440854,0.1252015383,0.0076699039
0.0360000000,0.0282140962,0.0080923970,0.4693710510,0.1134666967,0.0244099293,25.0000000000,25.0000000000,1.3840637398,0.1293886141,0.0076699039
0.0370000000,0.0289943362,0.0085764305,0.4925895749,0.1222718088,0.0224863778,25.0000000000,25.0000000000,1.4301000262,0.1330899389,0.0092038847
0.0380000000,0.0297742900,0.0090825924,0.5141236694,0.1305442876,0.0209874682,25.0000000000,25.0000000000,1.4707711079,0.1191706799,0.0092038847
0.0390000000,0.0305539500,0.0096085771,0.5324758267,0.0997760152,0.0164169923,25.0000000000,25.0000000000,1.3178057456,0.1229996540,0.0092038847
0.0400000000,0.0313333084,0.0101497791,0.5458619053,0.1097703498,0.0116847269,25.0000000000,25.0000000000,1.3598076416,0.1272765775,0.0107378655
0.0410000000,0.0321123576,0.0107018848,0.5554827815,0.1196041386,0.0085439435,25.0000000000,25.0000000000,1.4067898038,0.1147666497,0.0107378655
0.0420000000,0.0328910898,0.0112611448,0.5607041807,0.0931199891,0.0026157297,25.0000000000,25.0000000000,1.2692538119,0.1206601281,0.0107378655
0.0430000000,0.0336694974,0.0118221883,0.5608107526,0.1062616084,-0.0011507019,25.0000000000,25.0000000000,1.3340143410,0.1274685300,0.0122718463
0.0440000000,0.0344475727,0.0123818155,0.5588141312,0.1179118750,-0.0022619566,25.0000000000,25.0000000000,1.4090050897,0.1177404809,0.0122718463
0.0450000000,0.0352253080,0.0129385368,0.5550371342,0.0933229837,-0.0052112869,25.0000000000,25.0000000000,1.3022531886,0.1263504539,0.0122718463
0.0460000000,0.0360026956,0.0134900290,0.5493389726,0.1090863584,-0.0057291474,25.0000000000,25.0000000000,1.3970357199,0.1355423995,0.0138058271
0.0470000000,0.0367797280,0.0140364032,0.5449213243,0.1232940018,-0.0034060894,25.0000000000,25.0000000000,1.4983559339,0.1276653197,0.0138058271
0.0480000000,0.0375563973,0.0145796538,0.5423553134,0.0989380741,-0.0022867715,25.0000000000,25.0000000000,1.4121381450,0.1374720989,0.0153398079
0.0490000000,0.0383326959,0.0151211884,0.5413464619,0.1152534883,-0.0000718059,25.0000000000,25.0000000000,1.5201776232,0.1295393142,0.0153398079
0.0500000000,0.0391086163,0.0156628534,0.5419113074,0.0957721691,0.0006572990,25.0000000000,25.0000000000,1.4330977795,0.1389233302,0.0153398079
0.0510000000,0.0398841506,0.0162056820,0.5436409471,0.1144404113,0.0025393640,25.0000000000,25.0000000000,1.5363269443,0.1479941399,0.0168737887
0.0520000000,0.0406592913,0.0167520728,0.5485547079,0.1302634314,0.0064651344,25.0000000000,25.0000000000,1.6362217817,0.1391944906,0.0168737887
0.0530000000,0.0414340307,0.0173053911,0.5563565435,0.1056563996,0.0082765092,25.0000000000,25.0000000000,1.5397760259,0.1474596266,0.0168737887
0.0540000000,0.0422083612,0.0178674934,0.5658080583,0.1205138993,0.0102311967,25.0000000000,25.0000000000,1.6307761606,0.1551348007,0.0184077695
0.0550000000,0.0429822751,0.0184406744,0.5780223215,0.1337662591,0.0134632699,25.0000000000,25.0000000000,1.7153079751,0.1447454427,0.0184077695
