time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,0.0031415100,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,25.0000000000,25.0000000000,-0.0000000000,0.0000000000,0.0000000000
0.0020000000,0.0062825239,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,25.0000000000,25.0000000000,0.0000000000,0.0359990525,-0.0000000000
0.0030000000,0.0094225457,0.0000007647,0.0015412488,0.0845097778,0.0024699914,25.0000000000,25.0000000000,0.3953639941,0.0719924204,0.0000000000
0.0040000000,0.0125610795,0.0000058598,0.0082229135,0.1675591033,0.0097595555,25.0000000000,25.0000000000,0.7907379111,0.1077978057,0.0000000000
0.0050000000,0.0156976299,0.0000246999,0.0272147658,0.2265729310,0.0250441022,25.0000000000,25.0000000000,1.1852269967,0.1429087853,0.0000000000
0.0060000000,0.0188317014,0.0000740523,0.0653124384,0.2652272244,0.0460821559,25.0000000000,25.0000000000,1.5730261554,0.1762477139,0.0000000000
0.0070000000,0.0219627991,0.0001756917,0.1264291714,0.2917184068,0.0699783411,25.0000000000,25.0000000000,1.9417637041,0.2064942108,0.0000000000
0.0080000000,0.0250904287,0.0003535892,0.2117697369,0.3099879669,0.0941398478,25.0000000000,25.0000000000,2.2765863415,0.2325368279,0.0000000000
0.0090000000,0.0282140962,0.0006314018,0.3201495979,0.3213164529,0.1162993024,25.0000000000,25.0000000000,2.5650929670,0.2536789542,0.0000000000
0.0100000000,0.0313333084,0.0010303044,0.4483582035,0.3261200873,0.1345814409,25.0000000000,25.0000000000,2.7995303876,0.2697051956,0.0015339808
0.0110000000,0.0344475727,0.0015672385,0.5916102558,0.3248089027,0.1475978763,25.0000000000,25.0000000000,2.9774872265,0.2632948095,0.0015339808
0.0120000000,0.0375563973,0.0022527384,0.7420955776,0.2830358012,0.1509799757,25.0000000000,25.0000000000,2.9084205951,0.2702782735,0.0015339808
0.0130000000,0.0406592913,0.0030884397,0.8913418956,0.2798362927,0.1474968357,25.0000000000,25.0000000000,2.9860970211,0.2743067438,0.0030679616
0.0140000000,0.0437557647,0.0040696636,1.0340585010,0.2742615093,0.1392906350,25.0000000000,25.0000000000,3.0310917806,0.2593847790,0.0046019424
0.0150000000,0.0468453286,0.0051863150,1.1641572978,0.2288970648,0.1237881911,25.0000000000,25.0000000000,2.8677261941,0.2444853147,0.0046019424
0.0160000000,0.0499274951,0.0064211586,1.2743995014,0.1897224529,0.1015854007,25.0000000000,25.0000000000,2.7043008701,0.2485787295,0.0061359232
0.0170000000,0.0530017775,0.0077518686,1.3616737458,0.1949660897,0.0788472183,25.0000000000,25.0000000000,2.7494755928,0.2380316149,0.0076699039
0.0180000000,0.0560676902,0.0091555065,1.4258721755,0.1650322816,0.0553837448,25.0000000000,25.0000000000,2.6338993116,0.2315372711,0.0092038847
0.0190000000,0.0591247493,0.0106086107,1.4665367137,0.1414412465,0.0320070361,25.0000000000,25.0000000000,2.5629916464,0.2296628704,0.0107378655
0.0200000000,0.0621724718,0.0120883622,1.4850808500,0.1278863858,0.0108479509,25.0000000000,25.0000000000,2.5428635417,0.2327417244,0.0122718463
0.0210000000,0.0652103766,0.0135746397,1.4849288588,0.1226507413,-0.0062263248,25.0000000000,25.0000000000,2.5773006043,0.2407757572,0.0138058271
0.0220000000,0.0682379839,0.0150517410,1.4710252014,0.1241089239,-0.0179122591,25.0000000000,25.0000000000,2.6664054591,0.2533707887,0.0153398079
0.0230000000,0.0712548156,0.0165095308,1.4492331470,0.1309492197,-0.0235189105,25.0000000000,25.0000000000,2.8058682936,0.2697603956,0.0168737887
