time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,0.0000000000,0.0000000000,0.0000000000,2.0421440174,0.2054186944,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0020000000,0.0000000000,0.0000000000,0.0000000000,1.6247392287,0.4769392936,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0030000000,0.0000000000,0.0000000000,0.0000000000,1.1974837205,0.7151835808,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0040000000,0.0000000000,0.0000000000,0.0000000000,1.0339089216,0.9166801061,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0050000000,0.0000000000,0.0000000000,0.0000000000,1.0454824595,1.0908334223,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0060000000,0.0000000000,0.0000000000,0.0000000000,1.1410643287,1.2449976022,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0070000000,0.0000000000,0.0000000000,0.0000000000,1.2686221663,1.3836190933,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0080000000,0.0000000000,0.0000000000,0.0000000000,1.4032320827,1.5093398966,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0090000000,0.0000000000,0.0000000000,0.0000000000,1.5341230227,1.6238555846,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0100000000,0.0000000000,0.0000000000,0.0000000000,1.6571390935,1.7283829272,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0110000000,0.0000000000,0.0000000000,0.0000000000,1.7710310598,1.8238868435,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0120000000,0.0000000000,0.0000000000,0.0000000000,1.8757648050,1.9111859628,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0130000000,0.0000000000,0.0000000000,0.0000000000,1.9717817826,1.9910018089,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0140000000,0.0000000000,0.0000000000,0.0000000000,2.0596849685,2.0639827916,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0150000000,0.0000000000,0.0000000000,0.0000000000,2.1401091729,2.1307170870,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0160000000,0.0000000000,0.0000000000,0.0000000000,2.2136696514,2.1917405672,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0170000000,0.0000000000,0.0000000000,0.0000000000,2.2809434568,2.2475424337,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0180000000,0.0000000000,0.0000000000,0.0000000000,2.3424642547,2.2985696908,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0190000000,0.0000000000,0.0000000000,0.0000000000,2.3987225282,2.3452309562,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0200000000,0.0000000000,0.0000000000,0.0000000000,2.4501678197,2.3878998278,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0210000000,0.0000000000,0.0000000000,0.0000000000,2.4972116323,2.4269179141,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0220000000,0.0000000000,0.0000000000,0.0000000000,2.5402304358,2.4625975853,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0230000000,0.0000000000,0.0000000000,0.0000000000,2.5795685613,2.4952244811,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
0.0240000000,0.0000000000,0.0000000000,0.0000000000,2.6155409088,2.5250597999,25.0000000000,25.0000000000,11.1000000000,1.0000000000,0.0000000000
