time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,0.0000000000,0.0000000000,0.0000000000,1.6613623945,0.1644942515,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0020000000,0.0000000000,0.0000000000,0.0000000000,1.3278176059,0.3828869181,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0030000000,0.0000000000,0.0000000000,0.0000000000,0.9835562036,0.5746119408,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0040000000,0.0000000000,0.0000000000,0.0000000000,0.8513405062,0.7367626681,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0050000000,0.0000000000,0.0000000000,0.0000000000,0.8602885036,0.8768965725,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0060000000,0.0000000000,0.0000000000,0.0000000000,0.9370070868,1.0009370679,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0070000000,0.0000000000,0.0000000000,0.0000000000,1.0395487756,1.1124671474,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0080000000,0.0000000000,0.0000000000,0.0000000000,1.1478102828,1.2136155159,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0090000000,0.0000000000,0.0000000000,0.0000000000,1.2531004710,1.3057478232,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0100000000,0.0000000000,0.0000000000,0.0000000000,1.3520640840,1.3898436800,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0110000000,0.0000000000,0.0000000000,0.0000000000,1.4436909122,1.4666796917,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0120000000,0.0000000000,0.0000000000,0.0000000000,1.5279512876,1.5369145981,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0130000000,0.0000000000,0.0000000000,0.0000000000,1.6051994316,1.6011289412,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0140000000,0.0000000000,0.0000000000,0.0000000000,1.6759200618,1.6598444094,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0150000000,0.0000000000,0.0000000000,0.0000000000,1.7406237376,1.7135342177,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0160000000,0.0000000000,0.0000000000,0.0000000000,1.7998053823,1.7626294961,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0170000000,0.0000000000,0.0000000000,0.0000000000,1.8539292243,1.8075238235,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0180000000,0.0000000000,0.0000000000,0.0000000000,1.9034246021,1.8485768297,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0190000000,0.0000000000,0.0000000000,0.0000000000,1.9486861200,1.8861172604,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0200000000,0.0000000000,0.0000000000,0.0000000000,1.9900754464,1.9204456867,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0210000000,0.0000000000,0.0000000000,0.0000000000,2.0279236476,1.9518369433,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0220000000,0.0000000000,0.0000000000,0.0000000000,2.0625336047,1.9805423419,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0230000000,0.0000000000,0.0000000000,0.0000000000,2.0941823427,2.0067916882,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0240000000,0.0000000000,0.0000000000,0.0000000000,2.1231232083,2.0307951245,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0250000000,0.0000000000,0.0000000000,0.0000000000,2.1495878815,2.0527448126,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0260000000,0.0000000000,0.0000000000,0.0000000000,2.1737882240,2.0728164726,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0270000000,0.0000000000,0.0000000000,0.0000000000,2.1959179720,2.0911707896,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0280000000,0.0000000000,0.0000000000,0.0000000000,2.2161542863,2.1079547006,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0290000000,0.0000000000,0.0000000000,0.0000000000,2.2346591699,2.1233025704,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0300000000,0.0000000000,0.0000000000,0.0000000000,2.2515807650,2.1373372675,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0310000000,0.0000000000,0.0000000000,0.0000000000,2.2670545386,2.1501711479,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0320000000,0.0000000000,0.0000000000,0.0000000000,2.2812043671,2.1619069539,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0330000000,0.0000000000,0.0000000000,0.0000000000,2.2941435281,2.1726386377,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0340000000,0.0000000000,0.0000000000,0.0000000000,2.3059756067,2.1824521124,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0350000000,0.0000000000,0.0000000000,0.0000000000,2.3167953247,2.1914259410,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0360000000,0.0000000000,0.0000000000,0.0000000000,2.3266892962,2.1996319656,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0370000000,0.0000000000,0.0000000000,0.0000000000,2.3357367152,2.2071358853,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0380000000,0.0000000000,0.0000000000,0.0000000000,2.3440099699,2.2139977896,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0390000000,0.0000000000,0.0000000000,0.0000000000,2.3515751775,2.2202726576,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0400000000,0.0000000000,0.0000000000,0.0000000000,2.3584926143,2.2260108378,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0410000000,0.0000000000,0.0000000000,0.0000000000,2.3648170087,2.2312585294,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0420000000,0.0000000000,0.0000000000,0.0000000000,2.3705976571,2.2360582897,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0430000000,0.0000000000,0.0000000000,0.0000000000,2.3758783302,2.2404495913,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0440000000,0.0000000000,0.0000000000,0.0000000000,2.3806969861,2.2444694421,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0450000000,0.0000000000,0.0000000000,0.0000000000,2.3850853882,2.2481530494,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0460000000,0.0000000000,0.0000000000,0.0000000000,2.3890688693,2.2515344582,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0470000000,0.0000000000,0.0000000000,0.0000000000,2.3926666498,2.2546470202,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0480000000,0.0000000000,0.0000000000,0.0000000000,2.3958932133,2.2575234956,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0490000000,0.0000000000,0.0000000000,0.0000000000,2.3987610784,2.2601956079,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0500000000,0.0000000000,0.0000000000,0.0000000000,2.4012846867,2.2626930572,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0510000000,0.0000000000,0.0000000000,0.0000000000,2.4034841997,2.2650422938,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0520000000,0.0000000000,0.0000000000,0.0000000000,2.4053874601,2.2672655769,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0530000000,0.0000000000,0.0000000000,0.0000000000,2.4070290138,2.2693807340,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0540000000,0.0000000000,0.0000000000,0.0000000000,2.4084466864,2.2714016396,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0550000000,0.0000000000,0.0000000000,0.0000000000,2.4096774751,2.2733390833,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0560000000,0.0000000000,0.0000000000,0.0000000000,2.4107544519,2.2752016394,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0570000000,0.0000000000,0.0000000000,0.0000000000,2.4117053504,2.2769963307,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0580000000,0.0000000000,0.0000000000,0.0000000000,2.4125525436,2.2787290614,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0590000000,0.0000000000,0.0000000000,0.0000000000,2.4133137584,2.2804048871,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
0.0600000000,0.0000000000,0.0000000000,0.0000000000,2.4140029923,2.2820281878,25.0000000000,25.0000000000,9.0000000000,1.0000000000,0.0000000000
