time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,1.0471975512,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,25.0000000000,25.0000000000,-0.0000000000,0.0000000000,0.0000000000
0.0020000000,1.0471975512,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,25.0000000000,25.0000000000,0.0000000000,1.0000000000,-0.0000000000
0.0030000000,1.0471975512,0.0000268018,0.0832302668,2.1740719281,0.1921905375,25.0000000000,25.0000000000,10.9912964036,1.0000000000,0.0000000000
0.0040000000,1.0471975512,0.0002624422,0.4073302922,1.5602818818,0.4310044139,25.0000000000,25.0000000000,11.0219859059,1.0000000000,0.0000000000
0.0050000000,1.0471975512,0.0009350111,0.9317350225,1.0721211693,0.5945154946,25.0000000000,25.0000000000,11.0463939415,1.0000000000,0.0015339808
0.0060000000,1.0471975512,0.0022040008,1.5807280989,0.8776832838,0.6873652766,25.0000000000,25.0000000000,11.0561158358,1.0000000000,0.0015339808
0.0070000000,1.0471975512,0.0041597925,2.2924942458,0.8312327396,0.7259358732,25.0000000000,25.0000000000,11.0584383630,1.0000000000,0.0046019424
0.0080000000,1.0471975512,0.0068390761,3.0199261993,0.8310597386,0.7231118443,25.0000000000,25.0000000000,11.0584470131,1.0000000000,0.0061359232
0.0090000000,1.0471975512,0.0102375794,3.7270022871,0.8300050839,0.6886444112,25.0000000000,25.0000000000,11.0584997458,1.0000000000,0.0107378655
0.0100000000,1.0471975512,0.0143197925,4.3864415173,0.8108988106,0.6305484524,25.0000000000,25.0000000000,11.0594550595,1.0000000000,0.0138058271
0.0110000000,1.0471975512,0.0190269591,4.9784016160,0.7703630141,0.5558194094,25.0000000000,25.0000000000,11.0614818493,1.0000000000,0.0184077695
0.0120000000,1.0471975512,0.0242840366,5.4896125432,0.7108184572,0.4706710626,25.0000000000,25.0000000000,11.0644590771,1.0000000000,0.0245436926
0.0130000000,1.0471975512,0.0300058640,5.9126196301,0.6368506765,0.3805641128,25.0000000000,25.0000000000,11.0681574662,1.0000000000,0.0306796158
0.0140000000,1.0471975512,0.0361025720,6.2450140679,0.5535814549,0.2901720890,25.0000000000,25.0000000000,11.0723209273,1.0000000000,0.0368155389
0.0150000000,1.0471975512,0.0424842029,6.4886268279,0.4659257940,0.2033485219,25.0000000000,25.0000000000,11.0767037103,1.0000000000,0.0429514621
0.0160000000,1.0471975512,0.0490645120,6.6487018636,0.3782453266,0.1231187203,25.0000000000,25.0000000000,11.0810877337,1.0000000000,0.0490873852
0.0170000000,1.0471975512,0.0557639432,6.7330769375,0.2941905874,0.0517014178,25.0000000000,25.0000000000,11.0852904706,1.0000000000,0.0552233084
0.0180000000,1.0471975512,0.0625118033,6.7514010778,0.2166431487,-0.0094420618,25.0000000000,25.0000000000,11.0891678426,1.0000000000,0.0628932123
0.0190000000,1.0471975512,0.0692476840,6.7144134858,0.1477172256,-0.0595364552,25.0000000000,25.0000000000,11.0926141387,1.0000000000,0.0690291355
0.0200000000,1.0471975512,0.0759221991,6.6332493535,0.0893363749,-0.0988778699,25.0000000000,25.0000000000,11.0955331813,1.0000000000,0.0751650586
0.0210000000,1.0471975512,0.0824954874,6.5146907619,0.0650380515,-0.1351850678,25.0000000000,25.0000000000,11.0967480974,1.0000000000,0.0828349625
0.0220000000,1.0471975512,0.0889324437,6.3642135589,0.0605681026,-0.1621374560,25.0000000000,25.0000000000,11.0969715949,1.0000000000,0.0889708857
0.0230000000,1.0471975512,0.0952068705,6.1927682860,0.0555802955,-0.1780636575,25.0000000000,25.0000000000,11.0972209852,1.0000000000,0.0951068088
0.0240000000,1.0471975512,0.1013033672,6.0106253788,0.0525568650,-0.1842900890,25.0000000000,25.0000000000,11.0973721568,1.0000000000,0.1012427320
