time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0010000000,1.0471975512,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,25.0000000000,25.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0020000000,1.0471975512,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,25.0000000000,25.0000000000,0.0000000000,1.0000000000,-0.0000000000
0.0030000000,1.0471975512,0.0001552043,0.3246216283,2.0859056378,0.5533813902,25.0000000000,25.0000000000,10.9957047181,1.0000000000,0.0000000000
0.0040000000,1.0471975512,0.0009660108,1.1433450584,1.8248425580,0.9290854108,25.0000000000,25.0000000000,11.0087578721,1.0000000000,0.0015339808
0.0050000000,1.0471975512,0.0027195695,2.1216102460,1.4957988507,0.9772923698,25.0000000000,25.0000000000,11.0252100575,1.0000000000,0.0030679616
0.0060000000,1.0471975512,0.0054216006,3.0342811280,1.2801712411,0.8622734843,25.0000000000,25.0000000000,11.0359914379,1.0000000000,0.0061359232
0.0070000000,1.0471975512,0.0089440244,3.7942560836,1.1069277165,0.6965232764,25.0000000000,25.0000000000,11.0446536142,1.0000000000,0.0092038847
0.0080000000,1.0471975512,0.0131212921,4.3866880758,0.9398420176,0.5318161462,25.0000000000,25.0000000000,11.0530078991,1.0000000000,0.0138058271
0.0090000000,1.0471975512,0.0177939317,4.8266144599,0.7764778946,0.3879502072,25.0000000000,25.0000000000,11.0611761053,1.0000000000,0.0184077695
0.0100000000,1.0471975512,0.0228247477,5.1390840128,0.6247026054,0.2705490616,25.0000000000,25.0000000000,11.0687648697,1.0000000000,0.0230097118
0.0110000000,1.0471975512,0.0281029205,5.3506019496,0.4915861640,0.1792087294,25.0000000000,25.0000000000,11.0754206918,1.0000000000,0.0276116542
0.0120000000,1.0471975512,0.0335429652,5.4855255025,0.3806397047,0.1110166063,25.0000000000,25.0000000000,11.0809680148,1.0000000000,0.0337475773
0.0130000000,1.0471975512,0.0390815871,5.5646492549,0.2921957425,0.0621556165,25.0000000000,25.0000000000,11.0853902129,1.0000000000,0.0383495197
0.0140000000,1.0471975512,0.0446738338,5.6048403144,0.2245016829,0.0287019842,25.0000000000,25.0000000000,11.0887749159,1.0000000000,0.0444854428
0.0150000000,1.0471975512,0.0502892459,5.6192100544,0.1747121091,0.0070361153,25.0000000000,25.0000000000,11.0912643945,1.0000000000,0.0506213660
0.0160000000,1.0471975512,0.0559083622,5.6175530547,0.1396008275,-0.0059623337,25.0000000000,25.0000000000,11.0930199586,1.0000000000,0.0552233084
0.0170000000,1.0471975512,0.0615197409,5.6068946171,0.1160117927,-0.0128497700,25.0000000000,25.0000000000,11.0941994104,1.0000000000,0.0613592315
0.0180000000,1.0471975512,0.0671175422,5.5920507839,0.1011117695,-0.0156322208,25.0000000000,25.0000000000,11.0949444115,1.0000000000,0.0674951547
0.0190000000,1.0471975512,0.0726988704,5.5744435252,0.0949861780,-0.0189370141,25.0000000000,25.0000000000,11.0952506911,1.0000000000,0.0720970970
0.0200000000,1.0471975512,0.0782609245,5.5545539213,0.0945238982,-0.0199683634,25.0000000000,25.0000000000,11.0952738051,1.0000000000,0.0782330202
0.0210000000,1.0471975512,0.0838035407,5.5357643833,0.0950474093,-0.0177936021,25.0000000000,25.0000000000,11.0952476295,1.0000000000,0.0843689433
0.0220000000,1.0471975512,0.0893292934,5.5202262234,0.0958825056,-0.0140737908,25.0000000000,25.0000000000,11.0952058747,1.0000000000,0.0889708857
0.0230000000,1.0471975512,0.0948420223,5.5087534802,0.0969308307,-0.0099047776,25.0000000000,25.0000000000,11.0951534585,1.0000000000,0.0951068088
0.0240000000,1.0471975512,0.1003458453,5.5013509075,0.0980018133,-0.0059607007,25.0000000000,25.0000000000,11.0950999093,1.0000000000,0.0997087512
