time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0500000000,0.0000000000,0.2547734273,5.4852714992,0.0997728187,0.0002794219,25.0558910960,25.0000043211,11.1000000000,1.0000000000,0.2547734273
0.1000000000,0.0000000000,0.5302516683,5.5114424688,0.0999821564,-0.0000084054,25.0789420228,25.0000112581,11.1000000000,1.0000000000,0.5302516683
0.1500000000,0.0000000000,0.8058262002,5.5114917055,0.0999992557,-0.0000003953,25.1018853065,25.0000205165,11.1000000000,1.0000000000,0.8058262002
0.2000000000,0.0000000000,1.0814003216,5.5114748225,0.0999993379,-0.0000003396,25.1247887583,25.0000320904,11.1000000000,1.0000000000,1.0814003216
0.2500000000,0.0000000000,1.3569735965,5.5114578733,0.0999993394,-0.0000003387,25.1476525468,25.0000459750,11.1000000000,1.0000000000,1.3569735965
0.3000000000,0.0000000000,1.6325460248,5.5114409537,0.0999993405,-0.0000003381,25.1704767449,25.0000621656,11.1000000000,1.0000000000,1.6325460248
0.3500000000,0.0000000000,1.9081176079,5.5114240634,0.0999993416,-0.0000003375,25.1932614250,25.0000806574,11.1000000000,1.0000000000,1.9081176079
0.4000000000,0.0000000000,2.1836883472,5.5114072024,0.0999993428,-0.0000003370,25.2160066597,25.0001014457,11.1000000000,1.0000000000,2.1836883472
0.4500000000,0.0000000000,2.4592582444,5.5113903705,0.0999993439,-0.0000003364,25.2387125213,25.0001245256,11.1000000000,1.0000000000,2.4592582444
0.5000000000,0.0000000000,2.7348273007,5.5113735677,0.0999993451,-0.0000003358,25.2613790820,25.0001498925,11.1000000000,1.0000000000,2.7348273007
0.5500000000,0.0000000000,3.0103955177,5.5113567941,0.0999993462,-0.0000003352,25.2840064138,25.0001775417,11.1000000000,1.0000000000,3.0103955177
0.6000000000,0.0000000000,3.2859628968,5.5113400494,0.0999993473,-0.0000003346,25.3065945886,25.0002074684,11.1000000000,1.0000000000,3.2859628968
0.6500000000,0.0000000000,3.5615294395,5.5113233338,0.0999993485,-0.0000003341,25.3291436783,25.0002396679,11.1000000000,1.0000000000,3.5615294395
0.7000000000,0.0000000000,3.8370951471,5.5113066470,0.0999993496,-0.0000003335,25.3516537545,25.0002741354,11.1000000000,1.0000000000,3.8370951471
0.7500000000,0.0000000000,4.1126600213,5.5112899892,0.0999993507,-0.0000003329,25.3741248887,25.0003108665,11.1000000000,1.0000000000,4.1126600213
0.8000000000,0.0000000000,4.3882240633,5.5112733601,0.0999993518,-0.0000003323,25.3965571524,25.0003498562,11.1000000000,1.0000000000,4.3882240633
0.8500000000,0.0000000000,4.6637872747,5.5112567598,0.0999993529,-0.0000003317,25.4189506167,25.0003911000,11.1000000000,1.0000000000,4.6637872747
0.9000000000,0.0000000000,4.9393496569,5.5112401882,0.0999993541,-0.0000003312,25.4413053529,25.0004345932,11.1000000000,1.0000000000,4.9393496569
0.9500000000,0.0000000000,5.2149112112,5.5112236453,0.0999993552,-0.0000003306,25.4636214318,25.0004803312,11.1000000000,1.0000000000,5.2149112112
1.0000000000,0.0000000000,5.4904719392,5.5112071309,0.0999993563,-0.0000003300,25.4858989244,25.0005283092,11.1000000000,1.0000000000,5.4904719392
1.0500000000,0.0000000000,5.7660318423,5.5111906452,0.0999993574,-0.0000003295,25.5081379015,25.0005785227,11.1000000000,1.0000000000,5.7660318423
1.1000000000,0.0000000000,6.0415909219,5.5111741879,0.0999993585,-0.0000003289,25.5303384336,25.0006309670,11.1000000000,1.0000000000,6.0415909219
1.1500000000,0.0000000000,6.3171491793,5.5111577591,0.0999993596,-0.0000003283,25.5525005911,25.0006856375,11.1000000000,1.0000000000,6.3171491793
1.2000000000,0.0000000000,6.5927066162,5.5111413586,0.0999993607,-0.0000003278,25.5746244445,25.0007425296,11.1000000000,1.0000000000,6.5927066162
1.2500000000,0.0000000000,6.8682632338,5.5111249865,0.0999993618,-0.0000003272,25.5967100640,25.0008016386,11.1000000000,1.0000000000,6.8682632338
1.3000000000,0.0000000000,7.1438190335,5.5111086427,0.0999993629,-0.0000003266,25.6187575196,25.0008629601,11.1000000000,1.0000000000,7.1438190335
1.3500000000,0.0000000000,7.4193740168,5.5110923272,0.0999993640,-0.0000003261,25.6407668813,25.0009264893,11.1000000000,1.0000000000,7.4193740168
1.4000000000,0.0000000000,7.6949281852,5.5110760398,0.0999993651,-0.0000003255,25.6627382190,25.0009922218,11.1000000000,1.0000000000,7.6949281852
1.4500000000,0.0000000000,7.9704815399,5.5110597805,0.0999993662,-0.0000003249,25.6846716022,25.0010601529,11.1000000000,1.0000000000,7.9704815399
1.5000000000,0.0000000000,8.2460340825,5.5110435494,0.0999993673,-0.0000003244,25.7065671007,25.0011302781,11.1000000000,1.0000000000,8.2460340825
1.5500000000,0.0000000000,8.5215858143,5.5110273462,0.0999993684,-0.0000003238,25.7284247838,25.0012025928,11.1000000000,1.0000000000,8.5215858143
1.6000000000,0.0000000000,8.7971367366,5.5110111711,0.0999993695,-0.0000003233,25.7502447208,25.0012770926,11.1000000000,1.0000000000,8.7971367366
1.6500000000,0.0000000000,9.0726868510,5.5109950239,0.0999993706,-0.0000003227,25.7720269810,25.0013537727,11.1000000000,1.0000000000,9.0726868510
1.7000000000,0.0000000000,9.3482361588,5.5109789046,0.0999993717,-0.0000003221,25.7937716334,25.0014326288,11.1000000000,1.0000000000,9.3482361588
