time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0500000000,0.0000000000,0.0925620349,2.6604355720,1.5920752739,1.4646601605,25.3161824590,25.0000183444,11.1000000000,1.0000000000,0.0925620349
0.1000000000,0.0000000000,0.2252094913,2.6539079494,1.5998430227,1.4709063016,25.6035906056,25.0000663105,11.1000000000,1.0000000000,0.2252094913
0.1500000000,0.0000000000,0.3578081257,2.6504465158,1.5998671899,1.4709293772,25.8906856580,25.0001433204,11.1000000000,1.0000000000,0.3578081257
0.2000000000,0.0000000000,0.4902369115,2.6470460266,1.5998674274,1.4709295383,26.1773879815,25.0002493237,11.1000000000,1.0000000000,0.4902369115
0.2500000000,0.0000000000,0.6224958168,2.6436505072,1.5998676090,1.4709296315,26.4636976847,25.0003842711,11.1000000000,1.0000000000,0.6224958168
0.3000000000,0.0000000000,0.7545850741,2.6402596377,1.5998677902,1.4709297244,26.7496153537,25.0005481133,11.1000000000,1.0000000000,0.7545850741
0.3500000000,0.0000000000,0.8865049156,2.6368734098,1.5998679712,1.4709298172,27.0351415757,25.0007408012,11.1000000000,1.0000000000,0.8865049156
0.4000000000,0.0000000000,1.0182555731,2.6334918167,1.5998681519,1.4709299098,27.3202769371,25.0009622857,11.1000000000,1.0000000000,1.0182555731
0.4500000000,0.0000000000,1.1498372784,2.6301148514,1.5998683323,1.4709300023,27.6050220233,25.0012125178,11.1000000000,1.0000000000,1.1498372784
0.5000000000,0.0000000000,1.2812502624,2.6267425070,1.5998685125,1.4709300947,27.8893774188,25.0014914484,11.1000000000,1.0000000000,1.2812502624
0.5500000000,0.0000000000,1.4124947562,2.6233747764,1.5998686924,1.4709301869,28.1733437074,25.0017990288,11.1000000000,1.0000000000,1.4124947562
0.6000000000,0.0000000000,1.5435709901,2.6200116530,1.5998688720,1.4709302790,28.4569214719,25.0021352102,11.1000000000,1.0000000000,1.5435709901
0.6500000000,0.0000000000,1.6744791944,2.6166531296,1.5998690513,1.4709303709,28.7401112941,25.0024999438,11.1000000000,1.0000000000,1.6744791944
0.7000000000,0.0000000000,1.8052195989,2.6132991996,1.5998692304,1.4709304627,29.0229137550,25.0028931810,11.1000000000,1.0000000000,1.8052195989
0.7500000000,0.0000000000,1.9357924330,2.6099498558,1.5998694092,1.4709305544,29.3053294350,25.0033148732,11.1000000000,1.0000000000,1.9357924330
0.8000000000,0.0000000000,2.0661979259,2.6066050916,1.5998695878,1.4709306459,29.5873589131,25.0037649719,11.1000000000,1.0000000000,2.0661979259
0.8500000000,0.0000000000,2.1964363063,2.6032649001,1.5998697661,1.4709307373,29.8690027678,25.0042434288,11.1000000000,1.0000000000,2.1964363063
0.9000000000,0.0000000000,2.3265078028,2.5999292743,1.5998699441,1.4709308285,30.1502615766,25.0047501954,11.1000000000,1.0000000000,2.3265078028
0.9500000000,0.0000000000,2.4564126434,2.5965982075,1.5998701218,1.4709309197,30.4311359162,25.0052852234,11.1000000000,1.0000000000,2.4564126434
1.0000000000,0.0000000000,2.5861510559,2.5932716929,1.5998702993,1.4709310106,30.7116263623,25.0058484648,11.1000000000,1.0000000000,2.5861510559
1.0500000000,0.0000000000,2.7157232676,2.5899497236,1.5998704765,1.4709311015,30.9917334898,25.0064398714,11.1000000000,1.0000000000,2.7157232676
1.1000000000,0.0000000000,2.8451295057,2.5866322928,1.5998706535,1.4709311922,31.2714578727,25.0070593950,11.1000000000,1.0000000000,2.8451295057
1.1500000000,0.0000000000,2.9743699970,2.5833193937,1.5998708301,1.4709312828,31.5508000842,25.0077069878,11.1000000000,1.0000000000,2.9743699970
1.2000000000,0.0000000000,3.1034449677,2.5800110196,1.5998710065,1.4709313732,31.8297606965,25.0083826019,11.1000000000,1.0000000000,3.1034449677
1.2500000000,0.0000000000,3.2323546440,2.5767071637,1.5998711827,1.4709314635,32.1083402812,25.0090861894,11.1000000000,1.0000000000,3.2323546440
1.3000000000,0.0000000000,3.3610992517,2.5734078191,1.5998713586,1.4709315537,32.3865394086,25.0098177025,11.1000000000,1.0000000000,3.3610992517
1.3500000000,0.0000000000,3.4896790160,2.5701129792,1.5998715342,1.4709316437,32.6643586486,25.0105770936,11.1000000000,1.0000000000,3.4896790160
1.4000000000,0.0000000000,3.6180941620,2.5668226373,1.5998717096,1.4709317336,32.9417985699,25.0113643151,11.1000000000,1.0000000000,3.6180941620
1.4500000000,0.0000000000,3.7463449144,2.5635367865,1.5998718847,1.4709318234,33.2188597405,25.0121793194,11.1000000000,1.0000000000,3.7463449144
1.5000000000,0.0000000000,3.8744314977,2.5602554201,1.5998720595,1.4709319130,33.4955427275,25.0130220591,11.1000000000,1.0000000000,3.8744314977
1.5500000000,0.0000000000,4.0023541358,2.5569785315,1.5998722341,1.4709320025,33.7718480971,25.0138924868,11.1000000000,1.0000000000,4.0023541358
1.6000000000,0.0000000000,4.1301130525,2.5537061140,1.5998724084,1.4709320919,34.0477764148,25.0147905552,11.1000000000,1.0000000000,4.1301130525
1.6500000000,0.0000000000,4.2577084710,2.5504381608,1.5998725825,1.4709321811,34.3233282450,25.0157162170,11.1000000000,1.0000000000,4.2577084710
1.7000000000,0.0000000000,4.3851406146,2.5471746652,1.5998727563,1.4709322702,34.5985041514,25.0166694251,11.1000000000,1.0000000000,4.3851406146
1.7500000000,0.0000000000,4.5124097058,2.5439156207,1.5998729298,1.4709323591,34.8733046968,25.0176501324,11.1000000000,1.0000000000,4.5124097058
1.8000000000,0.0000000000,4.6395159670,2.5406610205,1.5998731031,1.4709324480,35.1477304433,25.0186582918,11.1000000000,1.0000000000,4.6395159670
1.8500000000,0.0000000000,4.7664596202,2.5374108579,1.5998732761,1.4709325367,35.4217819518,25.0196938563,11.1000000000,1.0000000000,4.7664596202
1.9000000000,0.0000000000,4.8932408873,2.5341651265,1.5998734488,1.4709326252,35.6954597827,25.0207567792,11.1000000000,1.0000000000,4.8932408873
1.9500000000,0.0000000000,5.0198599894,2.5309238194,1.5998736213,1.4709327136,35.9687644953,25.0218470136,11.1000000000,1.0000000000,5.0198599894
2.0000000000,0.0000000000,5.1463171477,2.5276869301,1.5998737936,1.4709328019,36.2416966483,25.0229645128,11.1000000000,1.0000000000,5.1463171477
2.0500000000,0.0000000000,5.2726125829,2.5244544520,1.5998739656,1.4709328901,36.5142567994,25.0241092301,11.1000000000,1.0000000000,5.2726125829
2.1000000000,0.0000000000,5.3987465153,2.5212263784,1.5998741373,1.4709329781,36.7864455053,25.0252811188,11.1000000000,1.0000000000,5.3987465153
2.1500000000,0.0000000000,5.5247191650,2.5180027029,1.5998743088,1.4709330660,37.0582633223,25.0264801326,11.1000000000,1.0000000000,5.5247191650
2.2000000000,0.0000000000,5.6505307517,2.5147834187,1.5998744800,1.4709331538,37.3297108053,25.0277062249,11.1000000000,1.0000000000,5.6505307517
2.2500000000,0.0000000000,5.7761814949,2.5115685194,1.5998746509,1.4709332414,37.6007885089,25.0289593494,11.1000000000,1.0000000000,5.7761814949
2.3000000000,0.0000000000,5.9016716135,2.5083579983,1.5998748216,1.4709333289,37.8714969864,25.0302394597,11.1000000000,1.0000000000,5.9016716135
2.3500000000,0.0000000000,6.0270013263,2.5051518490,1.5998749921,1.4709334163,38.1418367906,25.0315465097,11.1000000000,1.0000000000,6.0270013263
2.4000000000,0.0000000000,6.1521708517,2.5019500648,1.5998751622,1.4709335036,38.4118084733,25.0328804531,11.1000000000,1.0000000000,6.1521708517
2.4500000000,0.0000000000,6.2771804077,2.4987526393,1.5998753322,1.4709335907,38.6814125854,25.0342412439,11.1000000000,1.0000000000,6.2771804077
2.5000000000,0.0000000000,6.4020302122,2.4955595659,1.5998755019,1.4709336777,38.9506496772,25.0356288361,11.1000000000,1.0000000000,6.4020302122
2.5500000000,0.0000000000,6.5267204826,2.4923708381,1.5998756713,1.4709337645,39.2195202980,25.0370431836,11.1000000000,1.0000000000,6.5267204826
2.6000000000,0.0000000000,6.6512514359,2.4891864494,1.5998758405,1.4709338512,39.4880249962,25.0384842406,11.1000000000,1.0000000000,6.6512514359
2.6500000000,0.0000000000,6.7756232890,2.4860063934,1.5998760094,1.4709339378,39.7561643195,25.0399519614,11.1000000000,1.0000000000,6.7756232890
2.7000000000,0.0000000000,6.8998362583,2.4828306635,1.5998761780,1.4709340243,40.0239388147,25.0414463001,11.1000000000,1.0000000000,6.8998362583
2.7500000000,0.0000000000,7.0238905599,2.4796592532,1.5998763465,1.4709341106,40.2913490279,25.0429672111,11.1000000000,1.0000000000,7.0238905599
2.8000000000,0.0000000000,7.1477864096,2.4764921561,1.5998765146,1.4709341968,40.5583955042,25.0445146488,11.1000000000,1.0000000000,7.1477864096
2.8500000000,0.0000000000,7.2715240229,2.4733293658,1.5998766825,1.4709342829,40.8250787879,25.0460885677,11.1000000000,1.0000000000,7.2715240229
2.9000000000,0.0000000000,7.3951036150,2.4701708757,1.5998768502,1.4709343689,41.0913994226,25.0476889223,11.1000000000,1.0000000000,7.3951036150
2.9500000000,0.0000000000,7.5185254007,2.4670166796,1.5998770176,1.4709344547,41.3573579510,25.0493156672,11.1000000000,1.0000000000,7.5185254007
3.0000000000,0.0000000000,7.6417895945,2.4638667709,1.5998771847,1.4709345404,41.6229549150,25.0509687571,11.1000000000,1.0000000000,7.6417895945
3.0500000000,0.0000000000,7.7648964106,2.4607211432,1.5998773517,1.4709346259,41.8881908556,25.0526481468,11.1000000000,1.0000000000,7.7648964106
3.1000000000,0.0000000000,7.8878460630,2.4575797901,1.5998775183,1.4709347114,42.1530663130,25.0543537911,11.1000000000,1.0000000000,7.8878460630
3.1500000000,0.0000000000,8.0106387650,2.4544427053,1.5998776847,1.4709347967,42.4175818267,25.0560856448,11.1000000000,1.0000000000,8.0106387650
3.2000000000,0.0000000000,8.1332747301,2.4513098823,1.5998778509,1.4709348819,42.6817379353,25.0578436629,11.1000000000,1.0000000000,8.1332747301
3.2500000000,0.0000000000,8.2557541711,2.4481813148,1.5998780168,1.4709349669,42.9455351766,25.0596278006,11.1000000000,1.0000000000,8.2557541711
3.3000000000,0.0000000000,8.3780773005,2.4450569964,1.5998781825,1.4709350518,43.2089740874,25.0614380127,11.1000000000,1.0000000000,8.3780773005
3.3500000000,0.0000000000,8.5002443308,2.4419369207,1.5998783479,1.4709351366,43.4720552040,25.0632742546,11.1000000000,1.0000000000,8.5002443308
3.4000000000,0.0000000000,8.6222554738,2.4388210815,1.5998785130,1.4709352213,43.7347790618,25.0651364814,11.1000000000,1.0000000000,8.6222554738
