time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0500000000,0.0000000000,0.0000000000,0.0000000000,2.9399234469,2.7935219839,25.5114171662,25.0000230287,11.1000000000,1.0000000000,0.0000000000
0.1000000000,0.0000000000,0.0000000000,0.0000000000,2.9778151657,2.8656513688,26.1946917066,25.0001109815,11.1000000000,1.0000000000,0.0000000000
0.1500000000,0.0000000000,0.0000000000,0.0000000000,2.9746229782,2.8909108934,26.8789998806,25.0002681482,11.1000000000,1.0000000000,0.0000000000
0.2000000000,0.0000000000,0.0000000000,0.0000000000,2.9690223689,2.9015126325,27.5614048547,25.0004943893,11.1000000000,1.0000000000,0.0000000000
0.2500000000,0.0000000000,0.0000000000,0.0000000000,2.9624853860,2.9043772293,28.2414010643,25.0007894587,11.1000000000,1.0000000000,0.0000000000
0.3000000000,0.0000000000,0.0000000000,0.0000000000,2.9550189553,2.9040373814,28.9186966090,25.0011530743,11.1000000000,1.0000000000,0.0000000000
0.3500000000,0.0000000000,0.0000000000,0.0000000000,2.9474199221,2.9033587934,29.5930928289,25.0015849277,11.1000000000,1.0000000000,0.0000000000
0.4000000000,0.0000000000,0.0000000000,0.0000000000,2.9398761935,2.9025557271,30.2645824766,25.0020847020,11.1000000000,1.0000000000,0.0000000000
0.4500000000,0.0000000000,0.0000000000,0.0000000000,2.9323972600,2.9016733085,30.9331815008,25.0026520817,11.1000000000,1.0000000000,0.0000000000
0.5000000000,0.0000000000,0.0000000000,0.0000000000,2.9249850893,2.9007320964,31.5989087431,25.0032867530,11.1000000000,1.0000000000,0.0000000000
0.5500000000,0.0000000000,0.0000000000,0.0000000000,2.9176399470,2.8997439090,32.2617838794,25.0039884042,11.1000000000,1.0000000000,0.0000000000
0.6000000000,0.0000000000,0.0000000000,0.0000000000,2.9103615057,2.8987164280,32.9218268390,25.0047567257,11.1000000000,1.0000000000,0.0000000000
0.6500000000,0.0000000000,0.0000000000,0.0000000000,2.9031491839,2.8976550472,33.5790575759,25.0055914101,11.1000000000,1.0000000000,0.0000000000
0.7000000000,0.0000000000,0.0000000000,0.0000000000,2.8960022783,2.8965637622,34.2334959620,25.0064921519,11.1000000000,1.0000000000,0.0000000000
0.7500000000,0.0000000000,0.0000000000,0.0000000000,2.8889200242,2.8954456515,34.8851617317,25.0074586481,11.1000000000,1.0000000000,0.0000000000
0.8000000000,0.0000000000,0.0000000000,0.0000000000,2.8819016264,2.8943031593,35.5340744509,25.0084905974,11.1000000000,1.0000000000,0.0000000000
0.8500000000,0.0000000000,0.0000000000,0.0000000000,2.8749462758,2.8931382739,36.1802534992,25.0095877008,11.1000000000,1.0000000000,0.0000000000
0.9000000000,0.0000000000,0.0000000000,0.0000000000,2.8680531593,2.8919526440,36.8237180601,25.0107496611,11.1000000000,1.0000000000,0.0000000000
0.9500000000,0.0000000000,0.0000000000,0.0000000000,2.8612214656,2.8907476592,37.4644871147,25.0119761835,11.1000000000,1.0000000000,0.0000000000
1.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8544503894,2.8895245067,38.1025794391,25.0132669749,11.1000000000,1.0000000000,0.0000000000
1.0500000000,0.0000000000,0.0000000000,0.0000000000,2.8477391332,2.8882842128,38.7380136035,25.0146217443,11.1000000000,1.0000000000,0.0000000000
1.1000000000,0.0000000000,0.0000000000,0.0000000000,2.8410869091,2.8870276736,39.3708079719,25.0160402027,11.1000000000,1.0000000000,0.0000000000
1.1500000000,0.0000000000,0.0000000000,0.0000000000,2.8344929400,2.8857556787,40.0009807033,25.0175220630,11.1000000000,1.0000000000,0.0000000000
1.2000000000,0.0000000000,0.0000000000,0.0000000000,2.8279564597,2.8844689288,40.6285497535,25.0190670399,11.1000000000,1.0000000000,0.0000000000
1.2500000000,0.0000000000,0.0000000000,0.0000000000,2.8214767141,2.8831680507,41.2535328764,25.0206748501,11.1000000000,1.0000000000,0.0000000000
1.3000000000,0.0000000000,0.0000000000,0.0000000000,2.8150529604,2.8818536081,41.8759476269,25.0223452124,11.1000000000,1.0000000000,0.0000000000
1.3500000000,0.0000000000,0.0000000000,0.0000000000,2.8086844682,2.8805261109,42.4958113630,25.0240778471,11.1000000000,1.0000000000,0.0000000000
1.4000000000,0.0000000000,0.0000000000,0.0000000000,2.8023705188,2.8791860228,43.1131412483,25.0258724765,11.1000000000,1.0000000000,0.0000000000
1.4500000000,0.0000000000,0.0000000000,0.0000000000,2.7961104054,2.8778337673,43.7279542548,25.0277288247,11.1000000000,1.0000000000,0.0000000000
1.5000000000,0.0000000000,0.0000000000,0.0000000000,2.7899034332,2.8764697331,44.3402671655,25.0296466177,11.1000000000,1.0000000000,0.0000000000
1.5500000000,0.0000000000,0.0000000000,0.0000000000,2.7837489188,2.8750942779,44.9500965769,25.0316255830,11.1000000000,1.0000000000,0.0000000000
1.6000000000,0.0000000000,0.0000000000,0.0000000000,2.7776461906,2.8737077324,45.5574589024,25.0336654503,11.1000000000,1.0000000000,0.0000000000
1.6500000000,0.0000000000,0.0000000000,0.0000000000,2.7715945880,2.8723104033,46.1623703743,25.0357659505,11.1000000000,1.0000000000,0.0000000000
1.7000000000,0.0000000000,0.0000000000,0.0000000000,2.7655934620,2.8709025758,46.7648470469,25.0379268168,11.1000000000,1.0000000000,0.0000000000
1.7500000000,0.0000000000,0.0000000000,0.0000000000,2.7596421743,2.8694845158,47.3649047991,25.0401477835,11.1000000000,1.0000000000,0.0000000000
1.8000000000,0.0000000000,0.0000000000,0.0000000000,2.7537400974,2.8680564723,47.9625593371,25.0424285871,11.1000000000,1.0000000000,0.0000000000
1.8500000000,0.0000000000,0.0000000000,0.0000000000,2.7478866145,2.8666186785,48.5578261971,25.0447689655,11.1000000000,1.0000000000,0.0000000000
1.9000000000,0.0000000000,0.0000000000,0.0000000000,2.7420811191,2.8651713536,49.1507207477,25.0471686583,11.1000000000,1.0000000000,0.0000000000
1.9500000000,0.0000000000,0.0000000000,0.0000000000,2.7363230150,2.8637147043,49.7412581929,25.0496274068,11.1000000000,1.0000000000,0.0000000000
2.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7306117160,2.8622489254,50.3294535739,25.0521449538,11.1000000000,1.0000000000,0.0000000000
2.0500000000,0.0000000000,0.0000000000,0.0000000000,2.7249466455,2.8607742011,50.9153217725,25.0547210437,11.1000000000,1.0000000000,0.0000000000
2.1000000000,0.0000000000,0.0000000000,0.0000000000,2.7193272369,2.8592907063,51.4988775129,25.0573554226,11.1000000000,1.0000000000,0.0000000000
2.1500000000,0.0000000000,0.0000000000,0.0000000000,2.7137529327,2.8577986066,52.0801353644,25.0600478381,11.1000000000,1.0000000000,0.0000000000
2.2000000000,0.0000000000,0.0000000000,0.0000000000,2.7082231847,2.8562980595,52.6591097434,25.0627980393,11.1000000000,1.0000000000,0.0000000000
2.2500000000,0.0000000000,0.0000000000,0.0000000000,2.7027374538,2.8547892152,53.2358149164,25.0656057769,11.1000000000,1.0000000000,0.0000000000
2.3000000000,0.0000000000,0.0000000000,0.0000000000,2.6972952098,2.8532722166,53.8102650018,25.0684708032,11.1000000000,1.0000000000,0.0000000000
2.3500000000,0.0000000000,0.0000000000,0.0000000000,2.6918959312,2.8517472004,54.3824739719,25.0713928718,11.1000000000,1.0000000000,0.0000000000
2.4000000000,0.0000000000,0.0000000000,0.0000000000,2.6865391048,2.8502142972,54.9524556560,25.0743717378,11.1000000000,1.0000000000,0.0000000000
2.4500000000,0.0000000000,0.0000000000,0.0000000000,2.6812242261,2.8486736322,55.5202237417,25.0774071581,11.1000000000,1.0000000000,0.0000000000
2.5000000000,0.0000000000,0.0000000000,0.0000000000,2.6759507985,2.8471253251,56.0857917772,25.0804988906,11.1000000000,1.0000000000,0.0000000000
2.5500000000,0.0000000000,0.0000000000,0.0000000000,2.6707183334,2.8455694912,56.6491731739,25.0836466949,11.1000000000,1.0000000000,0.0000000000
2.6000000000,0.0000000000,0.0000000000,0.0000000000,2.6655263504,2.8440062410,57.2103812078,25.0868503321,11.1000000000,1.0000000000,0.0000000000
2.6500000000,0.0000000000,0.0000000000,0.0000000000,2.6603743763,2.8424356809,57.7694290218,25.0901095645,11.1000000000,1.0000000000,0.0000000000
2.7000000000,0.0000000000,0.0000000000,0.0000000000,2.6552619458,2.8408579133,58.3263296279,25.0934241560,11.1000000000,1.0000000000,0.0000000000
2.7500000000,0.0000000000,0.0000000000,0.0000000000,2.6501886008,2.8392730369,58.8810959085,25.0967938717,11.1000000000,1.0000000000,0.0000000000
2.8000000000,0.0000000000,0.0000000000,0.0000000000,2.6451538907,2.8376811470,59.4337406190,25.1002184782,11.1000000000,1.0000000000,0.0000000000
2.8500000000,0.0000000000,0.0000000000,0.0000000000,2.6401573716,2.8360823357,59.9842763891,25.1036977434,11.1000000000,1.0000000000,0.0000000000
2.9000000000,0.0000000000,0.0000000000,0.0000000000,2.6351986069,2.8344766917,60.5327157251,25.1072314367,11.1000000000,1.0000000000,0.0000000000
2.9500000000,0.0000000000,0.0000000000,0.0000000000,2.6302771667,2.8328643012,61.0790710113,25.1108193285,11.1000000000,1.0000000000,0.0000000000
3.0000000000,0.0000000000,0.0000000000,0.0000000000,2.6253926278,2.8312452473,61.6233545121,25.1144611909,11.1000000000,1.0000000000,0.0000000000
3.0500000000,0.0000000000,0.0000000000,0.0000000000,2.6205445735,2.8296196108,62.1655783732,25.1181567971,11.1000000000,1.0000000000,0.0000000000
3.1000000000,0.0000000000,0.0000000000,0.0000000000,2.6157325936,2.8279874699,62.7057546241,25.1219059216,11.1000000000,1.0000000000,0.0000000000
3.1500000000,0.0000000000,0.0000000000,0.0000000000,2.6109562842,2.8263489004,63.2438951790,25.1257083402,11.1000000000,1.0000000000,0.0000000000
3.2000000000,0.0000000000,0.0000000000,0.0000000000,2.6062152475,2.8247039763,63.7800118388,25.1295638301,11.1000000000,1.0000000000,0.0000000000
3.2500000000,0.0000000000,0.0000000000,0.0000000000,2.6015090919,2.8230527689,64.3141162926,25.1334721697,11.1000000000,1.0000000000,0.0000000000
3.3000000000,0.0000000000,0.0000000000,0.0000000000,2.5968374316,2.8213953481,64.8462201196,25.1374331384,11.1000000000,1.0000000000,0.0000000000
3.3500000000,0.0000000000,0.0000000000,0.0000000000,2.5921998867,2.8197317816,65.3763347899,25.1414465172,11.1000000000,1.0000000000,0.0000000000
3.4000000000,0.0000000000,0.0000000000,0.0000000000,2.5875960830,2.8180621353,65.9044716669,25.1455120881,11.1000000000,1.0000000000,0.0000000000
3.4500000000,0.0000000000,0.0000000000,0.0000000000,2.5830256521,2.8163864736,66.4306420082,25.1496296345,11.1000000000,1.0000000000,0.0000000000
3.5000000000,0.0000000000,0.0000000000,0.0000000000,2.5784882307,2.8147048590,66.9548569671,25.1537989408,11.1000000000,1.0000000000,0.0000000000
3.5500000000,0.0000000000,0.0000000000,0.0000000000,2.5739834612,2.8130173527,67.4771275943,25.1580197927,11.1000000000,1.0000000000,0.0000000000
3.6000000000,0.0000000000,0.0000000000,0.0000000000,2.5695109913,2.8113240143,67.9974648393,25.1622919771,11.1000000000,1.0000000000,0.0000000000
3.6500000000,0.0000000000,0.0000000000,0.0000000000,2.5650704738,2.8096249020,68.5158795513,25.1666152820,11.1000000000,1.0000000000,0.0000000000
3.7000000000,0.0000000000,0.0000000000,0.0000000000,2.5606615666,2.8079200726,69.0323824812,25.1709894967,11.1000000000,1.0000000000,0.0000000000
3.7500000000,0.0000000000,0.0000000000,0.0000000000,2.5562839326,2.8062095818,69.5469842826,25.1754144114,11.1000000000,1.0000000000,0.0000000000
3.8000000000,0.0000000000,0.0000000000,0.0000000000,2.5519372397,2.8044934838,70.0596955130,25.1798898177,11.1000000000,1.0000000000,0.0000000000
3.8500000000,0.0000000000,0.0000000000,0.0000000000,2.5476211606,2.8027718319,70.5705266355,25.1844155083,11.1000000000,1.0000000000,0.0000000000
3.9000000000,0.0000000000,0.0000000000,0.0000000000,2.5433353727,2.8010446779,71.0794880197,25.1889912769,11.1000000000,1.0000000000,0.0000000000
3.9500000000,0.0000000000,0.0000000000,0.0000000000,2.5390795579,2.7993120728,71.5865899428,25.1936169183,11.1000000000,1.0000000000,0.0000000000
4.0000000000,0.0000000000,0.0000000000,0.0000000000,2.5348534030,2.7975740665,72.0918425915,25.1982922285,11.1000000000,1.0000000000,0.0000000000
4.0500000000,0.0000000000,0.0000000000,0.0000000000,2.5306565990,2.7958307079,72.5952560626,25.2030170046,11.1000000000,1.0000000000,0.0000000000
4.1000000000,0.0000000000,0.0000000000,0.0000000000,2.5264888414,2.7940820448,73.0968403641,25.2077910447,11.1000000000,1.0000000000,0.0000000000
4.1500000000,0.0000000000,0.0000000000,0.0000000000,2.5223498301,2.7923281243,73.5966054170,25.2126141481,11.1000000000,1.0000000000,0.0000000000
4.2000000000,0.0000000000,0.0000000000,0.0000000000,2.5182392689,2.7905689924,74.0945610559,25.2174861150,11.1000000000,1.0000000000,0.0000000000
4.2500000000,0.0000000000,0.0000000000,0.0000000000,2.5141568663,2.7888046944,74.5907170301,25.2224067468,11.1000000000,1.0000000000,0.0000000000
4.3000000000,0.0000000000,0.0000000000,0.0000000000,2.5101023343,2.7870352746,75.0850830051,25.2273758458,11.1000000000,1.0000000000,0.0000000000
4.3500000000,0.0000000000,0.0000000000,0.0000000000,2.5060753895,2.7852607768,75.5776685633,25.2323932155,11.1000000000,1.0000000000,0.0000000000
4.4000000000,0.0000000000,0.0000000000,0.0000000000,2.5020757520,2.7834812436,76.0684832053,25.2374586604,11.1000000000,1.0000000000,0.0000000000
4.4500000000,0.0000000000,0.0000000000,0.0000000000,2.4981031459,2.7816967172,76.5575363507,25.2425719859,11.1000000000,1.0000000000,0.0000000000
4.5000000000,0.0000000000,0.0000000000,0.0000000000,2.4941572993,2.7799072390,77.0448373394,25.2477329986,11.1000000000,1.0000000000,0.0000000000
4.5500000000,0.0000000000,0.0000000000,0.0000000000,2.4902379438,2.7781128497,77.5303954326,25.2529415058,11.1000000000,1.0000000000,0.0000000000
4.6000000000,0.0000000000,0.0000000000,0.0000000000,2.4863448147,2.7763135893,78.0142198133,25.2581973162,11.1000000000,1.0000000000,0.0000000000
4.6500000000,0.0000000000,0.0000000000,0.0000000000,2.4824776510,2.7745094972,78.4963195881,25.2635002391,11.1000000000,1.0000000000,0.0000000000
4.7000000000,0.0000000000,0.0000000000,0.0000000000,2.4786361952,2.7727006122,78.9767037874,25.2688500851,11.1000000000,1.0000000000,0.0000000000
4.7500000000,0.0000000000,0.0000000000,0.0000000000,2.4748201934,2.7708869724,79.4553813667,25.2742466656,11.1000000000,1.0000000000,0.0000000000
4.8000000000,0.0000000000,0.0000000000,0.0000000000,2.4710293950,2.7690686155,79.9323612076,25.2796897930,11.1000000000,1.0000000000,0.0000000000
4.8500000000,0.0000000000,0.0000000000,0.0000000000,2.4672635527,2.7672455784,80.4076521185,25.2851792805,11.1000000000,1.0000000000,0.0000000000
4.9000000000,0.0000000000,0.0000000000,0.0000000000,2.4635224227,2.7654178976,80.8812628357,25.2907149427,11.1000000000,1.0000000000,0.0000000000
4.9500000000,0.0000000000,0.0000000000,0.0000000000,2.4598057644,2.7635856091,81.3532020240,25.2962965946,11.1000000000,1.0000000000,0.0000000000
5.0000000000,0.0000000000,0.0000000000,0.0000000000,2.4561133403,2.7617487483,81.8234782778,25.3019240525,11.1000000000,1.0000000000,0.0000000000
5.0500000000,0.0000000000,0.0000000000,0.0000000000,2.4524449161,2.7599073501,82.2921001220,25.3075971334,11.1000000000,1.0000000000,0.0000000000
5.1000000000,0.0000000000,0.0000000000,0.0000000000,2.4488002606,2.7580614491,82.7590760127,25.3133156554,11.1000000000,1.0000000000,0.0000000000
5.1500000000,0.0000000000,0.0000000000,0.0000000000,2.4451791457,2.7562110791,83.2244143381,25.3190794375,11.1000000000,1.0000000000,0.0000000000
5.2000000000,0.0000000000,0.0000000000,0.0000000000,2.4415813461,2.7543562738,83.6881234190,25.3248882994,11.1000000000,1.0000000000,0.0000000000
5.2500000000,0.0000000000,0.0000000000,0.0000000000,2.4380066397,2.7524970663,84.1502115103,25.3307420619,11.1000000000,1.0000000000,0.0000000000
5.3000000000,0.0000000000,0.0000000000,0.0000000000,2.4344548072,2.7506334892,84.6106868010,25.3366405467,11.1000000000,1.0000000000,0.0000000000
5.3500000000,0.0000000000,0.0000000000,0.0000000000,2.4309256319,2.7487655748,85.0695574156,25.3425835761,11.1000000000,1.0000000000,0.0000000000
5.4000000000,0.0000000000,0.0000000000,0.0000000000,2.4274189003,2.7468933549,85.5268314146,25.3485709737,11.1000000000,1.0000000000,0.0000000000
5.4500000000,0.0000000000,0.0000000000,0.0000000000,2.4239344013,2.7450168611,85.9825167950,25.3546025637,11.1000000000,1.0000000000,0.0000000000
5.5000000000,0.0000000000,0.0000000000,0.0000000000,2.4204719267,2.7431361244,86.4366214916,25.3606781712,11.1000000000,1.0000000000,0.0000000000
