time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0500000000,0.0000000000,0.0000000000,0.0000000000,2.9169094718,2.7744005963,25.5101484680,25.0000490726,11.1000000000,1.0000000000,0.0000000000
0.1000000000,0.0000000000,0.0000000000,0.0000000000,2.9768222432,2.8596806427,26.1905216621,25.0002277625,11.1000000000,1.0000000000,0.0000000000
0.1500000000,0.0000000000,0.0000000000,0.0000000000,2.9742419562,2.8873747023,26.8718805040,25.0005442687,11.1000000000,1.0000000000,0.0000000000
0.2000000000,0.0000000000,0.0000000000,0.0000000000,2.9688745865,2.8993374713,27.5502575167,25.0009980670,11.1000000000,1.0000000000,0.0000000000
0.2500000000,0.0000000000,0.0000000000,0.0000000000,2.9624978411,2.9030685140,28.2251116025,25.0015883945,11.1000000000,1.0000000000,0.0000000000
0.3000000000,0.0000000000,0.0000000000,0.0000000000,2.9552615502,2.9029165366,28.8961688997,25.0023144171,11.1000000000,1.0000000000,0.0000000000
0.3500000000,0.0000000000,0.0000000000,0.0000000000,2.9477510471,2.9022696906,29.5632156376,25.0031752503,11.1000000000,1.0000000000,0.0000000000
0.4000000000,0.0000000000,0.0000000000,0.0000000000,2.9403024426,2.9014855234,30.2262415152,25.0041699907,11.1000000000,1.0000000000,0.0000000000
0.4500000000,0.0000000000,0.0000000000,0.0000000000,2.9329290177,2.9006173361,30.8852732714,25.0052977396,11.1000000000,1.0000000000,0.0000000000
0.5000000000,0.0000000000,0.0000000000,0.0000000000,2.9256330903,2.8996880335,31.5403411846,25.0065576043,11.1000000000,1.0000000000,0.0000000000
0.5500000000,0.0000000000,0.0000000000,0.0000000000,2.9184148319,2.8987104358,32.1914763975,25.0079486994,11.1000000000,1.0000000000,0.0000000000
0.6000000000,0.0000000000,0.0000000000,0.0000000000,2.9112737124,2.8976927472,32.8387102242,25.0094701461,11.1000000000,1.0000000000,0.0000000000
0.6500000000,0.0000000000,0.0000000000,0.0000000000,2.9042089143,2.8966406703,33.4820738903,25.0111210726,11.1000000000,1.0000000000,0.0000000000
0.7000000000,0.0000000000,0.0000000000,0.0000000000,2.8972194886,2.8955583997,34.1215984146,25.0129006141,11.1000000000,1.0000000000,0.0000000000
0.7500000000,0.0000000000,0.0000000000,0.0000000000,2.8903044238,2.8944491505,34.7573145504,25.0148079124,11.1000000000,1.0000000000,0.0000000000
