time_s,target_rad,angle_rad,speed_rad_s,current_a,torque_nm,winding_c,case_c,motor_voltage_v,duty,encoder_rad
0.0500000000,0.0000000000,0.0000000000,0.0000000000,2.9169046571,2.7743960089,25.5107790429,25.0000122820,11.1000000000,1.0000000000,0.0000000000
0.1000000000,0.0000000000,0.0000000000,0.0000000000,2.9767915550,2.8596638868,26.1934451912,25.0000570596,11.1000000000,1.0000000000,0.0000000000
0.1500000000,0.0000000000,0.0000000000,0.0000000000,2.9741673144,2.8873378445,26.8788593441,25.0001364879,11.1000000000,1.0000000000,0.0000000000
0.2000000000,0.0000000000,0.0000000000,0.0000000000,2.9687371384,2.8992662161,27.5630423844,25.0002505416,11.1000000000,1.0000000000,0.0000000000
0.2500000000,0.0000000000,0.0000000000,0.0000000000,2.9622788148,2.9029459242,28.2454383306,25.0003991352,11.1000000000,1.0000000000,0.0000000000
0.3000000000,0.0000000000,0.0000000000,0.0000000000,2.9549284381,2.9027692759,28.9257550659,25.0005821641,11.1000000000,1.0000000000,0.0000000000
0.3500000000,0.0000000000,0.0000000000,0.0000000000,2.9472954046,2.9021157020,29.6037619657,25.0007995102,11.1000000000,1.0000000000,0.0000000000
0.4000000000,0.0000000000,0.0000000000,0.0000000000,2.9397070884,2.9013258494,30.2794337295,25.0010510500,11.1000000000,1.0000000000,0.0000000000
0.4500000000,0.0000000000,0.0000000000,0.0000000000,2.9321767949,2.9004520962,30.9527808725,25.0013366600,11.1000000000,1.0000000000,0.0000000000
0.5000000000,0.0000000000,0.0000000000,0.0000000000,2.9247072153,2.8995170850,31.6238175550,25.0016562172,11.1000000000,1.0000000000,0.0000000000
0.5500000000,0.0000000000,0.0000000000,0.0000000000,2.9172989263,2.8985335198,32.2925589796,25.0020095997,11.1000000000,1.0000000000,0.0000000000
0.6000000000,0.0000000000,0.0000000000,0.0000000000,2.9099518026,2.8975095397,32.9590207080,25.0023966862,11.1000000000,1.0000000000,0.0000000000
0.6500000000,0.0000000000,0.0000000000,0.0000000000,2.9026654240,2.8964508048,33.6232184020,25.0028173562,11.1000000000,1.0000000000,0.0000000000
0.7000000000,0.0000000000,0.0000000000,0.0000000000,2.8954392293,2.8953614783,34.2851677040,25.0032714901,11.1000000000,1.0000000000,0.0000000000
0.7500000000,0.0000000000,0.0000000000,0.0000000000,2.8882725854,2.8942447508,34.9448841754,25.0037589692,11.1000000000,1.0000000000,0.0000000000
0.8000000000,0.0000000000,0.0000000000,0.0000000000,2.8811648211,2.8931031447,35.6023832616,25.0042796753,11.1000000000,1.0000000000,0.0000000000
0.8500000000,0.0000000000,0.0000000000,0.0000000000,2.8741152461,2.8919387042,36.2576802723,25.0048334912,11.1000000000,1.0000000000,0.0000000000
0.9000000000,0.0000000000,0.0000000000,0.0000000000,2.8671231618,2.8907531195,36.9107903696,25.0054203006,11.1000000000,1.0000000000,0.0000000000
0.9500000000,0.0000000000,0.0000000000,0.0000000000,2.8601878676,2.8895478115,37.5617285603,25.0060399878,11.1000000000,1.0000000000,0.0000000000
1.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8533086656,2.8883239910,38.2105096924,25.0066924378,11.1000000000,1.0000000000,0.0000000000
1.0500000000,0.0000000000,0.0000000000,0.0000000000,2.8464848627,2.8870827026,38.8571484525,25.0073775367,11.1000000000,1.0000000000,0.0000000000
1.1000000000,0.0000000000,0.0000000000,0.0000000000,2.8397157725,2.8858248569,39.5016593651,25.0080951710,11.1000000000,1.0000000000,0.0000000000
1.1500000000,0.0000000000,0.0000000000,0.0000000000,2.8330007165,2.8845512542,40.1440567926,25.0088452280,11.1000000000,1.0000000000,0.0000000000
1.2000000000,0.0000000000,0.0000000000,0.0000000000,2.8263390250,2.8832626042,40.7843549361,25.0096275961,11.1000000000,1.0000000000,0.0000000000
1.2500000000,0.0000000000,0.0000000000,0.0000000000,2.8197300374,2.8819595402,41.4225678364,25.0104421640,11.1000000000,1.0000000000,0.0000000000
1.3000000000,0.0000000000,0.0000000000,0.0000000000,2.8131731024,2.8806426310,42.0587093756,25.0112888213,11.1000000000,1.0000000000,0.0000000000
1.3500000000,0.0000000000,0.0000000000,0.0000000000,2.8066675786,2.8793123904,42.6927932783,25.0121674583,11.1000000000,1.0000000000,0.0000000000
1.4000000000,0.0000000000,0.0000000000,0.0000000000,2.8002128341,2.8779692851,43.3248331140,25.0130779661,11.1000000000,1.0000000000,0.0000000000
1.4500000000,0.0000000000,0.0000000000,0.0000000000,2.7938082471,2.8766137406,43.9548422985,25.0140202363,11.1000000000,1.0000000000,0.0000000000
1.5000000000,0.0000000000,0.0000000000,0.0000000000,2.7874532051,2.8752461467,44.5828340964,25.0149941614,11.1000000000,1.0000000000,0.0000000000
1.5500000000,0.0000000000,0.0000000000,0.0000000000,2.7811471057,2.8738668620,45.2088216227,25.0159996344,11.1000000000,1.0000000000,0.0000000000
1.6000000000,0.0000000000,0.0000000000,0.0000000000,2.7748893556,2.8724762174,45.8328178451,25.0170365492,11.1000000000,1.0000000000,0.0000000000
1.6500000000,0.0000000000,0.0000000000,0.0000000000,2.7686793715,2.8710745192,46.4548355860,25.0181048002,11.1000000000,1.0000000000,0.0000000000
1.7000000000,0.0000000000,0.0000000000,0.0000000000,2.7625165789,2.8696620522,47.0748875248,25.0192042824,11.1000000000,1.0000000000,0.0000000000
1.7500000000,0.0000000000,0.0000000000,0.0000000000,2.7564004130,2.8682390814,47.6929861995,25.0203348917,11.1000000000,1.0000000000,0.0000000000
1.8000000000,0.0000000000,0.0000000000,0.0000000000,2.7503303177,2.8668058546,48.3091440095,25.0214965243,11.1000000000,1.0000000000,0.0000000000
1.8500000000,0.0000000000,0.0000000000,0.0000000000,2.7443057459,2.8653626037,48.9233732171,25.0226890775,11.1000000000,1.0000000000,0.0000000000
1.9000000000,0.0000000000,0.0000000000,0.0000000000,2.7383261594,2.8639095463,49.5356859497,25.0239124488,11.1000000000,1.0000000000,0.0000000000
1.9500000000,0.0000000000,0.0000000000,0.0000000000,2.7323910285,2.8624468872,50.1460942018,25.0251665366,11.1000000000,1.0000000000,0.0000000000
2.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7264998320,2.8609748195,50.7546098374,25.0264512397,11.1000000000,1.0000000000,0.0000000000
2.0500000000,0.0000000000,0.0000000000,0.0000000000,2.7206520569,2.8594935254,51.3612445912,25.0277664578,11.1000000000,1.0000000000,0.0000000000
2.1000000000,0.0000000000,0.0000000000,0.0000000000,2.7148471985,2.8580031774,51.9660100711,25.0291120909,11.1000000000,1.0000000000,0.0000000000
2.1500000000,0.0000000000,0.0000000000,0.0000000000,2.7090847599,2.8565039390,52.5689177600,25.0304880398,11.1000000000,1.0000000000,0.0000000000
2.2000000000,0.0000000000,0.0000000000,0.0000000000,2.7033642524,2.8549959655,53.1699790178,25.0318942059,11.1000000000,1.0000000000,0.0000000000
2.2500000000,0.0000000000,0.0000000000,0.0000000000,2.6976851946,2.8534794043,53.7692050829,25.0333304910,11.1000000000,1.0000000000,0.0000000000
2.3000000000,0.0000000000,0.0000000000,0.0000000000,2.6920471129,2.8519543962,54.3666070742,25.0347967977,11.1000000000,1.0000000000,0.0000000000
2.3500000000,0.0000000000,0.0000000000,0.0000000000,2.6864495410,2.8504210752,54.9621959932,25.0362930291,11.1000000000,1.0000000000,0.0000000000
2.4000000000,0.0000000000,0.0000000000,0.0000000000,2.6808920201,2.8488795694,55.5559827252,25.0378190888,11.1000000000,1.0000000000,0.0000000000
2.4500000000,0.0000000000,0.0000000000,0.0000000000,2.6753740982,2.8473300011,56.1479780416,25.0393748810,11.1000000000,1.0000000000,0.0000000000
2.5000000000,0.0000000000,0.0000000000,0.0000000000,2.6698953305,2.8457724876,56.7381926010,25.0409603104,11.1000000000,1.0000000000,0.0000000000
2.5500000000,0.0000000000,0.0000000000,0.0000000000,2.6644552791,2.8442071413,57.3266369513,25.0425752825,11.1000000000,1.0000000000,0.0000000000
2.6000000000,0.0000000000,0.0000000000,0.0000000000,2.6590535126,2.8426340699,57.9133215315,25.0442197031,11.1000000000,1.0000000000,0.0000000000
2.6500000000,0.0000000000,0.0000000000,0.0000000000,2.6536896064,2.8410533772,58.4982566726,25.0458934786,11.1000000000,1.0000000000,0.0000000000
2.7000000000,0.0000000000,0.0000000000,0.0000000000,2.6483631424,2.8394651628,59.0814525999,25.0475965159,11.1000000000,1.0000000000,0.0000000000
2.7500000000,0.0000000000,0.0000000000,0.0000000000,2.6430737088,2.8378695224,59.6629194342,25.0493287226,11.1000000000,1.0000000000,0.0000000000
2.8000000000,0.0000000000,0.0000000000,0.0000000000,2.6378208999,2.8362665487,60.2426671934,25.0510900066,11.1000000000,1.0000000000,0.0000000000
2.8500000000,0.0000000000,0.0000000000,0.0000000000,2.6326043164,2.8346563306,60.8207057940,25.0528802764,11.1000000000,1.0000000000,0.0000000000
2.9000000000,0.0000000000,0.0000000000,0.0000000000,2.6274235647,2.8330389543,61.3970450526,25.0546994410,11.1000000000,1.0000000000,0.0000000000
2.9500000000,0.0000000000,0.0000000000,0.0000000000,2.6222782572,2.8314145028,61.9716946874,25.0565474101,11.1000000000,1.0000000000,0.0000000000
3.0000000000,0.0000000000,0.0000000000,0.0000000000,2.6171680123,2.8297830566,62.5446643192,25.0584240936,11.1000000000,1.0000000000,0.0000000000
3.0500000000,0.0000000000,0.0000000000,0.0000000000,2.6120924537,2.8281446934,63.1159634735,25.0603294022,11.1000000000,1.0000000000,0.0000000000
3.1000000000,0.0000000000,0.0000000000,0.0000000000,2.6070512109,2.8264994887,63.6856015814,25.0622632467,11.1000000000,1.0000000000,0.0000000000
3.1500000000,0.0000000000,0.0000000000,0.0000000000,2.6020439187,2.8248475153,64.2535879809,25.0642255389,11.1000000000,1.0000000000,0.0000000000
3.2000000000,0.0000000000,0.0000000000,0.0000000000,2.5970702174,2.8231888442,64.8199319184,25.0662161906,11.1000000000,1.0000000000,0.0000000000
3.2500000000,0.0000000000,0.0000000000,0.0000000000,2.5921297526,2.8215235440,65.3846425502,25.0682351143,11.1000000000,1.0000000000,0.0000000000
3.3000000000,0.0000000000,0.0000000000,0.0000000000,2.5872221748,2.8198516815,65.9477289431,25.0702822231,11.1000000000,1.0000000000,0.0000000000
3.3500000000,0.0000000000,0.0000000000,0.0000000000,2.5823471398,2.8181733216,66.5092000765,25.0723574304,11.1000000000,1.0000000000,0.0000000000
3.4000000000,0.0000000000,0.0000000000,0.0000000000,2.5775043083,2.8164885273,67.0690648430,25.0744606501,11.1000000000,1.0000000000,0.0000000000
3.4500000000,0.0000000000,0.0000000000,0.0000000000,2.5726933458,2.8147973601,67.6273320496,25.0765917964,11.1000000000,1.0000000000,0.0000000000
3.5000000000,0.0000000000,0.0000000000,0.0000000000,2.5679139228,2.8130998797,68.1840104196,25.0787507844,11.1000000000,1.0000000000,0.0000000000
3.5500000000,0.0000000000,0.0000000000,0.0000000000,2.5631657143,2.8113961443,68.7391085928,25.0809375292,11.1000000000,1.0000000000,0.0000000000
3.6000000000,0.0000000000,0.0000000000,0.0000000000,2.5584483999,2.8096862106,69.2926351273,25.0831519465,11.1000000000,1.0000000000,0.0000000000
3.6500000000,0.0000000000,0.0000000000,0.0000000000,2.5537616640,2.8079701341,69.8445985004,25.0853939526,11.1000000000,1.0000000000,0.0000000000
3.7000000000,0.0000000000,0.0000000000,0.0000000000,2.5491051952,2.8062479686,70.3950071098,25.0876634639,11.1000000000,1.0000000000,0.0000000000
3.7500000000,0.0000000000,0.0000000000,0.0000000000,2.5444786866,2.8045197669,70.9438692743,25.0899603977,11.1000000000,1.0000000000,0.0000000000
3.8000000000,0.0000000000,0.0000000000,0.0000000000,2.5398818355,2.8027855805,71.4911932356,25.0922846713,11.1000000000,1.0000000000,0.0000000000
3.8500000000,0.0000000000,0.0000000000,0.0000000000,2.5353143435,2.8010454597,72.0369871587,25.0946362027,11.1000000000,1.0000000000,0.0000000000
3.9000000000,0.0000000000,0.0000000000,0.0000000000,2.5307759163,2.7992994536,72.5812591330,25.0970149102,11.1000000000,1.0000000000,0.0000000000
3.9500000000,0.0000000000,0.0000000000,0.0000000000,2.5262662637,2.7975476103,73.1240171738,25.0994207125,11.1000000000,1.0000000000,0.0000000000
4.0000000000,0.0000000000,0.0000000000,0.0000000000,2.5217850995,2.7957899770,73.6652692227,25.1018535289,11.1000000000,1.0000000000,0.0000000000
4.0500000000,0.0000000000,0.0000000000,0.0000000000,2.5173321414,2.7940265996,74.2050231488,25.1043132788,11.1000000000,1.0000000000,0.0000000000
4.1000000000,0.0000000000,0.0000000000,0.0000000000,2.5129071110,2.7922575232,74.7432867499,25.1067998823,11.1000000000,1.0000000000,0.0000000000
4.1500000000,0.0000000000,0.0000000000,0.0000000000,2.5085097336,2.7904827922,75.2800677530,25.1093132597,11.1000000000,1.0000000000,0.0000000000
4.2000000000,0.0000000000,0.0000000000,0.0000000000,2.5041397385,2.7887024497,75.8153738157,25.1118533320,11.1000000000,1.0000000000,0.0000000000
4.2500000000,0.0000000000,0.0000000000,0.0000000000,2.4997968583,2.7869165383,76.3492125265,25.1144200202,11.1000000000,1.0000000000,0.0000000000
