evaluation 200: force 0.20188083290833952, moment 0.11705681079685293, torque Some(0.22773685573959376)
evaluation 400: force 0.20188083290833952, moment 0.11705681079685293, torque Some(0.22773685573959376)
evaluation 600: force 0.20188083290833952, moment 0.11705681079685293, torque Some(0.22773685573959376)
evaluation 800: force 0.20188083290833952, moment 0.11705681079685293, torque Some(0.22773685573959376)
evaluation 1000: force 0.20188174688511099, moment 0.11705545756815933, torque Some(0.22773685573959376)
evaluation 1200: force 0.20038499213186345, moment 0.1170275272662325, torque Some(0.22781237349646083)
evaluation 1400: force 0.20038499213186345, moment 0.1170275272662325, torque Some(0.22781237902543597)
evaluation 1600: force 0.20038499213186345, moment 0.1170275272662325, torque Some(0.22781237349646083)
evaluation 1800: force 0.20038499213186345, moment 0.1170275272662325, torque Some(0.22781237349646083)
evaluation 2000: force 0.20038499213186345, moment 0.1170275272662325, torque Some(0.22781237349646083)
evaluation 2200: force 0.20038499213186345, moment 0.1170275272662325, torque Some(0.22781237349646083)
evaluation 2400: force 0.1978956901270548, moment 0.11707481602258046, torque Some(0.22883539773969028)
evaluation 2600: force 0.1978956901270548, moment 0.11707481602258046, torque Some(0.22883539773969028)
evaluation 2800: force 0.1978956901270548, moment 0.11707481602258046, torque Some(0.22883539773969028)
evaluation 3000: force 0.1978956901270548, moment 0.11707481602258046, torque Some(0.22883539773969028)
evaluation 3200: force 0.19789612475820165, moment 0.11707371779388755, torque Some(0.22883539773969028)
evaluation 3400: force 0.1978956901270548, moment 0.11707481602258046, torque Some(0.22883539773969028)
evaluation 3600: force 0.18997175931404972, moment 0.11598088088520288, torque Some(0.23076876101376376)
evaluation 3800: force 0.18997175931404972, moment 0.11598088088520288, torque Some(0.23076876101376376)
evaluation 4000: force 0.18997175931404972, moment 0.11598088088520288, torque Some(0.23076876101376376)
evaluation 4200: force 0.18997175931404972, moment 0.11598088088520288, torque Some(0.23076876101376376)
evaluation 4400: force 0.18997177641129206, moment 0.1159808643676092, torque Some(0.23076876101376376)
evaluation 4600: force 0.181663775104144, moment 0.10399462249137648, torque Some(0.2248576057985339)
evaluation 4800: force 0.181663775104144, moment 0.10399462249137648, torque Some(0.22485760601226065)
evaluation 5000: force 0.181663775104144, moment 0.10399462249137648, torque Some(0.2248576057985339)
evaluation 5200: force 0.181663775104144, moment 0.10399462249137648, torque Some(0.2248576057985339)
evaluation 5400: force 0.181663775104144, moment 0.10399462249137648, torque Some(0.2248576057985339)
evaluation 5600: force 0.18179497142920623, moment 0.10399437368979822, torque Some(0.2248576057985339)
evaluation 5800: force 0.18192174228507207, moment 0.09008378087231982, torque Some(0.24296460158997862)
evaluation 6000: force 0.18192174228507207, moment 0.09008378087231982, torque Some(0.24296463452671438)
evaluation 6200: force 0.18192174228507207, moment 0.09008378087231982, torque Some(0.24296460158997862)
evaluation 6400: force 0.18192174228507207, moment 0.09008378087231982, torque Some(0.24296460158997862)
evaluation 6600: force 0.18192174228507207, moment 0.09008378087231982, torque Some(0.24296460158997862)
evaluation 6800: force 0.18192174228507207, moment 0.09008378087231982, torque Some(0.24296460158997862)
evaluation 7000: force 0.19145867498690589, moment 0.0631550221897767, torque Some(0.25004188321398924)
evaluation 7200: force 0.19145867498690589, moment 0.0631550221897767, torque Some(0.25004188321398924)
evaluation 7400: force 0.19145867498690589, moment 0.06320293422908248, torque Some(0.25004188321398924)
evaluation 7600: force 0.19145867498690589, moment 0.0631550221897767, torque Some(0.25004188321398924)
evaluation 7800: force 0.19145867498690589, moment 0.0631550221897767, torque Some(0.25004188321398924)
evaluation 8000: force 0.19145867498690589, moment 0.0631550221897767, torque Some(0.25004188321398924)
evaluation 8200: force 0.16857512406587621, moment 0.06328739756278083, torque Some(0.25085730413827584)
evaluation 8400: force 0.16857512406587621, moment 0.06328739756278083, torque Some(0.25085730413827584)
evaluation 8600: force 0.16857512406587621, moment 0.06328739756278083, torque Some(0.25085730413827584)
evaluation 8800: force 0.16857512406587621, moment 0.06328739756278083, torque Some(0.25085730413827584)
evaluation 9000: force 0.1685737780023347, moment 0.06328739756278083, torque Some(0.25085730413827584)
evaluation 9200: force 0.1683824669527375, moment 0.06328892544038682, torque Some(0.2508878277150597)
evaluation 9400: force 0.1683824669527375, moment 0.06328892544038682, torque Some(0.2508878279287782)
evaluation 9600: force 0.1683824669527375, moment 0.0632890875993453, torque Some(0.2508878277150597)
evaluation 9800: force 0.1683824669527375, moment 0.06328892544038682, torque Some(0.2508878277150597)
evaluation 10000: force 0.1683824669527375, moment 0.06328892544038682, torque Some(0.2508878277150597)
