smoothing 0.00001 evaluation 20: force 1.6647, moment 0.6802, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 40: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 60: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 80: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 100: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 120: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 140: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 160: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 180: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 200: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 220: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 240: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 260: force 1.6647, moment 0.6804, torque Some(-0.603786851057774)
smoothing 0.00001 evaluation 280: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 300: force 1.6647, moment 0.6804, torque Some(-0.6037879785455815)
smoothing 0.00001 evaluation 320: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 340: force 1.6647, moment 0.6804, torque Some(-0.6012373694683186)
smoothing 0.00001 evaluation 360: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 380: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 400: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 420: force 1.6647, moment 0.6804, torque Some(-0.6037882557207035)
smoothing 0.00001 evaluation 440: force 1885.1267, moment 790.0728, torque Some(-175.89594400778162)
smoothing 0.00001 evaluation 460: force 1.6126, moment 0.6691, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 480: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 500: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 520: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 540: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 560: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 580: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 600: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 620: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 640: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 660: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 680: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 700: force 1.6102, moment 0.6698, torque Some(-0.590716709093188)
smoothing 0.00001 evaluation 720: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 740: force 1.6102, moment 0.6698, torque Some(-0.5907188786072504)
smoothing 0.00001 evaluation 760: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 780: force 1.6102, moment 0.6698, torque Some(-0.5905910096792266)
smoothing 0.00001 evaluation 800: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 820: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 840: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 860: force 1.6102, moment 0.6698, torque Some(-0.5907175838722325)
smoothing 0.00001 evaluation 880: force 1.5231, moment 0.6482, torque Some(-0.5629337674268051)
smoothing 0.00001 evaluation 900: force 1.5215, moment 0.6471, torque Some(-0.5629337674268051)
smoothing 0.00001 evaluation 920: force 1.5217, moment 0.6471, torque Some(-0.5629337674268051)
smoothing 0.00001 evaluation 940: force 1.5217, moment 0.6471, torque Some(-0.5629337674268051)
smoothing 0.00001 evaluation 960: force 1.5217, moment 0.6471, torque Some(-0.5629337674268051)
smoothing 0.00001 evaluation 980: force 1.5217, moment 0.6471, torque Some(-0.5629337674268051)
smoothing 0.00001 evaluation 1000: force 1.5217, moment 0.6471, torque Some(-0.5629337674268051)
smoothing 0.00001 evaluation 1020: force 1.5217, moment 0.6471, torque Some(-0.5629337674268051)
