smoothing 0.001 evaluation 20: force 0.0071, moment 0.0025, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 40: force 0.0118, moment 0.0017, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 60: force 0.0151, moment 0.0051, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 80: force 0.0230, moment 0.0085, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 100: force 0.0089, moment 0.0017, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 120: force 0.0118, moment 0.0063, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 140: force 0.0385, moment 0.0129, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 160: force 0.0126, moment 0.0017, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 180: force 0.0107, moment 0.0017, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 200: force 0.0071, moment 0.0019, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 220: force 0.0126, moment 0.0019, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 240: force 0.0149, moment 0.0022, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 260: force 0.0096, moment 0.0102, torque Some(-0.004209041690607873)
smoothing 0.001 evaluation 280: force 0.0147, moment 0.0032, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 300: force 0.0071, moment 0.0018, torque Some(-0.00421249873786933)
smoothing 0.001 evaluation 320: force 0.0071, moment 0.0017, torque Some(-0.004217221613601441)
smoothing 0.001 evaluation 340: force 0.0139, moment 0.0060, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 360: force 0.0145, moment 0.0028, torque Some(-0.003852606312844842)
smoothing 0.001 evaluation 380: force 0.0071, moment 0.0017, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 400: force 0.0071, moment 0.0017, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 420: force 0.0095, moment 0.0023, torque Some(-0.004207344968353344)
smoothing 0.001 evaluation 440: force 0.0141, moment 0.0027, torque Some(-0.0017587304574142593)
smoothing 0.001 evaluation 460: force 0.0095, moment 0.0018, torque Some(-0.0017587304574142593)
smoothing 0.001 evaluation 480: force 0.0216, moment 0.0017, torque Some(-0.0017678435734458375)
smoothing 0.001 evaluation 500: force 0.0067, moment 0.0017, torque Some(-0.0017587304574142593)
smoothing 0.001 evaluation 520: force 0.0151, moment 0.0096, torque Some(-0.0017130421438014132)
