smoothing 0.00001 evaluation 20: force 1.2761, moment 0.6401, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 40: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 60: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 80: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 100: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 120: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 140: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 160: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 180: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 200: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 220: force 1.2760, moment 0.6403, torque Some(-0.5456368371646967)
smoothing 0.00001 evaluation 240: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 260: force 1.2760, moment 0.6403, torque Some(-0.5420870036967078)
smoothing 0.00001 evaluation 280: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 300: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 320: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 340: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 360: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 380: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 400: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 420: force 1.2760, moment 0.6403, torque Some(-0.5456366474846925)
smoothing 0.00001 evaluation 440: force 1253.7717, moment 499.8198, torque Some(-109.43507816327286)
smoothing 0.00001 evaluation 460: force 1.2772, moment 0.6398, torque Some(-0.5455994504699959)
smoothing 0.00001 evaluation 480: force 1.2756, moment 0.6402, torque Some(-0.5455994504699959)
smoothing 0.00001 evaluation 500: force 1.2756, moment 0.6402, torque Some(-0.5455994504699959)
smoothing 0.00001 evaluation 520: force 1.2756, moment 0.6402, torque Some(-0.5455994504699959)
smoothing 0.00001 evaluation 540: force 1.2756, moment 0.6402, torque Some(-0.5455994504699959)
smoothing 0.00001 evaluation 560: force 1.2756, moment 0.6402, torque Some(-0.5455994504699959)
smoothing 0.00001 evaluation 580: force 1.2756, moment 0.6402, torque Some(-0.5455994504699959)
