smoothing 0.01 evaluation 20: force 78.3092, moment 6.3760, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 40: force 78.3092, moment 6.3760, torque Some(-3.167229898234246)
smoothing 0.01 evaluation 60: force 78.3087, moment 6.3760, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 80: force 78.3092, moment 6.3760, torque Some(-3.166699105717268)
smoothing 0.01 evaluation 100: force 78.3139, moment 6.3760, torque Some(-3.167658269268094)
smoothing 0.01 evaluation 120: force 78.3092, moment 6.3760, torque Some(-3.167208305197957)
smoothing 0.01 evaluation 140: force 78.3088, moment 6.3760, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 160: force 78.3092, moment 6.3760, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 180: force 78.3092, moment 6.3760, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 200: force 78.3092, moment 6.3760, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 220: force 78.3092, moment 6.3760, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 240: force 78.3092, moment 6.3760, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 260: force 78.3092, moment 6.3760, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 280: force 78.3092, moment 6.3759, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 300: force 78.3092, moment 6.3765, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 320: force 78.3092, moment 6.3762, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 340: force 78.3092, moment 6.3742, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 360: force 78.3092, moment 6.3716, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 380: force 78.3092, moment 6.3760, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 400: force 78.3092, moment 6.3760, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 420: force 78.3092, moment 6.3760, torque Some(-3.167230035274155)
smoothing 0.01 evaluation 440: force 44.8208, moment 11.7261, torque Some(-5.561974412742739)
smoothing 0.01 evaluation 460: force 44.8150, moment 11.7234, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 480: force 44.8131, moment 11.7138, torque Some(-5.560571797963273)
smoothing 0.01 evaluation 500: force 44.8309, moment 11.7281, torque Some(-5.562968661902352)
smoothing 0.01 evaluation 520: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 540: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 560: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 580: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 600: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 620: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 640: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 660: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 680: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 700: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 720: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 740: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 760: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 780: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 800: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 820: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 840: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 860: force 44.8208, moment 11.7236, torque Some(-5.561960842824098)
smoothing 0.01 evaluation 880: force 13.8849, moment 5.6003, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 900: force 13.8847, moment 5.6002, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 920: force 13.8838, moment 5.6000, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 940: force 13.8829, moment 5.5972, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 960: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 980: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1000: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1020: force 13.8853, moment 5.6005, torque Some(-1.382985243374715)
smoothing 0.01 evaluation 1040: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1060: force 13.8853, moment 5.6005, torque Some(-1.3829863893314183)
smoothing 0.01 evaluation 1080: force 13.8853, moment 5.6005, torque Some(-1.3829836896483367)
smoothing 0.01 evaluation 1100: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1120: force 13.8853, moment 5.6005, torque Some(-1.381652603779822)
smoothing 0.01 evaluation 1140: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1160: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1180: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1200: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1220: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1240: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1260: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1280: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1300: force 13.8853, moment 5.6005, torque Some(-1.3829858760373985)
smoothing 0.01 evaluation 1320: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1340: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1360: force 9.0907, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1380: force 9.0903, moment 3.2699, torque Some(-1.2841976397209907)
smoothing 0.01 evaluation 1400: force 9.0911, moment 3.2695, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1420: force 9.0917, moment 3.2697, torque Some(-1.2842578181171302)
smoothing 0.01 evaluation 1440: force 9.0896, moment 3.2699, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1460: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1480: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1500: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1520: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1540: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1560: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1580: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1600: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1620: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1640: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1660: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1680: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1700: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1720: force 9.0908, moment 3.2703, torque Some(-1.2841970801413218)
smoothing 0.01 evaluation 1740: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1760: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1780: force 11.3924, moment 2.1069, torque Some(-1.3778141407016593)
smoothing 0.01 evaluation 1800: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1820: force 11.3924, moment 2.1065, torque Some(-1.3777816978718023)
smoothing 0.01 evaluation 1840: force 11.3924, moment 2.1062, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1860: force 11.3894, moment 2.1067, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1880: force 11.3871, moment 2.1035, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1900: force 11.3925, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1920: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1940: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1960: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 1980: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2000: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2020: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2040: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
smoothing 0.01 evaluation 2060: force 11.3924, moment 2.1069, torque Some(-1.3778103335856808)
