evaluation 200: force 0.17636854731332974, moment 0.06451054336343987, torque Some(-0.000194122158491572)
evaluation 400: force 0.17636854731332974, moment 0.06447538388796914, torque Some(-0.000194122158491572)
evaluation 600: force 0.17636854731332974, moment 0.06451054336343987, torque Some(-0.000194122158491572)
evaluation 800: force 0.17636854731332974, moment 0.06451054336343987, torque Some(-0.000194122158491572)
evaluation 1000: force 0.17636854731332974, moment 0.06451054336343987, torque Some(-0.000194122158491572)
evaluation 1200: force 0.17601062972967696, moment 0.06447078816677028, torque Some(-0.00019391904114973713)
evaluation 1400: force 0.17605436954099607, moment 0.06447078816677028, torque Some(-0.00019391904114973713)
evaluation 1600: force 0.17605436954099607, moment 0.06447124296285729, torque Some(-0.00019391904114973713)
evaluation 1800: force 0.17605436954099607, moment 0.06447078816677028, torque Some(-0.00019391904114973713)
evaluation 2000: force 0.17605436954099607, moment 0.06447078816677028, torque Some(-0.00019391904114973713)
evaluation 2200: force 0.17605436954099607, moment 0.06447078816677028, torque Some(-0.00019391904114973713)
evaluation 2400: force 0.17548381901270216, moment 0.06414207689917406, torque Some(-0.00019417768315777018)
evaluation 2600: force 0.17552706690864683, moment 0.06414207689917406, torque Some(-0.00019417768315777018)
evaluation 2800: force 0.17552706690864683, moment 0.06414207689917406, torque Some(-0.00019417768315777018)
evaluation 3000: force 0.17552706690864683, moment 0.06414207689917406, torque Some(-0.00019417768315777018)
evaluation 3200: force 0.17552706690864683, moment 0.06414207689917406, torque Some(-0.00019417768315777018)
evaluation 3400: force 0.17552706690864683, moment 0.06414207689917406, torque Some(-0.00019417768315777018)
evaluation 3600: force 0.1752068782923375, moment 0.06408195416085194, torque Some(-0.00019332837157626237)
evaluation 3800: force 0.1752068782923375, moment 0.0640792383531461, torque Some(-0.00019332837157626237)
evaluation 4000: force 0.1752068782923375, moment 0.06408195416085194, torque Some(-0.00019332837157626237)
evaluation 4200: force 0.1752068782923375, moment 0.06408195416085194, torque Some(-0.00019332837157626237)
evaluation 4400: force 0.1752068782923375, moment 0.06408195416085194, torque Some(-0.00019332837157626237)
evaluation 4600: force 0.17520744614105987, moment 0.06408195416085194, torque Some(-0.00019332837157626237)
evaluation 4800: force 0.1751032975295964, moment 0.06404138072394752, torque Some(-0.00019302368548679283)
evaluation 5000: force 0.1751032975295964, moment 0.06402216831497756, torque Some(-0.00019302368548679283)
evaluation 5200: force 0.1751032975295964, moment 0.06404138072394752, torque Some(-0.00019302368548679283)
evaluation 5400: force 0.1751032975295964, moment 0.06404138072394752, torque Some(-0.00019302368548679283)
evaluation 5600: force 0.1751032975295964, moment 0.06404138072394752, torque Some(-0.00019302368548679283)
evaluation 5800: force 0.1747050560580221, moment 0.06397134999910523, torque Some(-0.00019170892553099783)
evaluation 6000: force 0.17470506972253652, moment 0.06397134999910523, torque Some(-0.00019170892553099783)
evaluation 6200: force 0.17470506972253652, moment 0.06397417494381755, torque Some(-0.00019170892553099783)
evaluation 6400: force 0.17470506972253652, moment 0.06397134999910523, torque Some(-0.00019170892553099783)
evaluation 6600: force 0.17470506972253652, moment 0.06397134999910523, torque Some(-0.00019170892553099783)
evaluation 6800: force 0.17470506972253652, moment 0.06397134999910523, torque Some(-0.00019170892553099783)
evaluation 7000: force 0.17432721652820315, moment 0.0639549070940978, torque Some(-0.00018857507298841725)
