evaluation 200: force 0.17079263756532845, moment 0.06334386726397878, torque Some(-0.000186486644608852)
evaluation 400: force 0.17079263756532845, moment 0.06330908869609182, torque Some(-0.000186486644608852)
evaluation 600: force 0.17079263756532845, moment 0.06334386726397878, torque Some(-0.000186486644608852)
evaluation 800: force 0.17079263756532845, moment 0.06334386726397878, torque Some(-0.000186486644608852)
evaluation 1000: force 0.17079263756532845, moment 0.06334386726397878, torque Some(-0.000186486644608852)
evaluation 1200: force 0.17071087063607762, moment 0.06328411730889663, torque Some(-0.00018639307373358172)
evaluation 1400: force 0.17075791764643425, moment 0.06328411730889663, torque Some(-0.00018639307373358172)
evaluation 1600: force 0.17075791764643425, moment 0.06328456875504554, torque Some(-0.00018639307373358172)
evaluation 1800: force 0.17075791764643425, moment 0.06328411730889663, torque Some(-0.00018639307373358172)
evaluation 2000: force 0.17075791764643425, moment 0.06328411730889663, torque Some(-0.00018639307373358172)
evaluation 2200: force 0.17075791764643425, moment 0.06328411730889663, torque Some(-0.00018639307373358172)
evaluation 2400: force 0.17070094833016944, moment 0.06326602221547395, torque Some(-0.0001863585781329835)
evaluation 2600: force 0.17070359251689524, moment 0.06326602221547395, torque Some(-0.00018635566400138082)
evaluation 2800: force 0.17070359251689524, moment 0.06326602221547395, torque Some(-0.00018635566400138082)
evaluation 3000: force 0.17070359251689524, moment 0.06326602221547395, torque Some(-0.00018635566400138082)
evaluation 3200: force 0.17070359251689524, moment 0.06326602221547395, torque Some(-0.00018635566400138082)
evaluation 3400: force 0.17070359251689524, moment 0.06326602221547395, torque Some(-0.00018635566400138082)
evaluation 3600: force 0.17066655349062892, moment 0.06325421174547241, torque Some(-0.0001863238971675507)
evaluation 3800: force 0.17066655349062892, moment 0.06325149880589653, torque Some(-0.0001863238971675507)
evaluation 4000: force 0.17066655349062892, moment 0.06325421174547241, torque Some(-0.0001863238971675507)
evaluation 4200: force 0.17066655349062892, moment 0.06325421174547241, torque Some(-0.0001863238971675507)
evaluation 4400: force 0.17066655349062892, moment 0.06325421174547241, torque Some(-0.0001863238971675507)
evaluation 4600: force 0.17066713311025022, moment 0.06325421174547241, torque Some(-0.0001863238971675507)
evaluation 4800: force 0.1705477176206074, moment 0.06320760838711843, torque Some(-0.00018630958341181447)
evaluation 5000: force 0.1705477176206074, moment 0.06322683081189524, torque Some(-0.00018630958341181447)
evaluation 5200: force 0.1705477176206074, moment 0.06320760838711843, torque Some(-0.00018630958341181447)
evaluation 5400: force 0.1705477176206074, moment 0.06320760838711843, torque Some(-0.00018630958341181447)
evaluation 5600: force 0.1705477176206074, moment 0.06320760838711843, torque Some(-0.00018630958341181447)
evaluation 5800: force 0.17046448408831139, moment 0.06318461042210308, torque Some(-0.00018624671377143187)
evaluation 6000: force 0.17046259677624764, moment 0.06318461042210308, torque Some(-0.00018624671377143187)
evaluation 6200: force 0.17046259677624764, moment 0.06318472039325056, torque Some(-0.00018624671377143187)
evaluation 6400: force 0.17046259677624764, moment 0.06318461042210308, torque Some(-0.00018624671377143187)
evaluation 6600: force 0.17046259677624764, moment 0.06318461042210308, torque Some(-0.00018624671377143187)
evaluation 6800: force 0.17046259677624764, moment 0.06318461042210308, torque Some(-0.00018624671377143187)
evaluation 7000: force 0.17034645762930425, moment 0.0631447198946583, torque Some(-0.00018718439970077938)
evaluation 7200: force 0.17034031002695865, moment 0.0631447198946583, torque Some(-0.00018611650404976032)
evaluation 7400: force 0.17034031002695865, moment 0.0631447198946583, torque Some(-0.00018611650404976032)
evaluation 7600: force 0.17034031002695865, moment 0.0631447198946583, torque Some(-0.00018611650404976032)
evaluation 7800: force 0.17034031002695865, moment 0.0631447198946583, torque Some(-0.00018611650404976032)
evaluation 8000: force 0.17034031002695865, moment 0.0631447198946583, torque Some(-0.00018611650404976032)
evaluation 8200: force 0.17023815312472879, moment 0.06310789406460901, torque Some(-0.000186049594645743)
evaluation 8400: force 0.17023815312472879, moment 0.06312051907353484, torque Some(-0.00018605040239405568)
evaluation 8600: force 0.17023815312472879, moment 0.06310789406460901, torque Some(-0.00018605040239405568)
evaluation 8800: force 0.17023815312472879, moment 0.06310789406460901, torque Some(-0.00018605040239405568)
evaluation 9000: force 0.17023815312472879, moment 0.06310789406460901, torque Some(-0.00018605040239405568)
evaluation 9200: force 0.17023320734093095, moment 0.06310789406460901, torque Some(-0.00018605040239405568)
