evaluation 200: force 0.17636854731332974, moment 0.06451054336343987, torque Some(-0.000194122158491572)
evaluation 400: force 0.17636854731332974, moment 0.06447538388796914, torque Some(-0.000194122158491572)
evaluation 600: force 0.17636854731332974, moment 0.06451054336343987, torque Some(-0.000194122158491572)
evaluation 800: force 0.17636854731332974, moment 0.06451054336343987, torque Some(-0.000194122158491572)
evaluation 1000: force 0.17636854731332974, moment 0.06451054336343987, torque Some(-0.000194122158491572)
evaluation 1200: force 7.017726137535184, moment 1.120930323500326, torque Some(1.993533748145815e-5)
evaluation 1400: force 7.017726137535184, moment 1.120930323500326, torque Some(1.993533748145815e-5)
evaluation 1600: force 7.017726137535184, moment 1.120930323500326, torque Some(1.993533748145815e-5)
evaluation 1800: force 7.017726137535184, moment 1.120930323500326, torque Some(1.993533748145815e-5)
evaluation 2000: force 7.017726137535184, moment 1.120930323500326, torque Some(1.993533748145815e-5)
evaluation 2200: force 7.017726137535184, moment 1.1209324668177618, torque Some(1.993533748145815e-5)
evaluation 2400: force 16.38458862802188, moment 3.410588001981416, torque Some(-0.002991075998009851)
evaluation 2600: force 16.38458862802188, moment 3.410588001981416, torque Some(-0.002991078958795468)
evaluation 2800: force 16.384628990929365, moment 3.410588001981416, torque Some(-0.002991078958795468)
evaluation 3000: force 16.38458862802188, moment 3.410588001981416, torque Some(-0.002991078958795468)
evaluation 3200: force 16.38458862802188, moment 3.410588001981416, torque Some(-0.002991078958795468)
evaluation 3400: force 16.38458862802188, moment 3.410588001981416, torque Some(-0.002991078958795468)
evaluation 3600: force 17.43179192604565, moment 4.100126739933034, torque Some(0.0011868879586658387)
evaluation 3800: force 17.43179192604565, moment 4.100126739933034, torque Some(0.0011868879586658387)
evaluation 4000: force 17.43179192604565, moment 4.100126739933034, torque Some(0.0011868879586658387)
evaluation 4200: force 17.43179192604565, moment 4.100126739933034, torque Some(0.0011868879586658387)
evaluation 4400: force 17.43179192604565, moment 4.100126739933034, torque Some(0.0011868879586658387)
evaluation 4600: force 17.43179192604565, moment 4.100126739933034, torque Some(0.0011868879586658387)
evaluation 4800: force 21.845722273531745, moment 6.778242633416637, torque Some(0.001527519293819779)
evaluation 5000: force 21.845722273531745, moment 6.778242633416637, torque Some(0.0015275443914293252)
evaluation 5200: force 21.845722273531745, moment 6.778242633416637, torque Some(0.0015275443914293252)
evaluation 5400: force 21.845722273531745, moment 6.778242633416637, torque Some(0.0015275443914293252)
evaluation 5600: force 21.845722273531745, moment 6.778242633416637, torque Some(0.0015275443914293252)
evaluation 5800: force 23.39377831928536, moment 7.173231830824042, torque Some(0.0001738456995294957)
evaluation 6000: force 23.39377831928536, moment 7.17323006413381, torque Some(0.0001738456995294957)
evaluation 6200: force 23.39377831928536, moment 7.173231830824042, torque Some(0.0001738456995294957)
evaluation 6400: force 23.39377831928536, moment 7.173231830824042, torque Some(0.0001738456995294957)
evaluation 6600: force 23.39377831928536, moment 7.173231830824042, torque Some(0.00017382753270489548)
evaluation 6800: force 23.39377831928536, moment 7.173231830824042, torque Some(0.0001738456995294957)
evaluation 7000: force 23.503964695123987, moment 7.192331306615501, torque Some(-0.00010824063888570379)
evaluation 7200: force 23.503964695123987, moment 7.192275693324315, torque Some(-0.00010824063888570379)
evaluation 7400: force 23.503961848541703, moment 7.192331306615501, torque Some(-0.00010824063888570379)
