evaluation 200: force 0.21538993266463513, moment 0.05897711273991879, torque Some(-4.446426384363544e-6)
evaluation 400: force 0.21538993266463513, moment 0.05897711273991879, torque Some(-4.446426384363544e-6)
evaluation 600: force 0.21538993266463513, moment 0.05897711273991879, torque Some(-4.446426384363544e-6)
evaluation 800: force 0.21538993266463513, moment 0.05897711273991879, torque Some(-4.446426384363544e-6)
evaluation 1000: force 0.21538993266463513, moment 0.05897711273991879, torque Some(-4.446426384363544e-6)
evaluation 1200: force 0.18231158197882394, moment 0.05467710133798587, torque Some(-0.0001702632182352115)
evaluation 1400: force 0.18231158197882394, moment 0.05467710133798587, torque Some(-0.00017112040894784464)
evaluation 1600: force 0.18231158197882394, moment 0.05467710133798587, torque Some(-0.00017112040894784464)
evaluation 1800: force 0.18231158197882394, moment 0.05467710133798587, torque Some(-0.00017112040894784464)
evaluation 2000: force 0.1823228992544428, moment 0.05467710133798587, torque Some(-0.00017112040894784464)
evaluation 2200: force 0.18231158197882394, moment 0.05467710133798587, torque Some(-0.00017112040894784464)
evaluation 2400: force 0.1754900978435469, moment 0.05271588547450823, torque Some(-0.0002576475192179739)
evaluation 2600: force 0.1754900978435469, moment 0.05271623013609861, torque Some(-0.0002576475192179739)
evaluation 2800: force 0.1754900978435469, moment 0.05271588547450823, torque Some(-0.0002576475192179739)
evaluation 3000: force 0.1754900978435469, moment 0.05271588547450823, torque Some(-0.0002576475192179739)
evaluation 3200: force 0.1754481607043476, moment 0.05271588547450823, torque Some(-0.0002576475192179739)
evaluation 3400: force 0.1754900978435469, moment 0.05271588547450823, torque Some(-0.0002576475192179739)
evaluation 3600: force 0.17021928191946, moment 0.05060921345346148, torque Some(-0.00042499543122809236)
evaluation 3800: force 0.17021928191946, moment 0.05061213261252151, torque Some(-0.0004249983922832712)
evaluation 4000: force 0.17021928191946, moment 0.05060921345346148, torque Some(-0.0004249983922832712)
evaluation 4200: force 0.17021928191946, moment 0.05060921345346148, torque Some(-0.0004249983922832712)
evaluation 4400: force 0.17021928191946, moment 0.05060921345346148, torque Some(-0.0004249983922832712)
evaluation 4600: force 0.17021928191946, moment 0.05060921345346148, torque Some(-0.0004249983922832712)
evaluation 4800: force 0.1679967107604832, moment 0.04947121448545322, torque Some(-0.0005005026976336868)
evaluation 5000: force 0.1679967107604832, moment 0.04947121448545322, torque Some(-0.0005005026976336868)
evaluation 5200: force 0.1679967107604832, moment 0.04947121448545322, torque Some(-0.0005005026976336868)
evaluation 5400: force 0.1679967107604832, moment 0.04947121448545322, torque Some(-0.0005005026976336868)
evaluation 5600: force 0.1679967107604832, moment 0.04947121448545322, torque Some(-0.0005005026976336868)
evaluation 5800: force 0.1656358842991134, moment 0.04814939919734451, torque Some(-0.000645650555104238)
evaluation 6000: force 0.1656358842991134, moment 0.04814939919734451, torque Some(-0.000645650555104238)
