evaluation 200: force 0.117075037591618, moment 0.07173095832467218, torque Some(0.3102679986413426)
evaluation 400: force 0.117075037591618, moment 0.07173095832467218, torque Some(0.3102679986413426)
evaluation 600: force 0.117075037591618, moment 0.07173095832467218, torque Some(0.3102679986413426)
evaluation 800: force 0.117075037591618, moment 0.07173095832467218, torque Some(0.3102679986413426)
evaluation 1000: force 0.11707807481780133, moment 0.07172980287274865, torque Some(0.3102679986413426)
evaluation 1200: force 0.11972918171789797, moment 0.07034147929170968, torque Some(0.3107555292755948)
evaluation 1400: force 0.11972918171789797, moment 0.07034147929170968, torque Some(0.3107555292755948)
evaluation 1600: force 0.11972918171789797, moment 0.07034147929170968, torque Some(0.3107555292755948)
evaluation 1800: force 0.11972918171789797, moment 0.07034147929170968, torque Some(0.3107555292755948)
evaluation 2000: force 0.11972918171789797, moment 0.07034147929170968, torque Some(0.3107555292755948)
evaluation 2200: force 0.11972918171789797, moment 0.07034147929170968, torque Some(0.3107555292755948)
evaluation 2400: force 0.11967563421337366, moment 0.07026694611402878, torque Some(0.31124532805897587)
evaluation 2600: force 0.11967563421337366, moment 0.07026694611402878, torque Some(0.31124532949223205)
evaluation 2800: force 0.11967563421337366, moment 0.07026694611402878, torque Some(0.31124532805897587)
evaluation 3000: force 0.11967563421337366, moment 0.07026694611402878, torque Some(0.31124532805897587)
evaluation 3200: force 0.11967554499137438, moment 0.07026712306844843, torque Some(0.31124532805897587)
evaluation 3400: force 0.11967563421337366, moment 0.07026694611402878, torque Some(0.31124532805897587)
evaluation 3600: force 0.11973746791379596, moment 0.07025403560283196, torque Some(0.3113988395309956)
evaluation 3800: force 0.11973746791379596, moment 0.07025403560283196, torque Some(0.3113988395309956)
evaluation 4000: force 0.11973746791379596, moment 0.07025403560283196, torque Some(0.3113988395309956)
evaluation 4200: force 0.11973746791379596, moment 0.07025403560283196, torque Some(0.3113988395309956)
evaluation 4400: force 0.11934919833665646, moment 0.07040107664248517, torque Some(0.3113988395309956)
evaluation 4600: force 0.11973746791379596, moment 0.07025403560283196, torque Some(0.3113988395309956)
evaluation 4800: force 0.11976780767020642, moment 0.07023676445956174, torque Some(0.3118472785016161)
evaluation 5000: force 0.11976780767020642, moment 0.07023676445956174, torque Some(0.3118472785016161)
evaluation 5200: force 0.11976780767020642, moment 0.07023676445956174, torque Some(0.3118472785016161)
