evaluation 200: force 0.08073723907359638, moment 0.033633534931597854, torque Some(0.31027523800115003)
evaluation 400: force 0.08073723907359638, moment 0.033633534931597854, torque Some(0.31027523800115003)
evaluation 600: force 0.08073723907359638, moment 0.033633534931597854, torque Some(0.31027523800115003)
evaluation 800: force 0.08073723907359638, moment 0.033633534931597854, torque Some(0.31027523800115003)
evaluation 1000: force 0.08073723907359638, moment 0.03363131609326362, torque Some(0.31027523800115003)
evaluation 1200: force 0.08073723907359638, moment 0.033633534931597854, torque Some(0.31027523800115003)
evaluation 1400: force 0.08073723907359638, moment 0.033633534931597854, torque Some(0.31027523800115003)
evaluation 1600: force 0.08073723907359638, moment 0.033633534931597854, torque Some(0.31027523800115003)
evaluation 1800: force 0.08073723907359638, moment 0.033633534931597854, torque Some(0.31027523800115003)
evaluation 2000: force 0.08073723907359638, moment 0.033633534931597854, torque Some(0.31027523800115003)
evaluation 2200: force 0.08073723907359638, moment 0.033633534931597854, torque Some(0.31027523800115003)
evaluation 2400: force 0.09311988482894745, moment 0.029815753510127316, torque Some(0.3103573405877027)
evaluation 2600: force 0.09311988482894745, moment 0.029815753510127316, torque Some(0.3103573405877027)
evaluation 2800: force 0.09311988482894745, moment 0.029815753510127316, torque Some(0.31035913305488894)
evaluation 3000: force 0.09311988482894745, moment 0.029815753510127316, torque Some(0.3103573405877027)
evaluation 3200: force 0.09311988482894745, moment 0.029815753510127316, torque Some(0.3103573405877027)
evaluation 3400: force 0.09311988482894745, moment 0.029815753510127316, torque Some(0.3103573405877027)
evaluation 3600: force 0.09311988482894745, moment 0.029815753510127316, torque Some(0.3103573405877027)
evaluation 3800: force 0.09311988482894745, moment 0.029815753510127316, torque Some(0.3103573405877027)
evaluation 4000: force 0.09311988482894745, moment 0.029815753510127316, torque Some(0.3103573405877027)
evaluation 4200: force 0.09311988482894745, moment 0.029815753510127316, torque Some(0.3103573405877027)
evaluation 4400: force 0.09311988482894745, moment 0.029815753510127316, torque Some(0.3103573405877027)
evaluation 4600: force 0.09311988482894745, moment 0.029815753510127316, torque Some(0.3103573405877027)
evaluation 4800: force 0.07115880168103694, moment 0.028343428197724497, torque Some(0.3103981727899224)
evaluation 5000: force 0.07115880168103694, moment 0.028343428197724497, torque Some(0.3103981727899224)
evaluation 5200: force 0.07115880168103694, moment 0.028343428197724497, torque Some(0.3103981727899224)
evaluation 5400: force 0.07115880168103694, moment 0.028343428197724497, torque Some(0.3103981727899224)
evaluation 5600: force 0.07115880168103694, moment 0.028343428197724497, torque Some(0.3103981727899224)
evaluation 5800: force 0.07115880168103694, moment 0.028343428197724497, torque Some(0.3103981727899224)
evaluation 6000: force 0.07115880168103694, moment 0.028343428197724497, torque Some(0.3103981727899224)
evaluation 6200: force 0.07115880168103694, moment 0.028343428197724497, torque Some(0.3103981727899224)
evaluation 6400: force 0.07115880168103694, moment 0.028343428197724497, torque Some(0.3103981727899224)
evaluation 6600: force 0.07115880168103694, moment 0.028343428197724497, torque Some(0.3103981727899224)
evaluation 6800: force 0.07115880168103694, moment 0.028343428197724497, torque Some(0.3103981727899224)
evaluation 7000: force 0.07118059419448886, moment 0.028369895896549653, torque Some(0.31040792298187153)
evaluation 7200: force 0.07118059419448886, moment 0.028369895896549653, torque Some(0.31040792298187153)
evaluation 7400: force 0.07118059419448886, moment 0.028369895896549653, torque Some(0.31040792298187153)
evaluation 7600: force 0.07118059419448886, moment 0.028179382507394463, torque Some(0.31040792298187153)
evaluation 7800: force 0.07118059419448886, moment 0.028369895896549653, torque Some(0.31040792298187153)
evaluation 8000: force 0.07118059419448886, moment 0.028369895896549653, torque Some(0.31040792298187153)
evaluation 8200: force 0.07118059419448886, moment 0.028369895896549653, torque Some(0.31040792298187153)
evaluation 8400: force 0.07115100379049644, moment 0.028369895896549653, torque Some(0.31040792298187153)
evaluation 8600: force 0.07118059419448886, moment 0.028369895896549653, torque Some(0.31040792298187153)
evaluation 8800: force 0.07118059419448886, moment 0.028369895896549653, torque Some(0.31040792298187153)
