evaluation 200: force 15.567519313880629, moment 2.9625781485395923, torque Some(0.2903391792779816)
evaluation 400: force 15.567543018910028, moment 2.9625781485395923, torque Some(0.2903391792779816)
evaluation 600: force 15.567543018910028, moment 2.9625781485395923, torque Some(0.2903391792779816)
evaluation 800: force 15.567543018910028, moment 2.9625781485395923, torque Some(0.2903391792779816)
evaluation 1000: force 15.567543018910028, moment 2.9625781485395923, torque Some(0.2903391792779816)
evaluation 1200: force 5.004196498180022, moment 1.9336523266659305, torque Some(0.25918076207048324)
evaluation 1400: force 5.004196498180022, moment 1.9336523266659305, torque Some(0.25918076207048324)
evaluation 1600: force 5.004196498180022, moment 1.9336523266659305, torque Some(0.25918076207048324)
evaluation 1800: force 5.004196498180022, moment 1.9336523266659305, torque Some(0.25918076207048324)
evaluation 2000: force 5.004196498180022, moment 1.9336523266659305, torque Some(0.25918076207048324)
evaluation 2200: force 5.0041623805990785, moment 1.9336405203389662, torque Some(0.25918076207048324)
evaluation 2400: force 3.3926715554141516, moment 1.2857737548386365, torque Some(0.2506592683231244)
evaluation 2600: force 3.3926715554141516, moment 1.2857737548386365, torque Some(0.2506592668864279)
evaluation 2800: force 3.3926715554141516, moment 1.2857737548386365, torque Some(0.2506592683231244)
evaluation 3000: force 3.3926715554141516, moment 1.2857737548386365, torque Some(0.2506592683231244)
evaluation 3200: force 3.3926715554141516, moment 1.2857737548386365, torque Some(0.2506592683231244)
evaluation 3400: force 3.3926763125215733, moment 1.2857742294608767, torque Some(0.2506592683231244)
evaluation 3600: force 0.734029458388334, moment 0.1960499273535475, torque Some(0.2500703083643717)
evaluation 3800: force 0.734029458388334, moment 0.1960499273535475, torque Some(0.2500703083643717)
evaluation 4000: force 0.734029458388334, moment 0.1960499273535475, torque Some(0.2500703083643717)
evaluation 4200: force 0.734029458388334, moment 0.1960499273535475, torque Some(0.2500703083643717)
evaluation 4400: force 0.734029458388334, moment 0.1960499273535475, torque Some(0.2500703083643717)
evaluation 4600: force 0.734029458388334, moment 0.1960499273535475, torque Some(0.2500703083643717)
evaluation 4800: force 0.31611429169556576, moment 0.13022198501116558, torque Some(0.24643143005520307)
evaluation 5000: force 0.31611429169556576, moment 0.13022198501116558, torque Some(0.24643143005520307)
evaluation 5200: force 0.31611429169556576, moment 0.13022198501116558, torque Some(0.24643143005520307)
evaluation 5400: force 0.31611429169556576, moment 0.13022198501116558, torque Some(0.24643143005520307)
evaluation 5600: force 0.3161133755054196, moment 0.13022198501116558, torque Some(0.24643143005520307)
evaluation 5800: force 0.36681602997074236, moment 0.12164169677108641, torque Some(0.24597534211925126)
evaluation 6000: force 0.36681602997074236, moment 0.12164169677108641, torque Some(0.24597534211925126)
evaluation 6200: force 0.36681602997074236, moment 0.12164169677108641, torque Some(0.24597534211925126)
evaluation 6400: force 0.36681602997074236, moment 0.12164169677108641, torque Some(0.24597534211925126)
evaluation 6600: force 0.366817329159808, moment 0.12164169677108641, torque Some(0.24597534211925126)
evaluation 6800: force 0.36681602997074236, moment 0.12164169677108641, torque Some(0.24597534211925126)
