evaluation 200: force 0.23275832208924765, moment 0.10866079438899584, torque Some(0.23358179865907538)
evaluation 400: force 0.23275832208924765, moment 0.10866079438899584, torque Some(0.23358179865907538)
evaluation 600: force 0.23275832208924765, moment 0.10866079438899584, torque Some(0.23358179865907538)
evaluation 800: force 0.23275832208924765, moment 0.10866079438899584, torque Some(0.23358179865907538)
evaluation 1000: force 0.23276190102947922, moment 0.10865943496437191, torque Some(0.23358179865907538)
evaluation 1200: force 0.2316839471996917, moment 0.10819004587025005, torque Some(0.23216644624067906)
evaluation 1400: force 0.2316839471996917, moment 0.10819004587025005, torque Some(0.23216645468847835)
evaluation 1600: force 0.2316839471996917, moment 0.10819004587025005, torque Some(0.23216644624067906)
evaluation 1800: force 0.2316839471996917, moment 0.10819004587025005, torque Some(0.23216644624067906)
evaluation 2000: force 0.2316839471996917, moment 0.10819004587025005, torque Some(0.23216644624067906)
evaluation 2200: force 0.2316839471996917, moment 0.10819004587025005, torque Some(0.23216644624067906)
evaluation 2400: force 0.2299787807175273, moment 0.10653539331915222, torque Some(0.2296261255753249)
evaluation 2600: force 0.2299787807175273, moment 0.10653539331915222, torque Some(0.2296261255753249)
evaluation 2800: force 0.2299787807175273, moment 0.10653539331915222, torque Some(0.2296261255753249)
evaluation 3000: force 0.2299787807175273, moment 0.10653539331915222, torque Some(0.2296261255753249)
evaluation 3200: force 0.22998420773887224, moment 0.10653334728499779, torque Some(0.2296261255753249)
evaluation 3400: force 0.2299787807175273, moment 0.10653539331915222, torque Some(0.2296261255753249)
evaluation 3600: force 0.2218530588110269, moment 0.10237754017110771, torque Some(0.23711245156564587)
evaluation 3800: force 0.2218530588110269, moment 0.10237754017110771, torque Some(0.23711245156564587)
evaluation 4000: force 0.2218530588110269, moment 0.10237754017110771, torque Some(0.23711245156564587)
evaluation 4200: force 0.2218530588110269, moment 0.10237754017110771, torque Some(0.23711245156564587)
evaluation 4400: force 0.22185309777234186, moment 0.10237752365942586, torque Some(0.23711245156564587)
evaluation 4600: force 0.19670339066306208, moment 0.09208448253502373, torque Some(0.2432938801506797)
evaluation 4800: force 0.19670339066306208, moment 0.09208448253502373, torque Some(0.24329388036399435)
evaluation 5000: force 0.19670339066306208, moment 0.09208448253502373, torque Some(0.2432938801506797)
evaluation 5200: force 0.19670339066306208, moment 0.09208448253502373, torque Some(0.2432938801506797)
evaluation 5400: force 0.19670339066306208, moment 0.09208448253502373, torque Some(0.2432938801506797)
evaluation 5600: force 0.19670370143207813, moment 0.09208429727689073, torque Some(0.2432938801506797)
