evaluation 200: force 0.23275832208924765, moment 0.10866079438899584, torque Some(0.23358179865907538)
evaluation 400: force 0.23275832208924765, moment 0.10866079438899584, torque Some(0.23358179865907538)
evaluation 600: force 0.23275832208924765, moment 0.10866079438899584, torque Some(0.23358179865907538)
evaluation 800: force 0.23275832208924765, moment 0.10866079438899584, torque Some(0.23358179865907538)
evaluation 1000: force 0.23276190102947922, moment 0.10865943496437191, torque Some(0.23358179865907538)
evaluation 1200: force 0.2251369831936146, moment 0.10723722970918631, torque Some(0.2314447855872994)
evaluation 1400: force 0.2251369831936146, moment 0.10723722970918631, torque Some(0.2314447855872994)
evaluation 1600: force 0.2251369831936146, moment 0.10723722970918631, torque Some(0.2314447855872994)
evaluation 1800: force 0.2251369831936146, moment 0.10723722970918631, torque Some(0.2314447855872994)
evaluation 2000: force 0.2251369831936146, moment 0.10723722970918631, torque Some(0.2314447855872994)
evaluation 2200: force 0.2251369831936146, moment 0.10723722970918631, torque Some(0.2314447855872994)
evaluation 2400: force 0.20968543809910808, moment 0.10186295191990238, torque Some(0.22794823269161563)
evaluation 2600: force 0.20968543809910808, moment 0.10186295191990238, torque Some(0.2279482307170974)
evaluation 2800: force 0.20968543809910808, moment 0.10186295191990238, torque Some(0.22794823269161563)
evaluation 3000: force 0.20968543809910808, moment 0.10186295191990238, torque Some(0.22794823269161563)
evaluation 3200: force 0.2096854769528925, moment 0.10186285223654552, torque Some(0.22794823269161563)
evaluation 3400: force 0.20968543809910808, moment 0.10186295191990238, torque Some(0.22794823269161563)
evaluation 3600: force 0.20856473868757247, moment 0.10187443652446808, torque Some(0.22787931239656695)
evaluation 3800: force 0.20856473868757247, moment 0.10187443652446808, torque Some(0.22787931239656695)
evaluation 4000: force 0.20856473868757247, moment 0.10187443652446808, torque Some(0.22787931239656695)
evaluation 4200: force 0.20856473868757247, moment 0.10187443652446808, torque Some(0.22787931239656695)
evaluation 4400: force 0.20795602920871564, moment 0.10210458038834196, torque Some(0.22787931239656695)
evaluation 4600: force 0.20856473868757247, moment 0.10187443652446808, torque Some(0.22787931239656695)
evaluation 4800: force 0.20788998126460242, moment 0.10104803733680484, torque Some(0.2276422791679643)
evaluation 5000: force 0.20788998126460242, moment 0.10104803733680484, torque Some(0.2276422791679643)
evaluation 5200: force 0.20788998126460242, moment 0.10104803733680484, torque Some(0.2276422791679643)
evaluation 5400: force 0.20788998126460242, moment 0.10104803733680484, torque Some(0.2276422791679643)
evaluation 5600: force 0.2079038375925483, moment 0.10104281442519944, torque Some(0.2276422791679643)
