smoothing 0.003 evaluation 20: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 40: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 60: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 80: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 100: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 120: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 140: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 160: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 180: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 200: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 220: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 240: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 260: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 280: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 300: force 11.1999, moment 4.8442, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 320: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 340: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 360: force 11.1999, moment 4.8441, torque Some(1.2474644041672425)
smoothing 0.003 evaluation 380: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 400: force 11.1999, moment 4.8441, torque Some(1.2474628992610675)
smoothing 0.003 evaluation 420: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 440: force 11.1999, moment 4.8441, torque Some(1.2474642416164425)
smoothing 0.003 evaluation 460: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 480: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 500: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 520: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 540: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 560: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 580: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 600: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 620: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 640: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 660: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 680: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 700: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 720: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 740: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 760: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 780: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 800: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
smoothing 0.003 evaluation 820: force 11.1999, moment 4.8441, torque Some(1.2474643982732305)
