smoothing 0.003 evaluation 20: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 40: force 8.2552, moment 3.5986, torque Some(1.5430089974055525)
smoothing 0.003 evaluation 60: force 8.2552, moment 3.5986, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 80: force 8.2552, moment 3.5985, torque Some(1.5430103069164083)
smoothing 0.003 evaluation 100: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 120: force 8.2552, moment 3.5986, torque Some(1.5430094006133916)
smoothing 0.003 evaluation 140: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 160: force 8.2553, moment 3.5986, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 180: force 8.2559, moment 3.5986, torque Some(1.54301035809784)
smoothing 0.003 evaluation 200: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 220: force 8.2552, moment 3.5986, torque Some(1.5430089974055528)
smoothing 0.003 evaluation 240: force 8.2552, moment 3.5986, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 260: force 8.2552, moment 3.5985, torque Some(1.543010306916409)
smoothing 0.003 evaluation 280: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 300: force 8.2552, moment 3.5986, torque Some(1.543009400613392)
smoothing 0.003 evaluation 320: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 340: force 8.2553, moment 3.5986, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 360: force 8.2559, moment 3.5986, torque Some(1.5430103580978403)
smoothing 0.003 evaluation 380: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 400: force 8.2552, moment 3.5986, torque Some(1.5430089974055532)
smoothing 0.003 evaluation 420: force 8.2552, moment 3.5986, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 440: force 8.2552, moment 3.5985, torque Some(1.5430103069164085)
smoothing 0.003 evaluation 460: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 480: force 8.2552, moment 3.5986, torque Some(1.543009400613392)
smoothing 0.003 evaluation 500: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
