evaluation 200: force 15.567519313880629, moment 2.9625781485395923, torque Some(0.2903391792779816)
evaluation 400: force 15.567543018910028, moment 2.9625781485395923, torque Some(0.2903391792779816)
evaluation 600: force 15.567543018910028, moment 2.9625781485395923, torque Some(0.2903391792779816)
evaluation 800: force 15.567543018910028, moment 2.9625781485395923, torque Some(0.2903391792779816)
evaluation 1000: force 15.567543018910028, moment 2.9625781485395923, torque Some(0.2903391792779816)
evaluation 1200: force 5.0041017957023595, moment 1.9336153046770668, torque Some(0.2591803550352643)
evaluation 1400: force 5.0041017957023595, moment 1.9336153046770668, torque Some(0.2591803550352643)
evaluation 1600: force 5.0041017957023595, moment 1.9336153046770668, torque Some(0.2591803550352643)
evaluation 1800: force 5.0041017957023595, moment 1.9336153046770668, torque Some(0.2591803550352643)
evaluation 2000: force 5.0041017957023595, moment 1.9336153046770668, torque Some(0.2591803550352643)
evaluation 2200: force 5.004067677478319, moment 1.9336034981209824, torque Some(0.2591803550352643)
evaluation 2400: force 3.3933197672103614, moment 1.2858891329673965, torque Some(0.25065852642170794)
evaluation 2600: force 3.3933197672103614, moment 1.2858891329673965, torque Some(0.25065852498501134)
evaluation 2800: force 3.3933197672103614, moment 1.2858891329673965, torque Some(0.25065852642170794)
evaluation 3000: force 3.3933197672103614, moment 1.2858891329673965, torque Some(0.25065852642170794)
evaluation 3200: force 3.3933197672103614, moment 1.2858891329673965, torque Some(0.25065852642170794)
evaluation 3400: force 3.3933245233328235, moment 1.2858896075751327, torque Some(0.25065852642170794)
evaluation 3600: force 0.5989207913209995, moment 0.2401919783596079, torque Some(0.2423490149288857)
evaluation 3800: force 0.5989207913209995, moment 0.2401919783596079, torque Some(0.2423490149288857)
evaluation 4000: force 0.5989207913209995, moment 0.2401919783596079, torque Some(0.2423490149288857)
evaluation 4200: force 0.5989207913209995, moment 0.2401919783596079, torque Some(0.2423490149288857)
evaluation 4400: force 0.5989207913209995, moment 0.2401919783596079, torque Some(0.2423490149288857)
evaluation 4600: force 0.5989323106747912, moment 0.2401870880993635, torque Some(0.2423490149288857)
evaluation 4800: force 0.2586812023618443, moment 0.11869937386796857, torque Some(0.23306952519838658)
evaluation 5000: force 0.2590577885988163, moment 0.11869937386796857, torque Some(0.23306952519838658)
evaluation 5200: force 0.2590577885988163, moment 0.11869937386796857, torque Some(0.23306952519838658)
evaluation 5400: force 0.2590577885988163, moment 0.11869937386796857, torque Some(0.23306952519838658)
evaluation 5600: force 0.2590577885988163, moment 0.11869802454771534, torque Some(0.23306952519838658)
evaluation 5800: force 0.20777185883836358, moment 0.12447027989939814, torque Some(0.2330389077396215)
evaluation 6000: force 0.20777185883836358, moment 0.12447027989939814, torque Some(0.2330389077396215)
evaluation 6200: force 0.20777185883836358, moment 0.12447027989939814, torque Some(0.2330389077396215)
evaluation 6400: force 0.20777185883836358, moment 0.12447027989939814, torque Some(0.2330389077396215)
evaluation 6600: force 0.20777185883836358, moment 0.12447027989939814, torque Some(0.2330389077396215)
evaluation 6800: force 0.20777185883836358, moment 0.12447027989939814, torque Some(0.2330389077396215)
