smoothing 0.00001 evaluation 20: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 40: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 60: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 80: force 10.6211, moment 2.8466, torque Some(-0.021888373524292515)
smoothing 0.00001 evaluation 100: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 120: force 10.6211, moment 2.8466, torque Some(-0.021892347628208242)
smoothing 0.00001 evaluation 140: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 160: force 10.6211, moment 2.8466, torque Some(-0.018511068180646184)
smoothing 0.00001 evaluation 180: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 200: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 220: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 240: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 260: force 10.6211, moment 2.8467, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 280: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 300: force 10.6211, moment 2.8460, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 320: force 10.6211, moment 2.8452, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 340: force 10.6470, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 360: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 380: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 400: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 420: force 10.6211, moment 2.8466, torque Some(-0.021889844248281776)
smoothing 0.00001 evaluation 440: force 5.9507, moment 1.8505, torque Some(-0.5109446125772631)
smoothing 0.00001 evaluation 460: force 5.9509, moment 1.8506, torque Some(-0.5109455004414463)
smoothing 0.00001 evaluation 480: force 5.9540, moment 1.8273, torque Some(-0.5109455402696426)
smoothing 0.00001 evaluation 500: force 5.9507, moment 1.8505, torque Some(-0.5109385248074118)
smoothing 0.00001 evaluation 520: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 540: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 560: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 580: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 600: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 620: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 640: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 660: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 680: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 700: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 720: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 740: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 760: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 780: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
smoothing 0.00001 evaluation 800: force 5.9507, moment 1.8505, torque Some(-0.5109455004782428)
