smoothing 0.00001 evaluation 20: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 40: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 60: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 80: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 100: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 120: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 140: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 160: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 180: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 200: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 220: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 240: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 260: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 280: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 300: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 320: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 340: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 360: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 380: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 400: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 420: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 440: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 460: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 480: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 500: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 520: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 540: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 560: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
smoothing 0.00001 evaluation 580: force 0.1175, moment 0.0505, torque Some(-0.0008002065518732948)
