smoothing 0.00001 evaluation 20: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 40: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 60: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 80: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 100: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 120: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 140: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 160: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 180: force 0.0680, moment 0.0134, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 200: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 220: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 240: force 0.0523, moment 0.0146, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 260: force 0.0325, moment 0.0453, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 280: force 0.0525, moment 0.0197, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 300: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 320: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 340: force 0.0482, moment 0.0143, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 360: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 380: force 0.0781, moment 0.0266, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 400: force 0.0435, moment 0.0164, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 420: force 0.0563, moment 0.0122, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 440: force 0.0296, moment 0.0286, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 460: force 0.0425, moment 0.0144, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 480: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 500: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 520: force 0.0347, moment 0.0124, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 540: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 560: force 0.0816, moment 0.0320, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 580: force 0.0730, moment 0.0230, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 600: force 0.0490, moment 0.0159, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 620: force 0.0296, moment 0.0089, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 640: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 660: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 680: force 0.0296, moment 0.0074, torque Some(-0.01157022574990918)
smoothing 0.00001 evaluation 700: force 0.0326, moment 0.0125, torque Some(-0.01157022574990918)
