smoothing 0.00001 evaluation 20: force 0.0151, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 40: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 60: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 80: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 100: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 120: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 140: force 0.0184, moment 0.0079, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 160: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 180: force 0.0705, moment 0.0137, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 200: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 220: force 0.0170, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 240: force 0.0524, moment 0.0139, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 260: force 0.0326, moment 0.0452, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 280: force 0.0521, moment 0.0212, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 300: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 320: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 340: force 0.0472, moment 0.0281, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 360: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 380: force 0.0788, moment 0.0300, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 400: force 0.0498, moment 0.0155, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 420: force 0.0531, moment 0.0129, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 440: force 0.0293, moment 0.0281, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 460: force 0.0447, moment 0.0154, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 480: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 500: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 520: force 0.0335, moment 0.0123, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 540: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 560: force 0.0804, moment 0.0288, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 580: force 0.1150, moment 0.0411, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 600: force 0.0484, moment 0.0140, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 620: force 0.0240, moment 0.0094, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 640: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 660: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 680: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 700: force 0.0323, moment 0.0214, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 720: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 740: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 760: force 0.0872, moment 0.0312, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 780: force 0.0489, moment 0.0122, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 800: force 0.0534, moment 0.0193, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 820: force 0.0430, moment 0.0146, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 840: force 0.0150, moment 0.0184, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 860: force 0.0150, moment 0.0062, torque Some(-0.01103198385227322)
smoothing 0.00001 evaluation 880: force 0.1160, moment 0.0485, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 900: force 0.1129, moment 0.0496, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 920: force 0.1190, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 940: force 0.1555, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 960: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 980: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1000: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1020: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1040: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1060: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1080: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1100: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1120: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1140: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1160: force 0.1157, moment 0.0497, torque Some(-0.0071033770199879775)
smoothing 0.00001 evaluation 1180: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1200: force 0.1157, moment 0.0497, torque Some(-0.002122004168554792)
smoothing 0.00001 evaluation 1220: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1240: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1260: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1280: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1300: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1320: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1340: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1360: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1380: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1400: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1420: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1440: force 0.1368, moment 0.0500, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1460: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1480: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1500: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1520: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1540: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1560: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1580: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1600: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1620: force 0.1605, moment 0.0592, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1640: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1660: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1680: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1700: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1720: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1740: force 0.1033, moment 0.0445, torque Some(-0.002070379964819402)
smoothing 0.00001 evaluation 1760: force 0.1035, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1780: force 0.1033, moment 0.0583, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1800: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1820: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1840: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1860: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1880: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1900: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1920: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1940: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1960: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1980: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2000: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2020: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
