evaluation 200: force 0.09291011582781028, moment 0.027182343800550762, torque Some(-0.0005288079413995339)
evaluation 400: force 0.0929507491905821, moment 0.027182343800550762, torque Some(-0.0005288079413995339)
evaluation 600: force 0.09291011582781028, moment 0.027182343800550762, torque Some(-0.0005288079413995339)
evaluation 800: force 0.09291011582781028, moment 0.027183914214979277, torque Some(-0.0005300722514959277)
evaluation 1000: force 0.09291011582781028, moment 0.027182343800550762, torque Some(-0.0005288079413995339)
evaluation 1200: force 0.09284049139740436, moment 0.026125977545496823, torque Some(-4.389564756568376e-6)
evaluation 1400: force 0.09284049139740436, moment 0.026125977545496823, torque Some(-4.389564756568376e-6)
evaluation 1600: force 0.09283147580009654, moment 0.026125977545496823, torque Some(-4.389564756568376e-6)
evaluation 1800: force 0.09284049139740436, moment 0.026125977545496823, torque Some(-4.389564756568376e-6)
evaluation 2000: force 0.09284049139740436, moment 0.026123771415352035, torque Some(-4.389564756568376e-6)
evaluation 2200: force 0.09284049139740436, moment 0.026125977545496823, torque Some(-4.389564756568376e-6)
evaluation 2400: force 0.09027932588902754, moment 0.025575160404857945, torque Some(-0.00041054097061188344)
evaluation 2600: force 0.09027932588902754, moment 0.025575160404857945, torque Some(-0.00041054097061188344)
evaluation 2800: force 0.0902873290726911, moment 0.025575160404857945, torque Some(-0.00041054097061188344)
evaluation 3000: force 0.09027932588902754, moment 0.025575160404857945, torque Some(-0.00041054097061188344)
evaluation 3200: force 0.09027932588902754, moment 0.02557641590653288, torque Some(-0.00041054097061188344)
evaluation 3400: force 0.09027932588902754, moment 0.025575160404857945, torque Some(-0.00041054097061188344)
evaluation 3600: force 0.09026013864808347, moment 0.02533421308106023, torque Some(-6.831793477490855e-6)
evaluation 3800: force 0.09026013864808347, moment 0.02533421308106023, torque Some(-6.8940873234613065e-6)
evaluation 4000: force 0.09026013864808347, moment 0.02533421308106023, torque Some(-6.8940873234613065e-6)
evaluation 4200: force 0.09026013864808347, moment 0.02533421308106023, torque Some(-6.8940873234613065e-6)
evaluation 4400: force 0.09026013864808347, moment 0.02533421308106023, torque Some(-6.8940873234613065e-6)
evaluation 4600: force 0.08968523109351789, moment 0.024816490318044216, torque Some(-6.165354911935594e-6)
evaluation 4800: force 0.08968523109351789, moment 0.024816490318044216, torque Some(-6.163541719339527e-6)
evaluation 5000: force 0.08964769989400301, moment 0.024816490318044216, torque Some(-6.165354911935594e-6)
evaluation 5200: force 0.08968523109351789, moment 0.024816490318044216, torque Some(-6.165354911935594e-6)
evaluation 5400: force 0.08968523109351789, moment 0.024814809783355447, torque Some(-6.165354911935594e-6)
evaluation 5600: force 0.08968523109351789, moment 0.024816490318044216, torque Some(-6.165354911935594e-6)
evaluation 5800: force 0.08876933487552341, moment 0.02357932585055874, torque Some(-4.189896914197355e-6)
evaluation 6000: force 0.08876933487552341, moment 0.02357932585055874, torque Some(-4.189896914197355e-6)
evaluation 6200: force 0.08876885679591995, moment 0.02357932585055874, torque Some(-4.189896914197355e-6)
evaluation 6400: force 0.08876933487552341, moment 0.02357932585055874, torque Some(-4.189896914197355e-6)
evaluation 6600: force 0.08876933487552341, moment 0.02356955571861915, torque Some(-4.189896914197355e-6)
evaluation 6800: force 0.08876933487552341, moment 0.02357932585055874, torque Some(-4.189896914197355e-6)
evaluation 7000: force 0.08827298351319146, moment 0.021105438968499868, torque Some(-0.002795267397155743)
evaluation 7200: force 0.08827298351319146, moment 0.021105438968499868, torque Some(-0.002795267397155743)
evaluation 7400: force 0.08827298351319146, moment 0.021105438968499868, torque Some(-0.002795267397155743)
evaluation 7600: force 0.08827298351319146, moment 0.021105438968499868, torque Some(-0.002795267397155743)
evaluation 7800: force 0.08827298351319146, moment 0.021105438968499868, torque Some(-0.002795267397155743)
evaluation 8000: force 0.08827298351319146, moment 0.021105438968499868, torque Some(-0.002795267397155743)
evaluation 8200: force 0.0851449368671584, moment 0.018172451155065376, torque Some(-3.3033177104790923e-7)
evaluation 8400: force 0.0851449368671584, moment 0.018172451155065376, torque Some(-3.3033177104790923e-7)
evaluation 8600: force 0.0851449368671584, moment 0.018172451155065376, torque Some(-3.3033177104790923e-7)
evaluation 8800: force 0.0851449368671584, moment 0.018172451155065376, torque Some(-3.3033177104790923e-7)
evaluation 9000: force 0.0851449368671584, moment 0.018172451155065376, torque Some(-3.3033177104790923e-7)
evaluation 9200: force 0.08424486735378944, moment 0.017963956482611555, torque Some(-0.0007650431809901326)
evaluation 9400: force 0.08424486735378944, moment 0.017963956482611555, torque Some(-0.0007650431809901326)
evaluation 9600: force 0.08434003458494499, moment 0.017963956482611555, torque Some(-0.0007650431809901326)
evaluation 9800: force 0.08424486735378944, moment 0.017963956482611555, torque Some(-0.0007650431809901326)
evaluation 10000: force 0.08424486735378944, moment 0.017964136582103763, torque Some(-0.0007650431809901326)
evaluation 10200: force 0.08424486735378944, moment 0.017963956482611555, torque Some(-0.0007650431809901326)
evaluation 10400: force 0.08272024729059013, moment 0.016022887826676727, torque Some(-5.676381075181425e-7)
evaluation 10600: force 0.08272024729059013, moment 0.016022887826676727, torque Some(-5.676381075181425e-7)
evaluation 10800: force 0.08272746279614807, moment 0.016022887826676727, torque Some(-5.676381075181425e-7)
evaluation 11000: force 0.08272024729059013, moment 0.016022887826676727, torque Some(-5.676381075181425e-7)
evaluation 11200: force 0.08272024729059013, moment 0.016039522783969376, torque Some(-5.676381075181425e-7)
evaluation 11400: force 0.08272024729059013, moment 0.016022887826676727, torque Some(-5.676381075181425e-7)
evaluation 11600: force 0.08194480697515405, moment 0.015909260111673294, torque Some(-0.0013815461777832994)
evaluation 11800: force 0.08194480697515405, moment 0.015909260111673294, torque Some(-0.0013815461777832994)
evaluation 12000: force 0.08194480697515405, moment 0.015909260111673294, torque Some(-0.0013815461777832994)
evaluation 12200: force 0.08194480697515405, moment 0.015909260111673294, torque Some(-0.0013815461777832994)
evaluation 12400: force 0.08194480697515405, moment 0.015909260111673294, torque Some(-0.0013815461777832994)
evaluation 12600: force 0.08194480697515405, moment 0.015909260111673294, torque Some(-0.0013815461777832994)
evaluation 12800: force 0.0811358054564082, moment 0.015565485827436776, torque Some(-2.0365494233232084e-6)
evaluation 13000: force 0.0811358054564082, moment 0.015558265173794661, torque Some(-2.0365494233232084e-6)
evaluation 13200: force 0.0811358054564082, moment 0.015565485827436776, torque Some(-2.0365494233232084e-6)
evaluation 13400: force 0.0811358054564082, moment 0.015565485827436776, torque Some(-2.0365494233232084e-6)
evaluation 13600: force 0.0811358054564082, moment 0.015565485827436776, torque Some(-2.0365494233232084e-6)
evaluation 13800: force 0.08140425529790773, moment 0.015406412159187005, torque Some(-0.00010450931193806134)
evaluation 14000: force 0.08140425529790773, moment 0.015406412159187005, torque Some(-0.00010450931193806134)
evaluation 14200: force 0.08130299287821097, moment 0.015549687386117395, torque Some(-0.00010450931193806134)
evaluation 14400: force 0.08140425529790773, moment 0.015406412159187005, torque Some(-0.00010450931193806134)
evaluation 14600: force 0.08140425529790773, moment 0.015406163760913055, torque Some(-0.00010450931193806134)
evaluation 14800: force 0.08140425529790773, moment 0.015406412159187005, torque Some(-0.00010450931193806134)
evaluation 15000: force 0.08138261145577652, moment 0.01538477091604662, torque Some(-2.101597846415615e-6)
evaluation 15200: force 0.08138261145577652, moment 0.01538477091604662, torque Some(-2.101597846415615e-6)
evaluation 15400: force 0.08141673980321129, moment 0.015385482002908013, torque Some(-2.101597846415615e-6)
evaluation 15600: force 0.08138261145577652, moment 0.01538477091604662, torque Some(-2.101597846415615e-6)
evaluation 15800: force 0.08138261145577652, moment 0.01538477091604662, torque Some(-2.101597846415615e-6)
evaluation 16000: force 0.08138261145577652, moment 0.01538477091604662, torque Some(-2.101597846415615e-6)
evaluation 16200: force 0.08132473128548168, moment 0.01539480612040034, torque Some(-8.895733391023342e-5)
evaluation 16400: force 0.08132473128548168, moment 0.01539480612040034, torque Some(-8.906806007935586e-5)
evaluation 16600: force 0.08132473128548168, moment 0.01539480612040034, torque Some(-8.906806007935586e-5)
evaluation 16800: force 0.08132473128548168, moment 0.01539480612040034, torque Some(-8.906806007935586e-5)
evaluation 17000: force 0.08132473128548168, moment 0.01539480612040034, torque Some(-8.906806007935586e-5)
evaluation 17200: force 0.08132473128548168, moment 0.01539480612040034, torque Some(-8.906806007935586e-5)
evaluation 17400: force 0.08125612030325091, moment 0.015396823534885584, torque Some(-2.0769644417661937e-6)
evaluation 17600: force 0.08125612030325091, moment 0.01540404937528228, torque Some(-2.0769644417661937e-6)
evaluation 17800: force 0.08125612030325091, moment 0.015396823534885584, torque Some(-2.0769644417661937e-6)
evaluation 18000: force 0.08125612030325091, moment 0.015396823534885584, torque Some(-2.0769644417661937e-6)
evaluation 18200: force 0.08125612030325091, moment 0.015396823534885584, torque Some(-2.0769644417661937e-6)
evaluation 18400: force 0.08123911835130593, moment 0.015398682113346274, torque Some(-8.166165059075858e-5)
evaluation 18600: force 0.08123911835130593, moment 0.015398682113346274, torque Some(-8.166165059075858e-5)
evaluation 18800: force 0.0808430156552633, moment 0.015783745249685843, torque Some(-8.166165059075858e-5)
evaluation 19000: force 0.08123911835130593, moment 0.015398682113346274, torque Some(-8.166165059075858e-5)
evaluation 19200: force 0.08123911835130593, moment 0.015398682113346274, torque Some(-8.166165059075858e-5)
evaluation 19400: force 0.08123911835130593, moment 0.015398682113346274, torque Some(-8.166165059075858e-5)
evaluation 19600: force 0.08118348203985137, moment 0.015399470270938131, torque Some(-2.059523604991398e-6)
evaluation 19800: force 0.08118348203985137, moment 0.015399470270938131, torque Some(-2.059523604991398e-6)
evaluation 20000: force 0.08124920626651932, moment 0.015399571778319077, torque Some(-2.059523604991398e-6)
evaluation 20200: force 0.08118348203985137, moment 0.015399470270938131, torque Some(-2.059523604991398e-6)
evaluation 20400: force 0.08118348203985137, moment 0.015399470270938131, torque Some(-2.059523604991398e-6)
evaluation 20600: force 0.08118348203985137, moment 0.015399470270938131, torque Some(-2.059523604991398e-6)
evaluation 20800: force 0.08117407736036064, moment 0.015399942982634807, torque Some(-7.285929187772489e-5)
evaluation 21000: force 0.08117407736036064, moment 0.015399942982634807, torque Some(-7.433264138634321e-5)
evaluation 21200: force 0.08117407736036064, moment 0.015399942982634807, torque Some(-7.433264138634321e-5)
evaluation 21400: force 0.08117407736036064, moment 0.015399942982634807, torque Some(-7.433264138634321e-5)
evaluation 21600: force 0.08117407736036064, moment 0.015399942982634807, torque Some(-7.433264138634321e-5)
evaluation 21800: force 0.08117407736036064, moment 0.015399942982634807, torque Some(-7.433264138634321e-5)
evaluation 22000: force 0.08112550439816335, moment 0.015399990447925171, torque Some(-2.045361104485721e-6)
evaluation 22200: force 0.08112550439816335, moment 0.015250688956869984, torque Some(-2.045361104485721e-6)
evaluation 22400: force 0.08112550439816335, moment 0.015399990447925171, torque Some(-2.045361104485721e-6)
evaluation 22600: force 0.08112550439816335, moment 0.015399990447925171, torque Some(-2.045361104485721e-6)
evaluation 22800: force 0.08112550439816335, moment 0.015399990447925171, torque Some(-2.045361104485721e-6)
evaluation 23000: force 0.08111834899686365, moment 0.015399915639712214, torque Some(-6.748379168142193e-5)
evaluation 23200: force 0.08111834899686365, moment 0.015399915639712214, torque Some(-6.748379168142193e-5)
evaluation 23400: force 0.08096140628996529, moment 0.015458153104060068, torque Some(-6.748379168142193e-5)
evaluation 23600: force 0.08111834899686365, moment 0.015399915639712214, torque Some(-6.748379168142193e-5)
evaluation 23800: force 0.08111834899686365, moment 0.015399915639712214, torque Some(-6.748379168142193e-5)
evaluation 24000: force 0.08111834899686365, moment 0.015399915639712214, torque Some(-6.748379168142193e-5)
evaluation 24200: force 0.08107492836734309, moment 0.015399451592278623, torque Some(-2.032895180192895e-6)
evaluation 24400: force 0.08107492836734309, moment 0.015399451592278623, torque Some(-2.032895180192895e-6)
evaluation 24600: force 0.0810727935176967, moment 0.015399479568660723, torque Some(-2.032895180192895e-6)
evaluation 24800: force 0.08107492836734309, moment 0.015399451592278623, torque Some(-2.032895180192895e-6)
evaluation 25000: force 0.08107492836734309, moment 0.015399451592278623, torque Some(-2.032895180192895e-6)
evaluation 25200: force 0.08107492836734309, moment 0.015399451592278623, torque Some(-2.032895180192895e-6)
evaluation 25400: force 0.08106876842692134, moment 0.015399104354675508, torque Some(-6.121593132890624e-5)
evaluation 25600: force 0.08106876842692134, moment 0.015399104354675508, torque Some(-6.122605563363415e-5)
evaluation 25800: force 0.08106876842692134, moment 0.015399104354675508, torque Some(-6.122605563363415e-5)
evaluation 26000: force 0.08106876842692134, moment 0.015399104354675508, torque Some(-6.122605563363415e-5)
evaluation 26200: force 0.08106876842692134, moment 0.015399104354675508, torque Some(-6.122605563363415e-5)
evaluation 26400: force 0.08106876842692134, moment 0.015399104354675508, torque Some(-6.122605563363415e-5)
evaluation 26600: force 0.08102972117365059, moment 0.015398309943171151, torque Some(2.9010468232115727e-6)
evaluation 26800: force 0.08102972117365059, moment 0.015388608361966982, torque Some(-2.0216667333539107e-6)
evaluation 27000: force 0.08102972117365059, moment 0.015398309943171151, torque Some(-2.0216667333539107e-6)
evaluation 27200: force 0.08102972117365059, moment 0.015398309943171151, torque Some(-2.0216667333539107e-6)
evaluation 27400: force 0.08102972117365059, moment 0.015398309943171151, torque Some(-2.0216667333539107e-6)
evaluation 27600: force 0.08090694199726811, moment 0.01539643158437154, torque Some(-0.0005024076650312903)
evaluation 27800: force 0.08090694199726811, moment 0.01539643158437154, torque Some(-0.0005024076650312903)
evaluation 28000: force 0.08090864559308031, moment 0.01539648329534593, torque Some(-0.0005024076650312903)
evaluation 28200: force 0.08090694199726811, moment 0.01539643158437154, torque Some(-0.0005024076650312903)
evaluation 28400: force 0.08090694199726811, moment 0.01539643158437154, torque Some(-0.0005024076650312903)
evaluation 28600: force 0.08090694199726811, moment 0.01539643158437154, torque Some(-0.0005024076650312903)
evaluation 28800: force 0.08088547058199702, moment 0.015394759955242865, torque Some(-2.3975801102249505e-6)
evaluation 29000: force 0.08088547058199702, moment 0.015394759955242865, torque Some(-2.3975801102249505e-6)
evaluation 29200: force 0.08090860065799199, moment 0.015395366654295639, torque Some(-2.3975801102249505e-6)
evaluation 29400: force 0.08088547058199702, moment 0.015394759955242865, torque Some(-2.3975801102249505e-6)
