evaluation 200: force 0.17042196078447788, moment 0.06309082147801773, torque Some(-0.00018621211032909812)
evaluation 400: force 0.17042196078447788, moment 0.063056136031582, torque Some(-0.00018621211032909812)
evaluation 600: force 0.17042196078447788, moment 0.06309082147801773, torque Some(-0.00018621211032909812)
evaluation 800: force 0.17042196078447788, moment 0.06309082147801773, torque Some(-0.00018621211032909812)
evaluation 1000: force 0.17042196078447788, moment 0.06309082147801773, torque Some(-0.00018621211032909812)
evaluation 1200: force 0.13285417120566315, moment 0.06636341768811352, torque Some(-2.8640043304273277e-5)
evaluation 1400: force 0.13287050196425923, moment 0.06636341768811352, torque Some(-2.8640043304273277e-5)
evaluation 1600: force 0.13287050196425923, moment 0.06636341768811352, torque Some(-2.8640043304273277e-5)
evaluation 1800: force 0.13287050196425923, moment 0.06636341768811352, torque Some(-2.8640043304273277e-5)
evaluation 2000: force 0.13287050196425923, moment 0.06636341768811352, torque Some(-2.8640043304273277e-5)
evaluation 2200: force 0.13287050196425923, moment 0.06636341768811352, torque Some(-2.8640043304273277e-5)
evaluation 2400: force 0.12090545650023378, moment 0.06286174166225089, torque Some(-0.0037856646723744003)
evaluation 2600: force 0.1209067773153334, moment 0.06286174166225089, torque Some(-0.0037856646723744003)
evaluation 2800: force 0.1209067773153334, moment 0.06286174166225089, torque Some(-0.0037856646723744003)
evaluation 3000: force 0.1209067773153334, moment 0.06286174166225089, torque Some(-0.0037856646723744003)
evaluation 3200: force 0.1209067773153334, moment 0.06286174166225089, torque Some(-0.0037856646723744003)
evaluation 3400: force 0.1209067773153334, moment 0.06286174166225089, torque Some(-0.0037856646723744003)
evaluation 3600: force 0.11825595981290625, moment 0.06241668636443082, torque Some(-1.60169077909611e-5)
evaluation 3800: force 0.11825595981290625, moment 0.0623992822796508, torque Some(-1.6036293448484784e-5)
evaluation 4000: force 0.11825595981290625, moment 0.06241668636443082, torque Some(-1.6036293448484784e-5)
evaluation 4200: force 0.11825595981290625, moment 0.06241668636443082, torque Some(-1.6036293448484784e-5)
evaluation 4400: force 0.11825595981290625, moment 0.06241668636443082, torque Some(-1.6036293448484784e-5)
evaluation 4600: force 0.13895158540966188, moment 0.06292118206136883, torque Some(-2.272815256598726e-5)
evaluation 4800: force 0.13895158540966188, moment 0.06292118206136883, torque Some(-2.2727584259918387e-5)
evaluation 5000: force 0.13895158540966188, moment 0.06292374219103287, torque Some(-2.272815256598726e-5)
evaluation 5200: force 0.13895158540966188, moment 0.06292118206136883, torque Some(-2.272815256598726e-5)
evaluation 5400: force 0.13895158540966188, moment 0.06292118206136883, torque Some(-2.272815256598726e-5)
evaluation 5600: force 0.13895158540966188, moment 0.06292118206136883, torque Some(-2.272815256598726e-5)
evaluation 5800: force 0.11906865788404719, moment 0.06564157345266311, torque Some(-2.543197581306167e-5)
evaluation 6000: force 0.11907518007108386, moment 0.06564157345266311, torque Some(-2.543197581306167e-5)
evaluation 6200: force 0.11907518007108386, moment 0.06564157345266311, torque Some(-2.543197581306167e-5)
evaluation 6400: force 0.11907518007108386, moment 0.06564157345266311, torque Some(-2.543197581306167e-5)
evaluation 6600: force 0.11907518007108386, moment 0.06564157345266311, torque Some(-2.543197581306167e-5)
evaluation 6800: force 0.11907518007108386, moment 0.06564157345266311, torque Some(-2.543197581306167e-5)
evaluation 7000: force 0.1162317089078817, moment 0.06742362374714093, torque Some(-2.476795197536852e-5)
evaluation 7200: force 0.11623156453501604, moment 0.06742420631344169, torque Some(-2.476795197536852e-5)
evaluation 7400: force 0.11623156453501604, moment 0.06742362374714093, torque Some(-2.476795197536852e-5)
evaluation 7600: force 0.11623156453501604, moment 0.06742362374714093, torque Some(-2.476795197536852e-5)
evaluation 7800: force 0.11623156453501604, moment 0.06742362374714093, torque Some(-2.476795197536852e-5)
evaluation 8000: force 0.11623156453501604, moment 0.06742362374714093, torque Some(-2.476795197536852e-5)
evaluation 8200: force 0.11956888730806432, moment 0.06624922785603801, torque Some(-2.6294640555368787e-5)
evaluation 8400: force 0.11956888730806432, moment 0.066249844105621, torque Some(-2.6294640555368787e-5)
evaluation 8600: force 0.11956888730806432, moment 0.06624922785603801, torque Some(-2.6294640555368787e-5)
evaluation 8800: force 0.11956888730806432, moment 0.06624922785603801, torque Some(-2.6294640555368787e-5)
evaluation 9000: force 0.11942081502016484, moment 0.06624922785603801, torque Some(-2.6294640555368787e-5)
evaluation 9200: force 0.11491622578506733, moment 0.06634862530494576, torque Some(-2.4217964202710718e-5)
evaluation 9400: force 0.11491622578506733, moment 0.06634862530494576, torque Some(-2.4217964202710718e-5)
evaluation 9600: force 0.114859169760823, moment 0.06635452901064486, torque Some(-2.4217964202710718e-5)
evaluation 9800: force 0.11491622578506733, moment 0.06634862530494576, torque Some(-2.4217964202710718e-5)
evaluation 10000: force 0.11491622578506733, moment 0.06634862530494576, torque Some(-2.4217964202710718e-5)
evaluation 10200: force 0.11491622578506733, moment 0.06634862530494576, torque Some(-2.4217964202710718e-5)
evaluation 10400: force 0.11586927284910908, moment 0.06570447941983096, torque Some(-1.6325150428597723e-5)
evaluation 10600: force 0.11586927284910908, moment 0.06570447941983096, torque Some(-1.6325150428597723e-5)
evaluation 10800: force 0.11587534145190093, moment 0.06570447941983096, torque Some(-1.6325150428597723e-5)
evaluation 11000: force 0.11586927284910908, moment 0.06570447941983096, torque Some(-1.6325150428597723e-5)
evaluation 11200: force 0.11586927284910908, moment 0.06570447941983096, torque Some(-1.6325150428597723e-5)
evaluation 11400: force 0.11586927284910908, moment 0.06570447941983096, torque Some(-1.6325150428597723e-5)
evaluation 11600: force 0.11590445212949363, moment 0.06403443787862732, torque Some(-1.9121353703743793e-5)
evaluation 11800: force 0.11590445212949363, moment 0.06403448005563898, torque Some(-1.9050061802916574e-5)
evaluation 12000: force 0.11590445212949363, moment 0.06403443787862732, torque Some(-1.9050061802916574e-5)
evaluation 12200: force 0.11590445212949363, moment 0.06403443787862732, torque Some(-1.9050061802916574e-5)
evaluation 12400: force 0.11590445212949363, moment 0.06403443787862732, torque Some(-1.9050061802916574e-5)
evaluation 12600: force 0.11590445212949363, moment 0.06403443787862732, torque Some(-1.9050061802916574e-5)
evaluation 12800: force 0.11606685390281113, moment 0.06340889469976244, torque Some(-1.5574591508693558e-5)
evaluation 13000: force 0.11606685390281113, moment 0.0634108858883454, torque Some(-1.5574591508693558e-5)
evaluation 13200: force 0.11606685390281113, moment 0.06340889469976244, torque Some(-1.5574591508693558e-5)
evaluation 13400: force 0.11606685390281113, moment 0.06340889469976244, torque Some(-1.5574591508693558e-5)
evaluation 13600: force 0.11606685390281113, moment 0.06340889469976244, torque Some(-1.5574591508693558e-5)
evaluation 13800: force 0.11623604158937373, moment 0.06310079904215907, torque Some(-1.6720893480703936e-5)
evaluation 14000: force 0.11623604158937373, moment 0.06310079904215907, torque Some(-1.6720893480703936e-5)
evaluation 14200: force 0.11649957762944418, moment 0.0630914349184293, torque Some(-1.6720893480703936e-5)
evaluation 14400: force 0.11623604158937373, moment 0.06310079904215907, torque Some(-1.6720893480703936e-5)
evaluation 14600: force 0.11623604158937373, moment 0.06310079904215907, torque Some(-1.6720893480703936e-5)
evaluation 14800: force 0.11623604158937373, moment 0.06310079904215907, torque Some(-1.6720893480703936e-5)
evaluation 15000: force 0.11630478043095405, moment 0.0629813079029366, torque Some(-1.6660312686544998e-5)
evaluation 15200: force 0.11630478043095405, moment 0.0629813079029366, torque Some(-1.6660312686544998e-5)
evaluation 15400: force 0.11634082811983637, moment 0.0629813079029366, torque Some(-1.6660312686544998e-5)
evaluation 15600: force 0.11630478043095405, moment 0.0629813079029366, torque Some(-1.6660312686544998e-5)
evaluation 15800: force 0.11630478043095405, moment 0.0629813079029366, torque Some(-1.6660312686544998e-5)
evaluation 16000: force 0.11630478043095405, moment 0.0629813079029366, torque Some(-1.6660312686544998e-5)
evaluation 16200: force 0.11634755555568543, moment 0.06276905152617286, torque Some(-1.6698829296446505e-5)
evaluation 16400: force 0.11634755555568543, moment 0.06276900937150866, torque Some(-1.6770141383348758e-5)
evaluation 16600: force 0.11634755555568543, moment 0.06276905152617286, torque Some(-1.6770141383348758e-5)
evaluation 16800: force 0.11634755555568543, moment 0.06276905152617286, torque Some(-1.6770141383348758e-5)
evaluation 17000: force 0.11634755555568543, moment 0.06276905152617286, torque Some(-1.6770141383348758e-5)
evaluation 17200: force 0.11634755555568543, moment 0.06276905152617286, torque Some(-1.6770141383348758e-5)
evaluation 17400: force 0.11638423999334568, moment 0.06267250582841942, torque Some(-0.0002972292054538306)
evaluation 17600: force 0.11638423999334568, moment 0.06267043379057496, torque Some(-0.0002972292054538306)
evaluation 17800: force 0.11638423999334568, moment 0.06267250582841942, torque Some(-0.0002972292054538306)
evaluation 18000: force 0.11638423999334568, moment 0.06267250582841942, torque Some(-0.0002972292054538306)
evaluation 18200: force 0.11638423999334568, moment 0.06267250582841942, torque Some(-0.0002972292054538306)
evaluation 18400: force 0.11640204261839715, moment 0.0626006868308963, torque Some(-1.5473892144513002e-5)
evaluation 18600: force 0.11640204261839715, moment 0.0626006868308963, torque Some(-1.5473892144513002e-5)
evaluation 18800: force 0.11648484053385788, moment 0.06259412144507663, torque Some(-1.5473892144513002e-5)
evaluation 19000: force 0.11640204261839715, moment 0.0626006868308963, torque Some(-1.5473892144513002e-5)
evaluation 19200: force 0.11640204261839715, moment 0.0626006868308963, torque Some(-1.5473892144513002e-5)
evaluation 19400: force 0.11640204261839715, moment 0.0626006868308963, torque Some(-1.5473892144513002e-5)
evaluation 19600: force 0.11640297448957626, moment 0.06242905169485542, torque Some(-0.00010570639430984574)
evaluation 19800: force 0.11640297448957626, moment 0.06242905169485542, torque Some(-0.00010570639430984574)
evaluation 20000: force 0.1163333443618988, moment 0.06242905169485542, torque Some(-0.00010570639430984574)
evaluation 20200: force 0.11640297448957626, moment 0.06242905169485542, torque Some(-0.00010570639430984574)
evaluation 20400: force 0.11640297448957626, moment 0.06242905169485542, torque Some(-0.00010570639430984574)
evaluation 20600: force 0.11640297448957626, moment 0.06242905169485542, torque Some(-0.00010570639430984574)
evaluation 20800: force 0.11627815450268986, moment 0.06198246557998893, torque Some(-2.150122629562823e-5)
evaluation 21000: force 0.11627815450268986, moment 0.06198129493681942, torque Some(-2.150122629562823e-5)
evaluation 21200: force 0.11627815450268986, moment 0.06198246557998893, torque Some(-2.150122629562823e-5)
evaluation 21400: force 0.11627815450268986, moment 0.06198246557998893, torque Some(-2.150122629562823e-5)
evaluation 21600: force 0.11627815450268986, moment 0.06198246557998893, torque Some(-2.150122629562823e-5)
evaluation 21800: force 0.11627815450268986, moment 0.06198246557998893, torque Some(-2.150122629562823e-5)
evaluation 22000: force 0.11561339604568177, moment 0.060761232507078815, torque Some(-0.0012557470635492507)
evaluation 22200: force 0.11561339604568177, moment 0.06077686225634367, torque Some(-0.0012606828930199487)
evaluation 22400: force 0.11561339604568177, moment 0.060761232507078815, torque Some(-0.0012606828930199487)
evaluation 22600: force 0.11561339604568177, moment 0.060761232507078815, torque Some(-0.0012606828930199487)
evaluation 22800: force 0.11561339604568177, moment 0.060761232507078815, torque Some(-0.0012606828930199487)
evaluation 23000: force 0.11489434507893992, moment 0.059374512278142985, torque Some(-3.745280143252483e-5)
evaluation 23200: force 0.11489434507893992, moment 0.059374512278142985, torque Some(-3.745280143252483e-5)
evaluation 23400: force 0.1148960951938165, moment 0.05937254115398509, torque Some(-3.745280143252483e-5)
evaluation 23600: force 0.11489434507893992, moment 0.059374512278142985, torque Some(-3.745280143252483e-5)
evaluation 23800: force 0.11489434507893992, moment 0.059374512278142985, torque Some(-3.745280143252483e-5)
evaluation 24000: force 0.11489434507893992, moment 0.059374512278142985, torque Some(-3.745280143252483e-5)
evaluation 24200: force 0.11252219760174254, moment 0.055031049784335276, torque Some(-7.3315082218528005e-6)
evaluation 24400: force 0.11252219760174254, moment 0.055031049784335276, torque Some(-7.3315082218528005e-6)
evaluation 24600: force 0.1125394216099802, moment 0.055031049784335276, torque Some(-7.3315082218528005e-6)
evaluation 24800: force 0.11252219760174254, moment 0.055031049784335276, torque Some(-7.3315082218528005e-6)
evaluation 25000: force 0.11252219760174254, moment 0.055031049784335276, torque Some(-7.3315082218528005e-6)
evaluation 25200: force 0.11252219760174254, moment 0.055031049784335276, torque Some(-7.3315082218528005e-6)
evaluation 25400: force 0.10740168113820436, moment 0.04708699843893946, torque Some(-0.00017821502968184966)
evaluation 25600: force 0.10740168113820436, moment 0.04708699843893946, torque Some(-0.00017821502968184966)
evaluation 25800: force 0.10740168113820436, moment 0.04708699843893946, torque Some(-0.00017821502968184966)
evaluation 26000: force 0.10740168113820436, moment 0.04708699843893946, torque Some(-0.00017821502968184966)
evaluation 26200: force 0.10740168113820436, moment 0.04708699843893946, torque Some(-0.00017821502968184966)
evaluation 26400: force 0.10740168113820436, moment 0.04708699843893946, torque Some(-0.00017821502968184966)
evaluation 26600: force 0.10280225287502653, moment 0.042036993975264204, torque Some(-0.0012817863946179564)
evaluation 26800: force 0.10280225287502653, moment 0.042015263910393036, torque Some(-0.0012817840922034751)
evaluation 27000: force 0.10280225287502653, moment 0.042036993975264204, torque Some(-0.0012817840922034751)
evaluation 27200: force 0.10280225287502653, moment 0.042036993975264204, torque Some(-0.0012817840922034751)
evaluation 27400: force 0.10280225287502653, moment 0.042036993975264204, torque Some(-0.0012817840922034751)
evaluation 27600: force 0.09987521916753805, moment 0.03858215252926425, torque Some(-0.0013031385632621406)
evaluation 27800: force 0.09987521916753805, moment 0.03858215252926425, torque Some(-0.0013031385632621406)
evaluation 28000: force 0.09987131514162972, moment 0.03858226318443794, torque Some(-0.0013031385632621406)
evaluation 28200: force 0.09987521916753805, moment 0.03858215252926425, torque Some(-0.0013031385632621406)
evaluation 28400: force 0.09987521916753805, moment 0.03858215252926425, torque Some(-0.0013031385632621406)
evaluation 28600: force 0.09987521916753805, moment 0.03858215252926425, torque Some(-0.0013031385632621406)
evaluation 28800: force 0.09705321978533221, moment 0.03398751901670962, torque Some(-9.279008529317068e-6)
evaluation 29000: force 0.09705321978533221, moment 0.03398751901670962, torque Some(-9.279008529317068e-6)
evaluation 29200: force 0.09710013668923612, moment 0.03398751901670962, torque Some(-9.279008529317068e-6)
evaluation 29400: force 0.09705321978533221, moment 0.03398751901670962, torque Some(-9.279008529317068e-6)
evaluation 29600: force 0.09705321978533221, moment 0.03398751901670962, torque Some(-9.279008529317068e-6)
evaluation 29800: force 0.09705321978533221, moment 0.03398751901670962, torque Some(-9.279008529317068e-6)
evaluation 30000: force 0.09531518260443494, moment 0.033841791368567756, torque Some(-0.001163168080107746)
evaluation 30200: force 0.09531518260443494, moment 0.033841791368567756, torque Some(-0.001163168080107746)
evaluation 30400: force 0.09531518260443494, moment 0.033841791368567756, torque Some(-0.001163168080107746)
evaluation 30600: force 0.09531518260443494, moment 0.033841791368567756, torque Some(-0.001163168080107746)
evaluation 30800: force 0.09531518260443494, moment 0.033841791368567756, torque Some(-0.001163168080107746)
evaluation 31000: force 0.09531518260443494, moment 0.033841791368567756, torque Some(-0.001163168080107746)
evaluation 31200: force 0.09452676183599884, moment 0.028627992911216302, torque Some(-8.518663937917559e-6)
evaluation 31400: force 0.09452676183599884, moment 0.028634428677710808, torque Some(-8.518663937917559e-6)
evaluation 31600: force 0.09452676183599884, moment 0.028627992911216302, torque Some(-8.518663937917559e-6)
