evaluation 200: force 0.8850161346167217, moment 0.3689070457379034, torque Some(-0.034404896627046246)
evaluation 400: force 0.8850161346167217, moment 0.3689070457379034, torque Some(-0.034404896627046246)
evaluation 600: force 0.8850161346167217, moment 0.3689070457379034, torque Some(-0.034404896627046246)
evaluation 800: force 0.8850161346167217, moment 0.3689070457379034, torque Some(-0.034404896627046246)
evaluation 1000: force 0.8850161346167217, moment 0.3689070457379034, torque Some(-0.034404896627046246)
evaluation 1200: force 0.7758995809051212, moment 0.2202435064010513, torque Some(-0.0001609625036180437)
evaluation 1400: force 0.7760794619359879, moment 0.22030833229738003, torque Some(-0.0001609373592994373)
evaluation 1600: force 0.7760794619359879, moment 0.22030833229738003, torque Some(-0.0001609625036180437)
evaluation 1800: force 0.7760794619359879, moment 0.22030833229738003, torque Some(-0.0001609625036180437)
evaluation 2000: force 0.7760794619359879, moment 0.22030833229738003, torque Some(-0.0001609625036180437)
evaluation 2200: force 0.7760794619359879, moment 0.22030833229738003, torque Some(-0.0001609625036180437)
evaluation 2400: force 0.2681873858014735, moment 0.10581172182787474, torque Some(-2.001952077346214e-5)
evaluation 2600: force 0.2681998512975019, moment 0.10581512282907418, torque Some(-2.001952077346214e-5)
evaluation 2800: force 0.2681998512975019, moment 0.10581512282907418, torque Some(-2.001952077346214e-5)
evaluation 3000: force 0.2681998512975019, moment 0.10581512282907418, torque Some(-2.001952077346214e-5)
evaluation 3200: force 0.2681998512975019, moment 0.10581512282907418, torque Some(-2.001952077346214e-5)
evaluation 3400: force 0.2681998512975019, moment 0.10581512282907418, torque Some(-2.001952077346214e-5)
evaluation 3600: force 0.2687002073131225, moment 0.1022195222347923, torque Some(-4.164892713653945e-5)
evaluation 3800: force 0.2687033579415299, moment 0.10222153292298425, torque Some(-4.171092850380198e-5)
evaluation 4000: force 0.2687033579415299, moment 0.10222153292298425, torque Some(-4.171092850380198e-5)
evaluation 4200: force 0.2687033579415299, moment 0.10222153292298425, torque Some(-4.171092850380198e-5)
evaluation 4400: force 0.2687033579415299, moment 0.10222153292298425, torque Some(-4.171092850380198e-5)
evaluation 4600: force 0.26387928193256016, moment 0.09730305276390222, torque Some(-3.262232836842571e-5)
evaluation 4800: force 0.26387928193256016, moment 0.09730305276390222, torque Some(-3.262048917818117e-5)
evaluation 5000: force 0.26387928193256016, moment 0.09730305276390222, torque Some(-3.262232836842571e-5)
evaluation 5200: force 0.26387928193256016, moment 0.09730305276390222, torque Some(-3.262232836842571e-5)
evaluation 5400: force 0.26387928193256016, moment 0.09730305276390222, torque Some(-3.262232836842571e-5)
evaluation 5600: force 0.26387928193256016, moment 0.09730305276390222, torque Some(-3.262232836842571e-5)
evaluation 5800: force 0.26376226659961455, moment 0.09613698515044578, torque Some(-3.286850192951718e-5)
evaluation 6000: force 0.2637520674923154, moment 0.09613232914325137, torque Some(-3.286850192951718e-5)
evaluation 6200: force 0.2637520674923154, moment 0.09613232914325137, torque Some(-3.286850192951718e-5)
evaluation 6400: force 0.2637520674923154, moment 0.09613232914325137, torque Some(-3.286850192951718e-5)
evaluation 6600: force 0.2637520674923154, moment 0.09613232914325137, torque Some(-3.286850192951718e-5)
evaluation 6800: force 0.2637520674923154, moment 0.09613232914325137, torque Some(-3.286850192951718e-5)
evaluation 7000: force 0.25572684817092806, moment 0.09182397235792736, torque Some(-0.0025068995269421634)
evaluation 7200: force 0.2557285205821065, moment 0.09182504980347658, torque Some(-0.0025068995269421634)
evaluation 7400: force 0.2557285205821065, moment 0.09182504980347658, torque Some(-0.0025068995269421634)
evaluation 7600: force 0.2557285205821065, moment 0.09182504980347658, torque Some(-0.0025068995269421634)
evaluation 7800: force 0.2557285205821065, moment 0.09182504980347658, torque Some(-0.0025068995269421634)
evaluation 8000: force 0.2557285205821065, moment 0.09182504980347658, torque Some(-0.0025068995269421634)
evaluation 8200: force 0.24059697814417558, moment 0.08344207612893184, torque Some(-3.0252044475709283e-5)
evaluation 8400: force 0.24059794989457173, moment 0.08344240769821346, torque Some(-3.160533589285919e-5)
evaluation 8600: force 0.24059794989457173, moment 0.08344240769821346, torque Some(-3.160533589285919e-5)
evaluation 8800: force 0.24059794989457173, moment 0.08344240769821346, torque Some(-3.160533589285919e-5)
evaluation 9000: force 0.24059794989457173, moment 0.08344240769821346, torque Some(-3.160533589285919e-5)
evaluation 9200: force 0.2308357517233235, moment 0.07734418801021961, torque Some(-3.289921180882338e-5)
evaluation 9400: force 0.2308357517233235, moment 0.07734418801021961, torque Some(-3.289921180882338e-5)
evaluation 9600: force 0.2308357517233235, moment 0.07734418801021961, torque Some(-3.289921180882338e-5)
evaluation 9800: force 0.2308357517233235, moment 0.07734418801021961, torque Some(-3.289921180882338e-5)
evaluation 10000: force 0.2308357517233235, moment 0.07734418801021961, torque Some(-3.289921180882338e-5)
evaluation 10200: force 0.2308357517233235, moment 0.07734418801021961, torque Some(-3.289921180882338e-5)
evaluation 10400: force 0.21304391929866817, moment 0.07005011256374882, torque Some(-0.0023585591301092945)
evaluation 10600: force 0.2130466356875622, moment 0.070051576389734, torque Some(-0.0023585591301092945)
evaluation 10800: force 0.2130466356875622, moment 0.070051576389734, torque Some(-0.0023585591301092945)
evaluation 11000: force 0.2130466356875622, moment 0.070051576389734, torque Some(-0.0023585591301092945)
evaluation 11200: force 0.2130466356875622, moment 0.070051576389734, torque Some(-0.0023585591301092945)
evaluation 11400: force 0.2130466356875622, moment 0.070051576389734, torque Some(-0.0023585591301092945)
evaluation 11600: force 0.17943678559019127, moment 0.05831528224235552, torque Some(-0.006711801780823867)
evaluation 11800: force 0.1794367556864629, moment 0.058314827086575344, torque Some(-0.006711801780823867)
evaluation 12000: force 0.1794367556864629, moment 0.058314827086575344, torque Some(-0.006711801780823867)
evaluation 12200: force 0.1794367556864629, moment 0.058314827086575344, torque Some(-0.006711801780823867)
evaluation 12400: force 0.1794367556864629, moment 0.058314827086575344, torque Some(-0.006711801780823867)
evaluation 12600: force 0.1794367556864629, moment 0.058314827086575344, torque Some(-0.006711801780823867)
evaluation 12800: force 0.16026391755019054, moment 0.05154598405929983, torque Some(-1.689224134682199e-5)
evaluation 13000: force 0.1602632013428038, moment 0.051545768584977, torque Some(-1.689224134682199e-5)
evaluation 13200: force 0.1602632013428038, moment 0.051545768584977, torque Some(-1.689224134682199e-5)
evaluation 13400: force 0.1602632013428038, moment 0.051545768584977, torque Some(-1.689224134682199e-5)
evaluation 13600: force 0.1602632013428038, moment 0.051545768584977, torque Some(-1.689224134682199e-5)
evaluation 13800: force 0.14479435536616794, moment 0.0470221995481594, torque Some(-0.0022590685514218833)
evaluation 14000: force 0.14479435536616794, moment 0.0470221995481594, torque Some(-0.0022590685514218833)
evaluation 14200: force 0.14479435536616794, moment 0.0470221995481594, torque Some(-0.0022590685514218833)
evaluation 14400: force 0.14479435536616794, moment 0.0470221995481594, torque Some(-0.0022590685514218833)
evaluation 14600: force 0.14479435536616794, moment 0.0470221995481594, torque Some(-0.0022590683544374546)
evaluation 14800: force 0.14479435536616794, moment 0.04702259159633788, torque Some(-0.0022590685514218833)
evaluation 15000: force 0.14449690744527657, moment 0.04457050258253005, torque Some(-1.82971439504076e-5)
evaluation 15200: force 0.14449690744527657, moment 0.04457050258253005, torque Some(-1.82971439504076e-5)
evaluation 15400: force 0.14449690744527657, moment 0.04457050258253005, torque Some(-1.82971439504076e-5)
evaluation 15600: force 0.14449690744527657, moment 0.04457050258253005, torque Some(-1.82971439504076e-5)
evaluation 15800: force 0.14450948966766167, moment 0.04457050258253005, torque Some(-1.82971439504076e-5)
evaluation 16000: force 0.14449690744527657, moment 0.04457655964504849, torque Some(-1.82971439504076e-5)
evaluation 16200: force 0.1440119012040238, moment 0.04400150403535557, torque Some(-0.0017581645821065361)
evaluation 16400: force 0.1440119012040238, moment 0.04400150403535557, torque Some(-0.0017581645821065361)
evaluation 16600: force 0.1440119012040238, moment 0.04400150403535557, torque Some(-0.0017581645821065361)
evaluation 16800: force 0.1440119012040238, moment 0.04400150403535557, torque Some(-0.0017581645821065361)
evaluation 17000: force 0.14401468013089902, moment 0.04400150403535557, torque Some(-0.0017581645821065361)
evaluation 17200: force 0.1440119012040238, moment 0.04400150403535557, torque Some(-0.0017581645821065361)
evaluation 17400: force 0.14374154006600412, moment 0.043050451673135814, torque Some(-0.0005617033184595055)
evaluation 17600: force 0.14374154006600412, moment 0.043050451673135814, torque Some(-0.0005617033184595055)
evaluation 17800: force 0.14374154006600412, moment 0.043050451673135814, torque Some(-0.0005617033184595055)
evaluation 18000: force 0.14374154006600412, moment 0.043050451673135814, torque Some(-0.0005617033184595055)
evaluation 18200: force 0.14374154006600412, moment 0.043050451673135814, torque Some(-0.0005617033184595055)
evaluation 18400: force 0.14361276569407633, moment 0.04296482558217107, torque Some(-0.0004510277427716147)
evaluation 18600: force 0.14361276569407633, moment 0.04296482558217107, torque Some(-0.0004510277427716147)
evaluation 18800: force 0.14361276569407633, moment 0.04296482558217107, torque Some(-0.0004510277427716147)
evaluation 19000: force 0.14361276569407633, moment 0.04296482558217107, torque Some(-0.0004510277427716147)
evaluation 19200: force 0.14361276569407633, moment 0.04296482558217107, torque Some(-0.0004510277427716147)
evaluation 19400: force 0.14361276569407633, moment 0.04296482558217107, torque Some(-0.0004510277427716147)
evaluation 19600: force 0.1432796187947512, moment 0.043098377758342465, torque Some(-1.5029628310569976e-5)
evaluation 19800: force 0.1432796187947512, moment 0.04310555024140328, torque Some(-1.5029628310569976e-5)
evaluation 20000: force 0.1432796187947512, moment 0.04310555024140328, torque Some(-1.5029628310569976e-5)
evaluation 20200: force 0.1432796187947512, moment 0.04310555024140328, torque Some(-1.5029628310569976e-5)
evaluation 20400: force 0.1432990392408006, moment 0.04310555024140328, torque Some(-1.5029628310569976e-5)
evaluation 20600: force 0.1432796187947512, moment 0.04310555024140328, torque Some(-1.5029628310569976e-5)
evaluation 20800: force 0.14225348176710007, moment 0.04241165060916252, torque Some(-0.0015667346135749272)
evaluation 21000: force 0.14225348176710007, moment 0.04240286789770309, torque Some(-0.0015667346135749272)
evaluation 21200: force 0.14225348176710007, moment 0.04240286789770309, torque Some(-0.0015667346135749272)
evaluation 21400: force 0.14225348176710007, moment 0.04240286789770309, torque Some(-0.0015667346135749272)
evaluation 21600: force 0.1422530878468703, moment 0.04240286789770309, torque Some(-0.0015667346135749272)
evaluation 21800: force 0.14225348176710007, moment 0.04240286789770309, torque Some(-0.0015667346135749272)
evaluation 22000: force 0.1396736744250404, moment 0.03994800471734017, torque Some(-0.0026180092808745226)
evaluation 22200: force 0.1396736744250404, moment 0.039947931608560694, torque Some(-0.0026179468998164257)
evaluation 22400: force 0.1396736744250404, moment 0.039947931608560694, torque Some(-0.0026179468998164257)
evaluation 22600: force 0.1396736744250404, moment 0.039947931608560694, torque Some(-0.0026179468998164257)
evaluation 22800: force 0.1396736744250404, moment 0.039947931608560694, torque Some(-0.0026179468998164257)
evaluation 23000: force 0.13862172163146486, moment 0.04072807673525425, torque Some(-0.0008043869922605973)
evaluation 23200: force 0.13862172163146486, moment 0.04072807673525425, torque Some(-0.0008043869922605973)
evaluation 23400: force 0.13862172163146486, moment 0.04072807673525425, torque Some(-0.0008043869922605973)
evaluation 23600: force 0.13862172163146486, moment 0.04072807673525425, torque Some(-0.0008043869922605973)
evaluation 23800: force 0.13862172163146486, moment 0.04072807673525425, torque Some(-0.0008043869922605973)
evaluation 24000: force 0.13862172163146486, moment 0.04072807673525425, torque Some(-0.0008043869922605973)
evaluation 24200: force 0.1376120808269122, moment 0.040293844438240356, torque Some(-1.3537015987052925e-5)
evaluation 24400: force 0.1376120808269122, moment 0.040282555944779475, torque Some(-1.3537015987052925e-5)
evaluation 24600: force 0.1376120808269122, moment 0.040282555944779475, torque Some(-1.3537015987052925e-5)
evaluation 24800: force 0.1376120808269122, moment 0.040282555944779475, torque Some(-1.3537015987052925e-5)
evaluation 25000: force 0.13761208082691176, moment 0.040282555944779475, torque Some(-1.3537015987052925e-5)
evaluation 25200: force 0.1376120808269122, moment 0.040282555944779475, torque Some(-1.3537015987052925e-5)
evaluation 25400: force 0.13513147624309998, moment 0.03899546728949588, torque Some(-1.4422265739000295e-5)
evaluation 25600: force 0.13513147624309998, moment 0.03899414866400264, torque Some(-1.4415096992959064e-5)
evaluation 25800: force 0.13513147624309998, moment 0.03899414866400264, torque Some(-1.4415096992959064e-5)
evaluation 26000: force 0.13513147624309998, moment 0.03899414866400264, torque Some(-1.4415096992959064e-5)
evaluation 26200: force 0.13513260823159493, moment 0.03899414866400264, torque Some(-1.4415096992959064e-5)
evaluation 26400: force 0.13513147624309998, moment 0.03899414866400264, torque Some(-1.4415096992959064e-5)
evaluation 26600: force 0.1341143833916467, moment 0.03899537602839054, torque Some(-1.4783297008325036e-5)
