evaluation 200: force 0.31930244683845244, moment 0.11882535795474958, torque Some(-1.703312629586229e-5)
evaluation 400: force 0.31930244683845244, moment 0.11882535795474958, torque Some(-1.703312629586229e-5)
evaluation 600: force 0.31930244683845244, moment 0.11882535795474958, torque Some(-1.703312629586229e-5)
evaluation 800: force 0.31930244683845244, moment 0.11882535795474958, torque Some(-1.703312629586229e-5)
evaluation 1000: force 0.31930244683845244, moment 0.11882535795474958, torque Some(-1.703312629586229e-5)
evaluation 1200: force 0.31930244683845244, moment 0.11882535795474958, torque Some(-1.703312629586229e-5)
evaluation 1400: force 0.31930244683845244, moment 0.11882535795474958, torque Some(-1.703312629586229e-5)
evaluation 1600: force 0.31930244683845244, moment 0.11882535795474958, torque Some(-1.703312629586229e-5)
evaluation 1800: force 0.31930244683845244, moment 0.11882535795474958, torque Some(-1.703312629586229e-5)
evaluation 2000: force 0.31930244683845244, moment 0.11882535795474958, torque Some(-1.703312629586229e-5)
evaluation 2200: force 0.31930244683845244, moment 0.11882535795474958, torque Some(-1.703312629586229e-5)
evaluation 2400: force 0.4899451796301886, moment 0.1825328968799429, torque Some(-0.00018812464544026852)
evaluation 2600: force 0.4893211342621755, moment 0.18228062562219627, torque Some(-0.00018377893816334812)
evaluation 2800: force 0.4893211342621755, moment 0.18228062562219627, torque Some(-0.00018812464544026852)
evaluation 3000: force 0.4893211342621755, moment 0.18228062562219627, torque Some(-0.00018812464544026852)
evaluation 3200: force 0.4893211342621755, moment 0.18228062562219627, torque Some(-0.00018812464544026852)
evaluation 3400: force 0.4893211342621755, moment 0.18228062562219627, torque Some(-0.00018812464544026852)
evaluation 3600: force 0.4893211342621755, moment 0.18228062562219627, torque Some(-0.00018812464544026852)
evaluation 3800: force 0.4893211342621755, moment 0.18228062562219627, torque Some(-0.00018812464544026852)
evaluation 4000: force 0.4893211342621755, moment 0.18228062562219627, torque Some(-0.00018812464544026852)
evaluation 4200: force 0.4893211342621755, moment 0.18228062562219627, torque Some(-0.00018812464544026852)
evaluation 4400: force 0.4893211342621755, moment 0.18228062562219627, torque Some(-0.00018812464544026852)
evaluation 4600: force 0.4893211342621755, moment 0.18228062562219627, torque Some(-0.00018812464544026852)
evaluation 4800: force 0.1684857910269475, moment 0.059867837342666874, torque Some(4.7517041972255925e-6)
evaluation 5000: force 0.1684857910269475, moment 0.059867837342666874, torque Some(4.7517041972255925e-6)
evaluation 5200: force 0.1684857910269475, moment 0.059867837342666874, torque Some(4.7517041972255925e-6)
evaluation 5400: force 0.1684857910269475, moment 0.059867837342666874, torque Some(4.7517041972255925e-6)
evaluation 5600: force 0.1684857910269475, moment 0.059867837342666874, torque Some(4.7517041972255925e-6)
evaluation 5800: force 0.1684857910269475, moment 0.059867837342666874, torque Some(4.7517041972255925e-6)
evaluation 6000: force 0.1684857910269475, moment 0.059867837342666874, torque Some(4.7517041972255925e-6)
evaluation 6200: force 0.1684857910269475, moment 0.059867837342666874, torque Some(4.7517041972255925e-6)
evaluation 6400: force 0.1684857910269475, moment 0.059867837342666874, torque Some(4.7517041972255925e-6)
evaluation 6600: force 0.1684857910269475, moment 0.059867837342666874, torque Some(4.7517041972255925e-6)
evaluation 6800: force 0.1684857910269475, moment 0.059867837342666874, torque Some(4.7517041972255925e-6)
evaluation 7000: force 0.0806376906005446, moment 0.030861982621162017, torque Some(-0.0019992817454306255)
evaluation 7200: force 0.08063750341252351, moment 0.030861978246056406, torque Some(-0.001999458006996191)
evaluation 7400: force 0.08063750341252351, moment 0.030861978246056406, torque Some(-0.0019992817454306255)
evaluation 7600: force 0.08063750341252351, moment 0.030861978246056406, torque Some(-0.0019992817454306255)
evaluation 7800: force 0.08063750341252351, moment 0.030861978246056406, torque Some(-0.0019992817454306255)
evaluation 8000: force 0.08063750341252351, moment 0.030861978246056406, torque Some(-0.0019992817454306255)
evaluation 8200: force 0.08063750341252351, moment 0.030861978246056406, torque Some(-0.0019992817454306255)
evaluation 8400: force 0.08063750341252351, moment 0.030861978246056406, torque Some(-0.0019992817454306255)
evaluation 8600: force 0.08063750341252351, moment 0.030861978246056406, torque Some(-0.0019992817454306255)
evaluation 8800: force 0.08063750341252351, moment 0.030861978246056406, torque Some(-0.0019992817454306255)
evaluation 9000: force 0.08063750341252351, moment 0.030861978246056406, torque Some(-0.0019992817454306255)
evaluation 9200: force 0.0806422898568, moment 0.030843812341881712, torque Some(-0.0019992817454306255)
evaluation 9400: force 0.07209969941672444, moment 0.02587477292792517, torque Some(-7.854913305571642e-6)
evaluation 9600: force 0.07209969941672444, moment 0.02587477292792517, torque Some(-7.854913305571642e-6)
evaluation 9800: force 0.07209969941672444, moment 0.02587477292792517, torque Some(-7.854913305571642e-6)
evaluation 10000: force 0.07209969941672444, moment 0.02587477292792517, torque Some(-7.854913305571642e-6)
evaluation 10200: force 0.07209969941672444, moment 0.02587477292792517, torque Some(-7.854913305571642e-6)
evaluation 10400: force 0.07209969941672444, moment 0.02587477292792517, torque Some(-7.854913305571642e-6)
evaluation 10600: force 0.07209969941672444, moment 0.02587477292792517, torque Some(-7.854913305571642e-6)
evaluation 10800: force 0.07209969941672444, moment 0.02587477292792517, torque Some(-7.854913305571642e-6)
evaluation 11000: force 0.0720656296866123, moment 0.02587477292792517, torque Some(-7.854913305571642e-6)
evaluation 11200: force 0.07209969941672444, moment 0.02587477292792517, torque Some(-7.854913305571642e-6)
evaluation 11400: force 0.07209969941672444, moment 0.02587477292792517, torque Some(-7.854913305571642e-6)
evaluation 11600: force 0.07087945488249012, moment 0.022430549306084464, torque Some(-5.495798185539691e-5)
evaluation 11800: force 0.07087945488249012, moment 0.022430549306084464, torque Some(-5.495798185539691e-5)
evaluation 12000: force 0.07087945488249012, moment 0.022430549306084464, torque Some(-5.495798185539691e-5)
evaluation 12200: force 0.07087945488249012, moment 0.022430549306084464, torque Some(-5.495798185539691e-5)
evaluation 12400: force 0.07087945488249012, moment 0.022430549306084464, torque Some(-5.495798185539691e-5)
evaluation 12600: force 0.07087945488249012, moment 0.022430549306084464, torque Some(-5.495798185539691e-5)
evaluation 12800: force 0.07087945488249012, moment 0.022430549306084464, torque Some(-5.495798185539691e-5)
evaluation 13000: force 0.07087945488249012, moment 0.022430549306084464, torque Some(-5.495798185539691e-5)
evaluation 13200: force 0.07088591264792701, moment 0.022430549306084464, torque Some(-5.495798185539691e-5)
evaluation 13400: force 0.07087945488249012, moment 0.022430549306084464, torque Some(-5.495798185539691e-5)
evaluation 13600: force 0.07087945488249012, moment 0.022430549306084464, torque Some(-5.495798185539691e-5)
evaluation 13800: force 0.07087945488249012, moment 0.022430549306084464, torque Some(-5.495798185539691e-5)
evaluation 14000: force 0.07084058879463404, moment 0.02242992872375442, torque Some(-3.4076912215796895e-5)
evaluation 14200: force 0.07084058879463404, moment 0.02242992872375442, torque Some(-3.4076912215796895e-5)
evaluation 14400: force 0.07084058879463404, moment 0.022399009293477865, torque Some(-3.4076912215796895e-5)
evaluation 14600: force 0.07084058879463404, moment 0.02242992872375442, torque Some(-3.4076912215796895e-5)
evaluation 14800: force 0.07084058879463404, moment 0.02242992872375442, torque Some(-3.4076912215796895e-5)
evaluation 15000: force 0.07084058879463404, moment 0.02242992872375442, torque Some(-3.4076912215796895e-5)
evaluation 15200: force 0.07084058879463404, moment 0.02242992872375442, torque Some(-3.4076912215796895e-5)
evaluation 15400: force 0.07084058879463404, moment 0.02242992872375442, torque Some(-3.4076912215796895e-5)
evaluation 15600: force 0.07083981826045846, moment 0.02242992872375442, torque Some(-3.4076912215796895e-5)
evaluation 15800: force 0.07084058879463404, moment 0.02242992872375442, torque Some(-3.4076912215796895e-5)
evaluation 16000: force 0.07084058879463404, moment 0.02242992872375442, torque Some(-3.4076912215796895e-5)
evaluation 16200: force 0.0707304665305424, moment 0.02242374026361603, torque Some(-8.334480127158983e-6)
evaluation 16400: force 0.0707304665305424, moment 0.02242374026361603, torque Some(-8.334480127158983e-6)
evaluation 16600: force 0.0707304665305424, moment 0.02242374026361603, torque Some(-8.334480127158983e-6)
evaluation 16800: force 0.0707304665305424, moment 0.02242374026361603, torque Some(-8.334480127158983e-6)
evaluation 17000: force 0.0707304665305424, moment 0.02242374026361603, torque Some(-8.334480127158983e-6)
evaluation 17200: force 0.0707304665305424, moment 0.02242374026361603, torque Some(-8.334480127158983e-6)
evaluation 17400: force 0.0707304665305424, moment 0.02242374026361603, torque Some(-8.334480127158983e-6)
evaluation 17600: force 0.0707304665305424, moment 0.02242374026361603, torque Some(-8.334480127158983e-6)
evaluation 17800: force 0.0707304665305424, moment 0.02242374026361603, torque Some(-8.334480127158983e-6)
evaluation 18000: force 0.0707304665305424, moment 0.02242374026361603, torque Some(-8.334480127158983e-6)
evaluation 18200: force 0.0707304665305424, moment 0.02242374026361603, torque Some(-8.334480127158983e-6)
evaluation 18400: force 0.0707304665305424, moment 0.02242374026361603, torque Some(-8.334480127158983e-6)
evaluation 18600: force 0.07042498952338948, moment 0.022399726021473013, torque Some(-1.45852956272563e-5)
evaluation 18800: force 0.07042498952338948, moment 0.022399726021473013, torque Some(-1.7134172772825806e-5)
evaluation 19000: force 0.07042498952338948, moment 0.022371161020696417, torque Some(-1.7134172772825806e-5)
