evaluation 200: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 400: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 600: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 800: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 1000: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 1200: force 0.17813427137736407, moment 0.05135520215746493, torque Some(-7.860540195192556e-6)
evaluation 1400: force 0.17813427137736407, moment 0.05135037480074373, torque Some(-7.860540195192556e-6)
evaluation 1600: force 0.17813427137736407, moment 0.05135520215746493, torque Some(-7.860540195192556e-6)
evaluation 1800: force 0.17813427137736407, moment 0.05135520215746493, torque Some(-7.860540195192556e-6)
evaluation 2000: force 0.1781341045612809, moment 0.05135520215746493, torque Some(-7.860540195192556e-6)
evaluation 2200: force 0.17813427137736407, moment 0.05135520215746493, torque Some(-7.860540195192556e-6)
evaluation 2400: force 0.1774160401252897, moment 0.051274150723573025, torque Some(-0.0001548499221577515)
evaluation 2600: force 0.1774160401252897, moment 0.05128971523832851, torque Some(-0.0001548499221577515)
evaluation 2800: force 0.1774160401252897, moment 0.051274150723573025, torque Some(-0.0001548499221577515)
evaluation 3000: force 0.1774160401252897, moment 0.051274150723573025, torque Some(-0.0001548499221577515)
evaluation 3200: force 0.17747896402072186, moment 0.051274150723573025, torque Some(-0.0001548499221577515)
evaluation 3400: force 0.1774160401252897, moment 0.051274150723573025, torque Some(-0.0001548499221577515)
evaluation 3600: force 0.17722653677274425, moment 0.051244865311945595, torque Some(-4.5270881026127086e-6)
evaluation 3800: force 0.17722653677274425, moment 0.05125088532474985, torque Some(-4.513880250467395e-6)
evaluation 4000: force 0.17722653677274425, moment 0.051244865311945595, torque Some(-4.513880250467395e-6)
evaluation 4200: force 0.17722653677274425, moment 0.051244865311945595, torque Some(-4.513880250467395e-6)
evaluation 4400: force 0.17722653677274425, moment 0.051244865311945595, torque Some(-4.513880250467395e-6)
evaluation 4600: force 0.17706972983290795, moment 0.05122658431859268, torque Some(-3.908263060514727e-6)
evaluation 4800: force 0.17706972983290795, moment 0.05122658431859268, torque Some(-3.908263060514727e-6)
evaluation 5000: force 0.17706972983290795, moment 0.05122658431859268, torque Some(-3.908263060514727e-6)
evaluation 5200: force 0.17706972983290795, moment 0.05122658431859268, torque Some(-3.908263060514727e-6)
evaluation 5400: force 0.17706972983290795, moment 0.05122658431859268, torque Some(-3.908263060514727e-6)
evaluation 5600: force 0.17706972983290795, moment 0.05122658431859268, torque Some(-3.908263060514727e-6)
evaluation 5800: force 0.1765342179595705, moment 0.05119242006956957, torque Some(-4.216810566948226e-6)
evaluation 6000: force 0.1765342179595705, moment 0.05119641184919459, torque Some(-5.851848748461563e-6)
evaluation 6200: force 0.1765342179595705, moment 0.05119242006956957, torque Some(-5.851848748461563e-6)
evaluation 6400: force 0.1765342179595705, moment 0.05119242006956957, torque Some(-5.851848748461563e-6)
evaluation 6600: force 0.17653671052375533, moment 0.05119242006956957, torque Some(-5.851848748461563e-6)
evaluation 6800: force 0.1765342179595705, moment 0.05119242006956957, torque Some(-5.851848748461563e-6)
evaluation 7000: force 0.17585713371766787, moment 0.051165305417675604, torque Some(-6.3963916336895466e-6)
evaluation 7200: force 0.17585713371766787, moment 0.051140988171394335, torque Some(-6.3963916336895466e-6)
evaluation 7400: force 0.17585713371766787, moment 0.051165305417675604, torque Some(-6.3963916336895466e-6)
evaluation 7600: force 0.17585713371766787, moment 0.051165305417675604, torque Some(-6.3963916336895466e-6)
evaluation 7800: force 0.1758806249388077, moment 0.051165305417675604, torque Some(-6.3963916336895466e-6)
evaluation 8000: force 0.17585713371766787, moment 0.051165305417675604, torque Some(-6.3963916336895466e-6)
evaluation 8200: force 0.17576420391428585, moment 0.0511556174165928, torque Some(-8.012009215629945e-6)
evaluation 8400: force 0.17576420391428585, moment 0.05115343556288286, torque Some(-7.812819262431603e-6)
evaluation 8600: force 0.17576420391428585, moment 0.0511556174165928, torque Some(-7.812819262431603e-6)
evaluation 8800: force 0.17576420391428585, moment 0.0511556174165928, torque Some(-7.812819262431603e-6)
evaluation 9000: force 0.17576420391428585, moment 0.0511556174165928, torque Some(-7.812819262431603e-6)
evaluation 9200: force 0.17569001937143272, moment 0.05115653102209461, torque Some(-6.099087694222405e-6)
evaluation 9400: force 0.17569001937143272, moment 0.05115653102209461, torque Some(-6.099087694222405e-6)
evaluation 9600: force 0.17569001937143272, moment 0.05115653102209461, torque Some(-6.099087694222405e-6)
evaluation 9800: force 0.17569001937143272, moment 0.05115653102209461, torque Some(-6.099087694222405e-6)
evaluation 10000: force 0.17569001937143272, moment 0.05115653102209461, torque Some(-6.099087694222405e-6)
evaluation 10200: force 0.17569001937143272, moment 0.05115653102209461, torque Some(-6.099087694222405e-6)
evaluation 10400: force 0.17549989877361705, moment 0.05113878893553011, torque Some(-6.303691836295755e-6)
evaluation 10600: force 0.17549989877361705, moment 0.05114466781514258, torque Some(-6.28350714948489e-6)
evaluation 10800: force 0.17549989877361705, moment 0.05113878893553011, torque Some(-6.28350714948489e-6)
evaluation 11000: force 0.17549989877361705, moment 0.05113878893553011, torque Some(-6.28350714948489e-6)
evaluation 11200: force 0.17549367308877784, moment 0.05113878893553011, torque Some(-6.28350714948489e-6)
evaluation 11400: force 0.17549989877361705, moment 0.05113878893553011, torque Some(-6.28350714948489e-6)
evaluation 11600: force 0.17549571357202037, moment 0.05113764649675339, torque Some(-5.699200058773002e-6)
evaluation 11800: force 0.17549571357202037, moment 0.05112974771085537, torque Some(-5.699200058773002e-6)
evaluation 12000: force 0.17549571357202037, moment 0.05113764649675339, torque Some(-5.699200058773002e-6)
evaluation 12200: force 0.17549571357202037, moment 0.05113764649675339, torque Some(-5.699200058773002e-6)
evaluation 12400: force 0.1754979713717456, moment 0.05113764649675339, torque Some(-5.699200058773002e-6)
evaluation 12600: force 0.17549571357202037, moment 0.05113764649675339, torque Some(-5.699200058773002e-6)
evaluation 12800: force 0.17549471508875836, moment 0.051137552655610895, torque Some(-5.731210192649883e-6)
evaluation 13000: force 0.17549471508875836, moment 0.05113696365142604, torque Some(-5.731210192649883e-6)
evaluation 13200: force 0.17549471508875836, moment 0.051137552655610895, torque Some(-5.731210192649883e-6)
evaluation 13400: force 0.17549471508875836, moment 0.051137552655610895, torque Some(-5.731210192649883e-6)
evaluation 13600: force 0.17549471508875836, moment 0.051137552655610895, torque Some(-5.731210192649883e-6)
evaluation 13800: force 0.17549445708089295, moment 0.051137543120210335, torque Some(-5.748402462923963e-6)
evaluation 14000: force 0.17549445708089295, moment 0.051137543120210335, torque Some(-5.748402462923963e-6)
evaluation 14200: force 0.17549445708089295, moment 0.051137543120210335, torque Some(-5.748402462923963e-6)
evaluation 14400: force 0.17549445708089295, moment 0.051137543120210335, torque Some(-5.748402462923963e-6)
evaluation 14600: force 0.17549445708089295, moment 0.051137543120210335, torque Some(-5.748402462923963e-6)
evaluation 14800: force 0.17549445708089295, moment 0.051137543120210335, torque Some(-5.748402462923963e-6)
