evaluation 200: force 0.21538993266463513, moment 0.05897711273991879, torque Some(-4.446426384363544e-6)
evaluation 400: force 0.21538993266463513, moment 0.05897711273991879, torque Some(-4.446426384363544e-6)
evaluation 600: force 0.21538993266463513, moment 0.05897711273991879, torque Some(-4.446426384363544e-6)
evaluation 800: force 0.21538993266463513, moment 0.05897711273991879, torque Some(-4.446426384363544e-6)
evaluation 1000: force 0.21538993266463513, moment 0.05897711273991879, torque Some(-4.446426384363544e-6)
evaluation 1200: force 0.22370015404776122, moment 0.05891611029427146, torque Some(-6.0322495658571285e-6)
evaluation 1400: force 0.22370015404776122, moment 0.0589092498794932, torque Some(-6.0322495658571285e-6)
evaluation 1600: force 0.22370015404776122, moment 0.05891611029427146, torque Some(-6.0322495658571285e-6)
evaluation 1800: force 0.22370015404776122, moment 0.05891611029427146, torque Some(-6.0322495658571285e-6)
evaluation 2000: force 0.22370005246536184, moment 0.05891611029427146, torque Some(-6.0322495658571285e-6)
evaluation 2200: force 0.22370015404776122, moment 0.05891611029427146, torque Some(-6.0322495658571285e-6)
evaluation 2400: force 0.2241150046542098, moment 0.05673943051015473, torque Some(-4.204798310425417e-6)
evaluation 2600: force 0.2241150046542098, moment 0.05675490566006114, torque Some(-4.204798310425417e-6)
evaluation 2800: force 0.2241150046542098, moment 0.05673943051015473, torque Some(-4.204798310425417e-6)
evaluation 3000: force 0.2241150046542098, moment 0.05673943051015473, torque Some(-4.204798310425417e-6)
evaluation 3200: force 0.22417919881190912, moment 0.05673943051015473, torque Some(-4.204798310425417e-6)
evaluation 3400: force 0.2241150046542098, moment 0.05673943051015473, torque Some(-4.204798310425417e-6)
evaluation 3600: force 0.22523743977268512, moment 0.05686063582965528, torque Some(-0.004071838026221047)
evaluation 3800: force 0.22523743977268512, moment 0.05685450735222464, torque Some(-0.004071962058110112)
evaluation 4000: force 0.22523743977268512, moment 0.05686063582965528, torque Some(-0.004071962058110112)
evaluation 4200: force 0.22523743977268512, moment 0.05686063582965528, torque Some(-0.004071962058110112)
evaluation 4400: force 0.22523743977268512, moment 0.05686063582965528, torque Some(-0.004071962058110112)
evaluation 4600: force 0.22636642100631066, moment 0.055433534686490926, torque Some(-0.00010963007120004531)
evaluation 4800: force 0.22636642100631066, moment 0.055433534686490926, torque Some(-0.00010963007120004531)
evaluation 5000: force 0.22636642100631066, moment 0.055433534686490926, torque Some(-0.00010963007120004531)
evaluation 5200: force 0.22636642100631066, moment 0.055433534686490926, torque Some(-0.00010963007120004531)
evaluation 5400: force 0.22636642100631066, moment 0.055433534686490926, torque Some(-0.00010963007120004531)
evaluation 5600: force 0.22636642100631066, moment 0.055433534686490926, torque Some(-0.00010963007120004531)
evaluation 5800: force 0.22584057355472875, moment 0.05527562462505764, torque Some(-3.625788262184848e-6)
