evaluation 200: force 0.21538993266463513, moment 0.06980984129218662, torque Some(-0.002321785861467668)
evaluation 400: force 0.21538993266463513, moment 0.06980984129218662, torque Some(-0.002321785861467668)
evaluation 600: force 0.21538993266463513, moment 0.06980984129218662, torque Some(-0.002321785861467668)
evaluation 800: force 0.21538993266463513, moment 0.06980984129218662, torque Some(-0.002321785861467668)
evaluation 1000: force 0.21538993266463513, moment 0.06980984129218662, torque Some(-0.002321785861467668)
evaluation 1200: force 0.18439347415443708, moment 0.062248292270077776, torque Some(-0.00030131901793106763)
evaluation 1400: force 0.18439347415443708, moment 0.062248292270077776, torque Some(-0.00030131901793106763)
evaluation 1600: force 0.18439347415443708, moment 0.062248292270077776, torque Some(-0.00030131901793106763)
evaluation 1800: force 0.18439347415443708, moment 0.062248292270077776, torque Some(-0.00030131901793106763)
evaluation 2000: force 0.184374638641692, moment 0.062248292270077776, torque Some(-0.00030131901793106763)
evaluation 2200: force 0.18439347415443708, moment 0.062248292270077776, torque Some(-0.00030131901793106763)
evaluation 2400: force 0.18565685310219512, moment 0.06242931547743025, torque Some(-7.339795078342704e-5)
evaluation 2600: force 0.18565685310219512, moment 0.06244481628765408, torque Some(-7.339795078342704e-5)
evaluation 2800: force 0.18565685310219512, moment 0.06242931547743025, torque Some(-7.339795078342704e-5)
evaluation 3000: force 0.18565685310219512, moment 0.06242931547743025, torque Some(-7.339795078342704e-5)
evaluation 3200: force 0.1857209773598849, moment 0.06242931547743025, torque Some(-7.339795078342704e-5)
evaluation 3400: force 0.18565685310219512, moment 0.06242931547743025, torque Some(-7.339795078342704e-5)
evaluation 3600: force 0.18982527668749963, moment 0.061741653367484606, torque Some(-0.001114430124026622)
evaluation 3800: force 0.18982527668749963, moment 0.06173552417225814, torque Some(-0.001114538482977212)
evaluation 4000: force 0.18982527668749963, moment 0.061741653367484606, torque Some(-0.001114538482977212)
evaluation 4200: force 0.18982527668749963, moment 0.061741653367484606, torque Some(-0.001114538482977212)
evaluation 4400: force 0.18982527668749963, moment 0.061741653367484606, torque Some(-0.001114538482977212)
evaluation 4600: force 0.18904916387976708, moment 0.06175694139193699, torque Some(-1.489831347356585e-5)
evaluation 4800: force 0.18904916387976708, moment 0.06175694139193699, torque Some(-1.489831347356585e-5)
evaluation 5000: force 0.18904916387976708, moment 0.06175694139193699, torque Some(-1.489831347356585e-5)
evaluation 5200: force 0.18904916387976708, moment 0.06175694139193699, torque Some(-1.489831347356585e-5)
evaluation 5400: force 0.18904916387976708, moment 0.06175694139193699, torque Some(-1.489831347356585e-5)
evaluation 5600: force 0.18904916387976708, moment 0.06175694139193699, torque Some(-1.489831347356585e-5)
evaluation 5800: force 0.19073693132715283, moment 0.0612959310871537, torque Some(-1.5456713282180345e-5)
evaluation 6000: force 0.19073693132715283, moment 0.061294002909210166, torque Some(-1.372309012293016e-5)
evaluation 6200: force 0.19073693132715283, moment 0.0612959310871537, torque Some(-1.372309012293016e-5)
evaluation 6400: force 0.19073693132715283, moment 0.0612959310871537, torque Some(-1.372309012293016e-5)
evaluation 6600: force 0.19073355243720277, moment 0.0612959310871537, torque Some(-1.372309012293016e-5)
evaluation 6800: force 0.19073693132715283, moment 0.0612959310871537, torque Some(-1.372309012293016e-5)
evaluation 7000: force 0.19015438226211673, moment 0.06114452131620962, torque Some(-0.0005000567084355867)
evaluation 7200: force 0.19015438226211673, moment 0.06112047903489137, torque Some(-0.0005000567084355867)
evaluation 7400: force 0.19015438226211673, moment 0.06114452131620962, torque Some(-0.0005000567084355867)
evaluation 7600: force 0.19015438226211673, moment 0.06114452131620962, torque Some(-0.0005000567084355867)
evaluation 7800: force 0.19017716798399653, moment 0.06114452131620962, torque Some(-0.0005000567084355867)
evaluation 8000: force 0.19015438226211673, moment 0.06114452131620962, torque Some(-0.0005000567084355867)
evaluation 8200: force 0.19113970422613172, moment 0.06111285801772448, torque Some(-1.3942121572130262e-5)
evaluation 8400: force 0.19113970422613172, moment 0.06111287959130873, torque Some(-1.3942121572130262e-5)
