evaluation 200: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 400: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 600: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 800: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 1000: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 1200: force 0.17903026665908184, moment 0.047493423958873515, torque Some(-1.3673468524766363e-5)
evaluation 1400: force 0.17903026665908184, moment 0.047493423958873515, torque Some(-1.3673468524766363e-5)
evaluation 1600: force 0.17903026665908184, moment 0.047493423958873515, torque Some(-1.3673468524766363e-5)
evaluation 1800: force 0.17903026665908184, moment 0.047493423958873515, torque Some(-1.3673468524766363e-5)
evaluation 2000: force 0.17902034291768165, moment 0.047493423958873515, torque Some(-1.3673468524766363e-5)
evaluation 2200: force 0.17903026665908184, moment 0.047493423958873515, torque Some(-1.3673468524766363e-5)
evaluation 2400: force 0.17770993777215408, moment 0.04868090169920081, torque Some(-2.2113032822845824e-5)
evaluation 2600: force 0.17770993777215408, moment 0.0486734118617137, torque Some(-2.2113032822845824e-5)
evaluation 2800: force 0.17770993777215408, moment 0.04868090169920081, torque Some(-2.2113032822845824e-5)
evaluation 3000: force 0.17770993777215408, moment 0.04868090169920081, torque Some(-2.2113032822845824e-5)
evaluation 3200: force 0.17770757774160378, moment 0.04868090169920081, torque Some(-2.2113032822845824e-5)
evaluation 3400: force 0.17770993777215408, moment 0.04868090169920081, torque Some(-2.2113032822845824e-5)
evaluation 3600: force 0.17599560537480674, moment 0.05140493137385671, torque Some(-9.37378839172276e-5)
evaluation 3800: force 0.17599560537480674, moment 0.05140228478497244, torque Some(-9.374680463403173e-5)
evaluation 4000: force 0.17599560537480674, moment 0.05140493137385671, torque Some(-9.374680463403173e-5)
evaluation 4200: force 0.17599560537480674, moment 0.05140493137385671, torque Some(-9.374680463403173e-5)
evaluation 4400: force 0.17599560537480674, moment 0.05140493137385671, torque Some(-9.374680463403173e-5)
evaluation 4600: force 0.17599560537480674, moment 0.05140493137385671, torque Some(-9.374680463403173e-5)
evaluation 4800: force 0.1737486447788034, moment 0.05349869267222697, torque Some(-1.847110150587916e-5)
evaluation 5000: force 0.1737486447788034, moment 0.05349869267222697, torque Some(-1.847110150587916e-5)
evaluation 5200: force 0.1737486447788034, moment 0.05349869267222697, torque Some(-1.847110150587916e-5)
evaluation 5400: force 0.1737486447788034, moment 0.05349869267222697, torque Some(-1.847110150587916e-5)
evaluation 5600: force 0.1737486447788034, moment 0.05349869267222697, torque Some(-1.847110150587916e-5)
evaluation 5800: force 0.17178094956123194, moment 0.05519758981292638, torque Some(-1.0994006341524809e-5)
evaluation 6000: force 0.17178094956123194, moment 0.055202326769054004, torque Some(-1.0994006341524809e-5)
evaluation 6200: force 0.17178094956123194, moment 0.05519758981292638, torque Some(-1.0994006341524809e-5)
evaluation 6400: force 0.17178094956123194, moment 0.05519758981292638, torque Some(-1.0994006341524809e-5)
evaluation 6600: force 0.17178111217735428, moment 0.05519758981292638, torque Some(-1.0994006341524809e-5)
evaluation 6800: force 0.17178094956123194, moment 0.05519758981292638, torque Some(-1.0994006341524809e-5)
evaluation 7000: force 0.17078322226568823, moment 0.05553592761265957, torque Some(-0.0005635889522148663)
evaluation 7200: force 0.17078322226568823, moment 0.05556038854248723, torque Some(-0.0005635889522148663)
evaluation 7400: force 0.17078322226568823, moment 0.05553592761265957, torque Some(-0.0005635889522148663)
evaluation 7600: force 0.17078322226568823, moment 0.05553592761265957, torque Some(-0.0005635889522148663)
evaluation 7800: force 0.170759974154992, moment 0.05553592761265957, torque Some(-0.0005635889522148663)
evaluation 8000: force 0.17078322226568823, moment 0.05553592761265957, torque Some(-0.0005635889522148663)
evaluation 8200: force 0.17291106952601007, moment 0.05468755765137083, torque Some(-3.212053383583324e-5)
evaluation 8400: force 0.17291106952601007, moment 0.054685376008799386, torque Some(-3.192131523199748e-5)
evaluation 8600: force 0.17291106952601007, moment 0.05468755765137083, torque Some(-3.192131523199748e-5)
evaluation 8800: force 0.17291106952601007, moment 0.05468755765137083, torque Some(-3.192131523199748e-5)
evaluation 9000: force 0.17291106952601007, moment 0.05468755765137083, torque Some(-3.192131523199748e-5)
evaluation 9200: force 0.17599071013005832, moment 0.055480772503394574, torque Some(-4.18989349282306e-6)
evaluation 9400: force 0.17599071013005832, moment 0.055480772503394574, torque Some(-4.18989349282306e-6)
evaluation 9600: force 0.17599071013005832, moment 0.055480772503394574, torque Some(-4.18989349282306e-6)
evaluation 9800: force 0.17599071013005832, moment 0.055480772503394574, torque Some(-4.18989349282306e-6)
evaluation 10000: force 0.17599071013005832, moment 0.055480772503394574, torque Some(-4.18989349282306e-6)
evaluation 10200: force 0.17599071013005832, moment 0.055480772503394574, torque Some(-4.18989349282306e-6)
evaluation 10400: force 0.17604670656602814, moment 0.05540848552884517, torque Some(-5.353241931072006e-6)
evaluation 10600: force 0.17604670656602814, moment 0.055404680295924144, torque Some(-3.7179539298382025e-6)
evaluation 10800: force 0.17604670656602814, moment 0.05540848552884517, torque Some(-3.7179539298382025e-6)
evaluation 11000: force 0.17604670656602814, moment 0.05540848552884517, torque Some(-3.7179539298382025e-6)
evaluation 11200: force 0.1760441306651027, moment 0.05540848552884517, torque Some(-3.7179539298382025e-6)
evaluation 11400: force 0.17604670656602814, moment 0.05540848552884517, torque Some(-3.7179539298382025e-6)
evaluation 11600: force 0.17655279011344538, moment 0.05558381566755157, torque Some(-2.8509066038184816e-6)
evaluation 11800: force 0.17655279011344538, moment 0.05557586430354058, torque Some(-2.8509066038184816e-6)
evaluation 12000: force 0.17655279011344538, moment 0.05558381566755157, torque Some(-2.8509066038184816e-6)
evaluation 12200: force 0.17655279011344538, moment 0.05558381566755157, torque Some(-2.8509066038184816e-6)
evaluation 12400: force 0.176554219020682, moment 0.05558381566755157, torque Some(-2.8509066038184816e-6)
evaluation 12600: force 0.17655279011344538, moment 0.05558381566755157, torque Some(-2.8509066038184816e-6)
evaluation 12800: force 0.17827975789545636, moment 0.05584274415741489, torque Some(-2.9557864779650167e-6)
evaluation 13000: force 0.17827975789545636, moment 0.055842823232305445, torque Some(-2.9557864779650167e-6)
evaluation 13200: force 0.17827975789545636, moment 0.05584274415741489, torque Some(-2.9557864779650167e-6)
evaluation 13400: force 0.17827975789545636, moment 0.05584274415741489, torque Some(-2.9557864779650167e-6)
evaluation 13600: force 0.17827975789545636, moment 0.05584274415741489, torque Some(-2.9557864779650167e-6)
evaluation 13800: force 0.17731742110206394, moment 0.05595707855352276, torque Some(-0.001508497368112538)
evaluation 14000: force 0.17731742110206394, moment 0.05595707855352276, torque Some(-0.001508497368112538)
evaluation 14200: force 0.17731742110206394, moment 0.05595707855352276, torque Some(-0.001508497368112538)
evaluation 14400: force 0.17731742110206394, moment 0.05595707855352276, torque Some(-0.001508497368112538)
evaluation 14600: force 0.17731742110206394, moment 0.05595707855352276, torque Some(-0.001508497368112538)
evaluation 14800: force 0.17731742110206394, moment 0.05595707855352276, torque Some(-0.001508497368112538)
