evaluation 200: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 400: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 600: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 800: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 1000: force 0.18016305428590326, moment 0.05134343607244227, torque Some(-5.47955109420073e-6)
evaluation 1200: force 0.22280422375256492, moment 0.05248874328354282, torque Some(-3.7589258503167855e-5)
evaluation 1400: force 0.22280422375256492, moment 0.05248874328354282, torque Some(-3.7589258503167855e-5)
evaluation 1600: force 0.22280422375256492, moment 0.05248874328354282, torque Some(-3.7589258503167855e-5)
evaluation 1800: force 0.22280422375256492, moment 0.05248874328354282, torque Some(-3.7589258503167855e-5)
evaluation 2000: force 0.22280422375256492, moment 0.05248874328354282, torque Some(-3.7589258503167855e-5)
evaluation 2200: force 0.22280422375256492, moment 0.05248874328354282, torque Some(-3.7589258503167855e-5)
evaluation 2400: force 0.17577328562838587, moment 0.04358803044856395, torque Some(-4.386487306007325e-5)
evaluation 2600: force 0.17577328562838587, moment 0.043580549461491466, torque Some(-4.386487306007325e-5)
evaluation 2800: force 0.17577328562838587, moment 0.04358803044856395, torque Some(-4.386487306007325e-5)
evaluation 3000: force 0.17577328562838587, moment 0.04358803044856395, torque Some(-4.386487306007325e-5)
evaluation 3200: force 0.17577091377792978, moment 0.04358803044856395, torque Some(-4.386487306007325e-5)
evaluation 3400: force 0.17577328562838587, moment 0.04358803044856395, torque Some(-4.386487306007325e-5)
evaluation 3600: force 0.1734232259155453, moment 0.04640178074429994, torque Some(-6.365141420047737e-5)
evaluation 3800: force 0.1734232259155453, moment 0.04639913840953206, torque Some(-6.366033526819526e-5)
evaluation 4000: force 0.1734232259155453, moment 0.04640178074429994, torque Some(-6.366033526819526e-5)
evaluation 4200: force 0.1734232259155453, moment 0.04640178074429994, torque Some(-6.366033526819526e-5)
evaluation 4400: force 0.1734232259155453, moment 0.04640178074429994, torque Some(-6.366033526819526e-5)
evaluation 4600: force 0.1734232259155453, moment 0.04640178074429994, torque Some(-6.366033526819526e-5)
evaluation 4800: force 0.1686873338273466, moment 0.0528442302177121, torque Some(-4.7658289129115516e-5)
evaluation 5000: force 0.1686873338273466, moment 0.0528442302177121, torque Some(-4.7658289129115516e-5)
evaluation 5200: force 0.1686873338273466, moment 0.0528442302177121, torque Some(-4.7658289129115516e-5)
evaluation 5400: force 0.1686873338273466, moment 0.0528442302177121, torque Some(-4.7658289129115516e-5)
evaluation 5600: force 0.1686873338273466, moment 0.0528442302177121, torque Some(-4.7658289129115516e-5)
evaluation 5800: force 0.16138504178624022, moment 0.059012672752521936, torque Some(-0.0001044362760488915)
evaluation 6000: force 0.16138504178624022, moment 0.05901708454453827, torque Some(-0.0001044362760488915)
evaluation 6200: force 0.16138504178624022, moment 0.059012672752521936, torque Some(-0.0001044362760488915)
evaluation 6400: force 0.16138504178624022, moment 0.059012672752521936, torque Some(-0.0001044362760488915)
evaluation 6600: force 0.16138520252708974, moment 0.059012672752521936, torque Some(-0.0001044362760488915)
evaluation 6800: force 0.16138504178624022, moment 0.059012672752521936, torque Some(-0.0001044362760488915)
evaluation 7000: force 0.15456276354958748, moment 0.057471938265470895, torque Some(-0.00016459157526726997)
evaluation 7200: force 0.15456276354958748, moment 0.05749645388336597, torque Some(-0.00016459157526726997)
evaluation 7400: force 0.15456276354958748, moment 0.057471938265470895, torque Some(-0.00016459157526726997)
evaluation 7600: force 0.15456276354958748, moment 0.057471938265470895, torque Some(-0.00016459157526726997)
evaluation 7800: force 0.1545396552573304, moment 0.057471938265470895, torque Some(-0.00016459157526726997)
evaluation 8000: force 0.15456276354958748, moment 0.057471938265470895, torque Some(-0.00016459157526726997)
evaluation 8200: force 0.15302410904813712, moment 0.05750003088662799, torque Some(-6.34700144497291e-5)
evaluation 8400: force 0.15302410904813712, moment 0.05750221279821661, torque Some(-6.366923650524825e-5)
evaluation 8600: force 0.15302410904813712, moment 0.05750003088662799, torque Some(-6.366923650524825e-5)
evaluation 8800: force 0.15302410904813712, moment 0.05750003088662799, torque Some(-6.366923650524825e-5)
evaluation 9000: force 0.15302410904813712, moment 0.05750003088662799, torque Some(-6.366923650524825e-5)
evaluation 9200: force 0.15207558370723548, moment 0.057530576423599114, torque Some(-9.142068740919385e-6)
evaluation 9400: force 0.15207558370723548, moment 0.057530576423599114, torque Some(-9.142068740919385e-6)
evaluation 9600: force 0.15207558370723548, moment 0.057530576423599114, torque Some(-9.142068740919385e-6)
evaluation 9800: force 0.15207558370723548, moment 0.057530576423599114, torque Some(-9.142068740919385e-6)
evaluation 10000: force 0.15207535480000275, moment 0.057530576423599114, torque Some(-9.142068740919385e-6)
evaluation 10200: force 0.15207558370723548, moment 0.057530576423599114, torque Some(-9.142068740919385e-6)
evaluation 10400: force 0.1571059338265533, moment 0.05403164532396899, torque Some(-5.6955615840015295e-6)
evaluation 10600: force 0.1571059338265533, moment 0.05402552234164356, torque Some(-5.944107116018227e-6)
evaluation 10800: force 0.1571059338265533, moment 0.05403164532396899, torque Some(-5.944107116018227e-6)
evaluation 11000: force 0.1571059338265533, moment 0.05403164532396899, torque Some(-5.944107116018227e-6)
evaluation 11200: force 0.15711233573701017, moment 0.05403164532396899, torque Some(-5.944107116018227e-6)
evaluation 11400: force 0.1571059338265533, moment 0.05403164532396899, torque Some(-5.944107116018227e-6)
evaluation 11600: force 0.1633744229025646, moment 0.0541204526948663, torque Some(-8.46117210784314e-6)
evaluation 11800: force 0.1633744229025646, moment 0.05412840773453974, torque Some(-8.46117210784314e-6)
evaluation 12000: force 0.1633744229025646, moment 0.0541204526948663, torque Some(-8.46117210784314e-6)
evaluation 12200: force 0.1633744229025646, moment 0.0541204526948663, torque Some(-8.46117210784314e-6)
evaluation 12400: force 0.16337316726237877, moment 0.0541204526948663, torque Some(-8.46117210784314e-6)
evaluation 12600: force 0.1633744229025646, moment 0.0541204526948663, torque Some(-8.46117210784314e-6)
evaluation 12800: force 0.1677877485536811, moment 0.05377715655649132, torque Some(-8.608705894141977e-6)
evaluation 13000: force 0.1677877485536811, moment 0.05377715728070869, torque Some(-8.608705894141977e-6)
evaluation 13200: force 0.1677877485536811, moment 0.05377715655649132, torque Some(-8.608705894141977e-6)
evaluation 13400: force 0.1677877485536811, moment 0.05377715655649132, torque Some(-8.608705894141977e-6)
evaluation 13600: force 0.1677877485536811, moment 0.05377715655649132, torque Some(-8.608705894141977e-6)
evaluation 13800: force 0.17279429065366336, moment 0.05321085624758628, torque Some(-7.834783204208051e-6)
evaluation 14000: force 0.17279429065366336, moment 0.05321085624758628, torque Some(-7.834783204208051e-6)
evaluation 14200: force 0.17279429065366336, moment 0.05321085624758628, torque Some(-7.834783204208051e-6)
evaluation 14400: force 0.17279429065366336, moment 0.05321085624758628, torque Some(-7.834783204208051e-6)
evaluation 14600: force 0.17279429065366336, moment 0.05321085624758628, torque Some(-7.834783204208051e-6)
evaluation 14800: force 0.17279429065366336, moment 0.05321085624758628, torque Some(-7.834783204208051e-6)
