smoothing 0.00001 evaluation 20: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 40: force 2.7713, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 60: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 80: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 100: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 120: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 140: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 160: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 180: force 2.7712, moment 0.8521, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 200: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 220: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 240: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 260: force 2.7712, moment 0.8522, torque Some(-0.002683388230738215)
smoothing 0.00001 evaluation 280: force 2.7712, moment 0.8522, torque Some(-0.002688022148724656)
smoothing 0.00001 evaluation 300: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 320: force 2.7712, moment 0.8522, torque Some(-0.0023817859224131155)
smoothing 0.00001 evaluation 340: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 360: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 380: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
smoothing 0.00001 evaluation 400: force 2.7712, moment 0.8522, torque Some(-0.0026820150789286235)
