smoothing 0.003 evaluation 20: force 10.7208, moment 4.6975, torque Some(1.3076865577975778)
smoothing 0.003 evaluation 40: force 10.7208, moment 4.6975, torque Some(1.3076865577975778)
smoothing 0.003 evaluation 60: force 10.7208, moment 4.6975, torque Some(1.3076865577975778)
smoothing 0.003 evaluation 80: force 10.7208, moment 4.6975, torque Some(1.3076865569693856)
smoothing 0.003 evaluation 100: force 10.7208, moment 4.6975, torque Some(1.3076865577975778)
smoothing 0.003 evaluation 120: force 10.7208, moment 4.6975, torque Some(1.3076885058114616)
smoothing 0.003 evaluation 140: force 10.7208, moment 4.6975, torque Some(1.3076865577975778)
smoothing 0.003 evaluation 160: force 10.7208, moment 4.6975, torque Some(1.3076865577975778)
smoothing 0.003 evaluation 180: force 10.7208, moment 4.6975, torque Some(1.3076865485804268)
smoothing 0.003 evaluation 200: force 10.7208, moment 4.6975, torque Some(1.3076865577975778)
smoothing 0.003 evaluation 220: force 10.7208, moment 4.6975, torque Some(1.3076865577975778)
smoothing 0.003 evaluation 240: force 10.7208, moment 4.6975, torque Some(1.3076865577975778)
smoothing 0.003 evaluation 260: force 10.7208, moment 4.6975, torque Some(1.3076865577975778)
smoothing 0.003 evaluation 280: force 10.7208, moment 4.6975, torque Some(1.3076865577975778)
smoothing 0.003 evaluation 300: force 8.1365, moment 1.4346, torque Some(1.2635350232433333)
smoothing 0.003 evaluation 320: force 8.1365, moment 1.4346, torque Some(1.2635350232433333)
smoothing 0.003 evaluation 340: force 8.1365, moment 1.4346, torque Some(1.2635350232433333)
smoothing 0.003 evaluation 360: force 8.1365, moment 1.4346, torque Some(1.2635350232433333)
smoothing 0.003 evaluation 380: force 8.1365, moment 1.4345, torque Some(1.2635350232433333)
smoothing 0.003 evaluation 400: force 8.1365, moment 1.4345, torque Some(1.2635349953128658)
smoothing 0.003 evaluation 420: force 8.1365, moment 1.4345, torque Some(1.2635350232433333)
smoothing 0.003 evaluation 440: force 8.1365, moment 1.4346, torque Some(1.263539569048409)
smoothing 0.003 evaluation 460: force 8.1365, moment 1.4346, torque Some(1.263531935454828)
smoothing 0.003 evaluation 480: force 8.1365, moment 1.4346, torque Some(1.2635350097045357)
smoothing 0.003 evaluation 500: force 8.1365, moment 1.4346, torque Some(1.2635350232433333)
smoothing 0.003 evaluation 520: force 8.1365, moment 1.4346, torque Some(1.2635350232433333)
smoothing 0.003 evaluation 540: force 8.1365, moment 1.4346, torque Some(1.2635350232433333)
smoothing 0.003 evaluation 560: force 8.1365, moment 1.4346, torque Some(1.2635350232433333)
smoothing 0.003 evaluation 580: force 8.1365, moment 1.4346, torque Some(1.2635350232433333)
smoothing 0.003 evaluation 600: force 7.2897, moment 1.2721, torque Some(0.9792445132220754)
smoothing 0.003 evaluation 620: force 7.2897, moment 1.2721, torque Some(0.9792442202078138)
smoothing 0.003 evaluation 640: force 7.2897, moment 1.2721, torque Some(0.9792442202078138)
smoothing 0.003 evaluation 660: force 7.2897, moment 1.2721, torque Some(0.9792442202078138)
smoothing 0.003 evaluation 680: force 7.2897, moment 1.2721, torque Some(0.9792442202078138)
smoothing 0.003 evaluation 700: force 7.2897, moment 1.2721, torque Some(0.9792442202078138)
smoothing 0.003 evaluation 720: force 7.2897, moment 1.2721, torque Some(0.9792442202078138)
smoothing 0.003 evaluation 740: force 7.2897, moment 1.2721, torque Some(0.9792442202078138)
smoothing 0.003 evaluation 760: force 7.2897, moment 1.2721, torque Some(0.9792442202078138)
smoothing 0.003 evaluation 780: force 7.2897, moment 1.2721, torque Some(0.9792442202078138)
smoothing 0.003 evaluation 800: force 7.2897, moment 1.2721, torque Some(0.9792441249878251)
smoothing 0.003 evaluation 820: force 7.2897, moment 1.2721, torque Some(0.9792442202078138)
smoothing 0.003 evaluation 840: force 7.2897, moment 1.2721, torque Some(0.9792450879790561)
smoothing 0.003 evaluation 860: force 7.2897, moment 1.2721, torque Some(0.9792442202078138)
smoothing 0.003 evaluation 880: force 6.9803, moment 1.0134, torque Some(0.13481437946890407)
smoothing 0.003 evaluation 900: force 6.9803, moment 1.0134, torque Some(0.13481506515275865)
smoothing 0.003 evaluation 920: force 6.9803, moment 1.0134, torque Some(0.13481506515275865)
smoothing 0.003 evaluation 940: force 6.9803, moment 1.0134, torque Some(0.13481506515275865)
smoothing 0.003 evaluation 960: force 6.9803, moment 1.0134, torque Some(0.13481240969363983)
smoothing 0.003 evaluation 980: force 6.9803, moment 1.0134, torque Some(0.13481506515275865)
smoothing 0.003 evaluation 1000: force 6.9803, moment 1.0134, torque Some(0.13481506515275865)
smoothing 0.003 evaluation 1020: force 6.9803, moment 1.0134, torque Some(0.13481506515275865)
smoothing 0.003 evaluation 1040: force 6.9803, moment 1.0134, torque Some(0.13481506515275865)
smoothing 0.003 evaluation 1060: force 6.9803, moment 1.0134, torque Some(0.13481506515275865)
smoothing 0.003 evaluation 1080: force 6.9803, moment 1.0134, torque Some(0.13481506515275865)
smoothing 0.003 evaluation 1100: force 6.9803, moment 1.0134, torque Some(0.13481506515275865)
smoothing 0.003 evaluation 1120: force 6.9803, moment 1.0134, torque Some(0.13481506515275865)
smoothing 0.003 evaluation 1140: force 6.9803, moment 1.0134, torque Some(0.13481506515275865)
