smoothing 0.003 evaluation 20: force 19.9930, moment 4.4976, torque Some(0.3996479739606684)
smoothing 0.003 evaluation 40: force 19.9930, moment 4.4976, torque Some(0.39964822572225356)
smoothing 0.003 evaluation 60: force 19.9930, moment 4.4976, torque Some(0.3996479739606684)
smoothing 0.003 evaluation 80: force 19.9930, moment 4.4975, torque Some(0.3996476608867494)
smoothing 0.003 evaluation 100: force 19.9930, moment 4.4975, torque Some(0.3996479739606684)
smoothing 0.003 evaluation 120: force 19.9930, moment 4.4975, torque Some(0.3996501621374229)
smoothing 0.003 evaluation 140: force 19.9930, moment 4.4975, torque Some(0.3996479739606684)
smoothing 0.003 evaluation 160: force 19.9930, moment 4.4976, torque Some(0.3996479739606684)
smoothing 0.003 evaluation 180: force 19.9930, moment 4.4976, torque Some(0.3996479739606684)
smoothing 0.003 evaluation 200: force 19.9930, moment 4.4976, torque Some(0.3996479739606684)
smoothing 0.003 evaluation 220: force 19.9930, moment 4.4976, torque Some(0.3996479739606684)
smoothing 0.003 evaluation 240: force 19.9930, moment 4.4976, torque Some(0.3996479739606684)
smoothing 0.003 evaluation 260: force 19.9930, moment 4.4976, torque Some(0.3996479739606684)
smoothing 0.003 evaluation 280: force 19.9930, moment 4.4976, torque Some(0.3996479739606684)
smoothing 0.003 evaluation 300: force 11.8204, moment 3.5249, torque Some(-0.08806406520514432)
smoothing 0.003 evaluation 320: force 11.8204, moment 3.5249, torque Some(-0.08806406520514432)
smoothing 0.003 evaluation 340: force 11.8204, moment 3.5249, torque Some(-0.08806406520514432)
smoothing 0.003 evaluation 360: force 11.8204, moment 3.5249, torque Some(-0.08806406520514432)
smoothing 0.003 evaluation 380: force 11.8204, moment 3.5249, torque Some(-0.08806406520514432)
smoothing 0.003 evaluation 400: force 11.8204, moment 3.5249, torque Some(-0.08806406520514432)
smoothing 0.003 evaluation 420: force 11.8204, moment 3.5249, torque Some(-0.08806406520514432)
smoothing 0.003 evaluation 440: force 11.8204, moment 3.5249, torque Some(-0.08806406520514432)
smoothing 0.003 evaluation 460: force 11.8204, moment 3.5249, torque Some(-0.08806406520514432)
smoothing 0.003 evaluation 480: force 11.8204, moment 3.5249, torque Some(-0.08806406520514432)
smoothing 0.003 evaluation 500: force 11.8204, moment 3.5249, torque Some(-0.08806406520514432)
smoothing 0.003 evaluation 520: force 11.8205, moment 3.5249, torque Some(-0.08806406520514432)
smoothing 0.003 evaluation 540: force 11.8204, moment 3.5249, torque Some(-0.08806423027342647)
smoothing 0.003 evaluation 560: force 11.8205, moment 3.5249, torque Some(-0.08806410277941779)
smoothing 0.003 evaluation 580: force 18.6327, moment 4.2044, torque Some(-0.9925610707952479)
smoothing 0.003 evaluation 600: force 7.5871, moment 2.2794, torque Some(-0.09602472825020891)
smoothing 0.003 evaluation 620: force 7.5871, moment 2.2794, torque Some(-0.09602601723464255)
smoothing 0.003 evaluation 640: force 7.5871, moment 2.2794, torque Some(-0.09602617327688323)
smoothing 0.003 evaluation 660: force 7.5871, moment 2.2794, torque Some(-0.09602600160119468)
smoothing 0.003 evaluation 680: force 7.5871, moment 2.2794, torque Some(-0.09602617327688323)
smoothing 0.003 evaluation 700: force 7.5871, moment 2.2794, torque Some(-0.09602617327688323)
smoothing 0.003 evaluation 720: force 7.5871, moment 2.2794, torque Some(-0.09602617327688323)
smoothing 0.003 evaluation 740: force 7.5871, moment 2.2794, torque Some(-0.09602617327688323)
smoothing 0.003 evaluation 760: force 7.5871, moment 2.2794, torque Some(-0.09602617327688323)
smoothing 0.003 evaluation 780: force 7.5871, moment 2.2794, torque Some(-0.09602617327688323)
smoothing 0.003 evaluation 800: force 7.5871, moment 2.2794, torque Some(-0.09602617327688323)
smoothing 0.003 evaluation 820: force 7.5871, moment 2.2794, torque Some(-0.09602617327688323)
smoothing 0.003 evaluation 840: force 7.5871, moment 2.2794, torque Some(-0.09602570100886298)
smoothing 0.003 evaluation 860: force 7.5871, moment 2.2794, torque Some(-0.09602617327688323)
smoothing 0.003 evaluation 880: force 10.7133, moment 4.0789, torque Some(-0.03324552673308634)
smoothing 0.003 evaluation 900: force 10.7134, moment 4.0789, torque Some(-0.03324552673308634)
smoothing 0.003 evaluation 920: force 10.7134, moment 4.0789, torque Some(-0.03324552673308634)
smoothing 0.003 evaluation 940: force 10.7134, moment 4.0789, torque Some(-0.03324552673308634)
smoothing 0.003 evaluation 960: force 10.7134, moment 4.0789, torque Some(-0.03324552673308634)
smoothing 0.003 evaluation 980: force 10.7134, moment 4.0789, torque Some(-0.03324556447699307)
smoothing 0.003 evaluation 1000: force 10.7134, moment 4.0789, torque Some(-0.033245495724954055)
smoothing 0.003 evaluation 1020: force 10.7134, moment 4.0789, torque Some(-0.03324551560582278)
smoothing 0.003 evaluation 1040: force 10.7134, moment 4.0789, torque Some(-0.033245254870000136)
smoothing 0.003 evaluation 1060: force 10.7134, moment 4.0789, torque Some(-0.03324552673308634)
smoothing 0.003 evaluation 1080: force 10.7134, moment 4.0789, torque Some(-0.03324552673308634)
smoothing 0.003 evaluation 1100: force 10.7134, moment 4.0789, torque Some(-0.03324552673308634)
smoothing 0.003 evaluation 1120: force 10.7135, moment 4.0789, torque Some(-0.03324552673308634)
smoothing 0.003 evaluation 1140: force 10.7134, moment 4.0789, torque Some(-0.03324552673308634)
smoothing 0.003 evaluation 1160: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1180: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1200: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1220: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1240: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1260: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1280: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1300: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1320: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1340: force 5.7260, moment 1.6750, torque Some(-0.04000021320494347)
smoothing 0.003 evaluation 1360: force 5.7260, moment 1.6750, torque Some(-0.040000270747552934)
smoothing 0.003 evaluation 1380: force 5.7260, moment 1.6750, torque Some(-0.040000325772175806)
