smoothing 0.003 evaluation 20: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 40: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 60: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 80: force 8.2552, moment 3.5985, torque Some(1.543010297272979)
smoothing 0.003 evaluation 100: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 120: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 140: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 160: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 180: force 8.2552, moment 3.5985, torque Some(1.5430104252583547)
smoothing 0.003 evaluation 200: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 220: force 8.2552, moment 3.5985, torque Some(1.5430104450655637)
smoothing 0.003 evaluation 240: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 260: force 8.2552, moment 3.5985, torque Some(1.5430102972729782)
smoothing 0.003 evaluation 280: force 8.2552, moment 3.5985, torque Some(1.5430104450655635)
smoothing 0.003 evaluation 300: force 6.8544, moment 0.6296, torque Some(1.3988191965001855)
smoothing 0.003 evaluation 320: force 6.8544, moment 0.6296, torque Some(1.3988191965001855)
smoothing 0.003 evaluation 340: force 6.8544, moment 0.6296, torque Some(1.3988191965001855)
smoothing 0.003 evaluation 360: force 6.8544, moment 0.6296, torque Some(1.3988191965001855)
smoothing 0.003 evaluation 380: force 6.8544, moment 0.6296, torque Some(1.3988191965001855)
smoothing 0.003 evaluation 400: force 6.8544, moment 0.6296, torque Some(1.3988191965001855)
smoothing 0.003 evaluation 420: force 6.8544, moment 0.6296, torque Some(1.3988191965001855)
smoothing 0.003 evaluation 440: force 6.8544, moment 0.6296, torque Some(1.3988191965001855)
