smoothing 0.00001 evaluation 20: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 40: force 0.0594, moment 0.0264, torque Some(0.10347308271776301)
smoothing 0.00001 evaluation 60: force 0.0743, moment 0.0328, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 80: force 0.0594, moment 0.0520, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 100: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 120: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 140: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 160: force 0.0595, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 180: force 0.0594, moment 0.0263, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 200: force 0.0594, moment 0.0263, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 220: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 240: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 260: force 0.0594, moment 0.0343, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 280: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 300: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 320: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 340: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 360: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 380: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 400: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 420: force 0.0594, moment 0.0264, torque Some(0.10347370411696843)
smoothing 0.00001 evaluation 440: force 0.0744, moment 0.0136, torque Some(0.10656249451295352)
smoothing 0.00001 evaluation 460: force 0.0401, moment 0.0136, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 480: force 0.0567, moment 0.0677, torque Some(0.09911823055309688)
smoothing 0.00001 evaluation 500: force 0.0401, moment 0.0136, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 520: force 0.0401, moment 0.0136, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 540: force 0.0401, moment 0.0136, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 560: force 0.0543, moment 0.0141, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 580: force 0.0401, moment 0.0136, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 600: force 0.0401, moment 0.0136, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 620: force 0.0689, moment 0.0136, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 640: force 0.0401, moment 0.0136, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 660: force 0.0401, moment 0.0136, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 680: force 0.0926, moment 0.0303, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 700: force 0.0401, moment 0.0136, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 720: force 0.0401, moment 0.0136, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 740: force 0.0522, moment 0.0136, torque Some(0.10654886719908419)
smoothing 0.00001 evaluation 760: force 0.0371, moment 0.0131, torque Some(0.10654886719908419)
