smoothing 0.00001 evaluation 20: force 2.1167, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 40: force 2.1170, moment 1.9022, torque Some(-0.5536434577656968)
smoothing 0.00001 evaluation 60: force 2.1374, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 80: force 2.1169, moment 1.9022, torque Some(-0.5529520516493884)
smoothing 0.00001 evaluation 100: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 120: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 140: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 160: force 2.1169, moment 1.8977, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 180: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 200: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 220: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 240: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 260: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 280: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 300: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 320: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 340: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 360: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 380: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 400: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 420: force 2.1169, moment 1.9022, torque Some(-0.5536474207450557)
smoothing 0.00001 evaluation 440: force 2.1737, moment 1.7734, torque Some(-0.5577448640732918)
smoothing 0.00001 evaluation 460: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 480: force 2.1737, moment 1.7734, torque Some(-0.5577923854559808)
smoothing 0.00001 evaluation 500: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 520: force 2.1737, moment 1.7734, torque Some(-0.5511368362438922)
smoothing 0.00001 evaluation 540: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 560: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 580: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 600: force 2.1735, moment 1.7802, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 620: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 640: force 2.2114, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 660: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 680: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 700: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 720: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 740: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 760: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 780: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 800: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 820: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 840: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 860: force 2.1737, moment 1.7734, torque Some(-0.5577447544583871)
smoothing 0.00001 evaluation 880: force 2.0982, moment 1.7636, torque Some(-0.5585401975209641)
smoothing 0.00001 evaluation 900: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 920: force 2.0978, moment 1.7636, torque Some(-0.558538264653339)
smoothing 0.00001 evaluation 940: force 2.0974, moment 1.7636, torque Some(-0.5585391397538426)
smoothing 0.00001 evaluation 960: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 980: force 2.0981, moment 1.7636, torque Some(-0.566916828165605)
smoothing 0.00001 evaluation 1000: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1020: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1040: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1060: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1080: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1100: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1120: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1140: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1160: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1180: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1200: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1220: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1240: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1260: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1280: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1300: force 2.0981, moment 1.7636, torque Some(-0.5585401029358217)
smoothing 0.00001 evaluation 1320: force 2.0986, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1340: force 2.0987, moment 1.7597, torque Some(-0.558750281447278)
smoothing 0.00001 evaluation 1360: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1380: force 2.0988, moment 1.7597, torque Some(-0.5587528507981869)
smoothing 0.00001 evaluation 1400: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1420: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1440: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1460: force 2.0988, moment 1.7600, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1480: force 2.0988, moment 1.7532, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1500: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1520: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1540: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1560: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1580: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1600: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1620: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1640: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1660: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1680: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1700: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1720: force 2.0988, moment 1.7597, torque Some(-0.5587491984582635)
smoothing 0.00001 evaluation 1740: force 2.1060, moment 1.7489, torque Some(-0.559427769620771)
smoothing 0.00001 evaluation 1760: force 2.1038, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 1780: force 2.1005, moment 1.7489, torque Some(-0.5593802168640205)
smoothing 0.00001 evaluation 1800: force 2.1042, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 1820: force 2.1041, moment 1.7489, torque Some(-0.5660368099354525)
smoothing 0.00001 evaluation 1840: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 1860: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 1880: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 1900: force 2.1041, moment 1.7421, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 1920: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 1940: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
