smoothing 0.003 evaluation 20: force 31.7378, moment 5.0592, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 40: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 60: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 80: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 100: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 120: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 140: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 160: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 180: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 200: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 220: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 240: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 260: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 280: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 300: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 320: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 340: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 360: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 380: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 400: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 420: force 31.7377, moment 5.0593, torque Some(1.5371863630778115)
smoothing 0.003 evaluation 440: force 18.4339, moment 6.5980, torque Some(0.9323230026210783)
smoothing 0.003 evaluation 460: force 18.4339, moment 6.5980, torque Some(0.9323230026210783)
smoothing 0.003 evaluation 480: force 18.4339, moment 6.5980, torque Some(0.9323230026210783)
smoothing 0.003 evaluation 500: force 18.4339, moment 6.5980, torque Some(0.9323230026210783)
