smoothing 0.003 evaluation 20: force 7.6917, moment 2.9923, torque Some(1.5535355768380252)
smoothing 0.003 evaluation 40: force 7.6917, moment 2.9922, torque Some(1.5535317978535979)
smoothing 0.003 evaluation 60: force 7.6922, moment 2.9924, torque Some(1.5535355768380252)
smoothing 0.003 evaluation 80: force 7.6917, moment 2.9923, torque Some(1.5534924264842285)
smoothing 0.003 evaluation 100: force 7.6920, moment 2.9924, torque Some(1.5535355768380252)
smoothing 0.003 evaluation 120: force 7.6917, moment 2.9923, torque Some(1.5535284311811652)
smoothing 0.003 evaluation 140: force 7.6917, moment 2.9923, torque Some(1.5535355768380252)
smoothing 0.003 evaluation 160: force 7.6921, moment 2.9922, torque Some(1.5535051343093638)
smoothing 0.003 evaluation 180: force 7.6918, moment 2.9924, torque Some(1.5535355768380252)
smoothing 0.003 evaluation 200: force 7.6917, moment 2.9923, torque Some(1.5535355768380252)
smoothing 0.003 evaluation 220: force 7.6917, moment 2.9922, torque Some(1.5535317978535979)
smoothing 0.003 evaluation 240: force 7.6922, moment 2.9924, torque Some(1.5535355768380252)
smoothing 0.003 evaluation 260: force 7.6917, moment 2.9923, torque Some(1.5534924264842291)
smoothing 0.003 evaluation 280: force 7.6920, moment 2.9924, torque Some(1.5535355768380252)
smoothing 0.003 evaluation 300: force 7.6917, moment 2.9923, torque Some(1.5535284311811648)
smoothing 0.003 evaluation 320: force 7.6917, moment 2.9923, torque Some(1.5535355768380252)
smoothing 0.003 evaluation 340: force 7.6921, moment 2.9922, torque Some(1.5535051343093633)
smoothing 0.003 evaluation 360: force 7.6918, moment 2.9924, torque Some(1.5535355768380252)
smoothing 0.003 evaluation 380: force 7.6917, moment 2.9923, torque Some(1.5535355768380252)
smoothing 0.003 evaluation 400: force 7.6917, moment 2.9922, torque Some(1.5535317978535976)
smoothing 0.003 evaluation 420: force 7.6917, moment 2.9922, torque Some(1.5535355768380252)
smoothing 0.003 evaluation 440: force 2.3116, moment 0.6428, torque Some(1.5408012998528926)
smoothing 0.003 evaluation 460: force 2.3116, moment 0.6428, torque Some(1.5408012998528926)
smoothing 0.003 evaluation 480: force 2.3116, moment 0.6428, torque Some(1.5408012998528926)
smoothing 0.003 evaluation 500: force 2.3116, moment 0.6428, torque Some(1.5408012998528926)
