smoothing 0.00001 evaluation 20: force 3.3454, moment 1.2481, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 40: force 3.3495, moment 1.2503, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 60: force 3.3443, moment 1.2474, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 80: force 3.3453, moment 1.2480, torque Some(-1.2087882259592675e-5)
smoothing 0.00001 evaluation 100: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 120: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 140: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 160: force 3.3453, moment 1.2480, torque Some(-2.386990449387838e-5)
smoothing 0.00001 evaluation 180: force 3.3453, moment 1.2480, torque Some(-1.0152508503225022e-5)
smoothing 0.00001 evaluation 200: force 3.3453, moment 1.2480, torque Some(-1.7481988603185172e-5)
smoothing 0.00001 evaluation 220: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 240: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 260: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 280: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 300: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 320: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 340: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 360: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 380: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 400: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 420: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 440: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 460: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 480: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 500: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 520: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 540: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 560: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 580: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 600: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 620: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 640: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 660: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
smoothing 0.00001 evaluation 680: force 3.3453, moment 1.2480, torque Some(-1.7475687447809918e-5)
