evaluation 200: force 0.20188083290833952, moment 0.11705681079685293, torque Some(0.22773685573959376)
evaluation 400: force 0.20188083290833952, moment 0.11705681079685293, torque Some(0.22773685573959376)
evaluation 600: force 0.20188083290833952, moment 0.11705681079685293, torque Some(0.22773685573959376)
evaluation 800: force 0.20188083290833952, moment 0.11705681079685293, torque Some(0.22773685573959376)
evaluation 1000: force 0.20188174688511099, moment 0.11705545756815933, torque Some(0.22773685573959376)
evaluation 1200: force 0.19867519526007216, moment 0.1165340046552694, torque Some(0.22719012632951627)
evaluation 1400: force 0.19867519526007216, moment 0.1165340046552694, torque Some(0.22719012632951627)
evaluation 1600: force 0.19867519526007216, moment 0.1165340046552694, torque Some(0.22719012632951627)
evaluation 1800: force 0.19867519526007216, moment 0.1165340046552694, torque Some(0.22719012632951627)
evaluation 2000: force 0.19867519526007216, moment 0.1165340046552694, torque Some(0.22719012632951627)
evaluation 2200: force 0.19867519526007216, moment 0.1165340046552694, torque Some(0.22719012632951627)
evaluation 2400: force 0.19782226856895804, moment 0.11613975367648266, torque Some(0.22705306912280732)
evaluation 2600: force 0.19782226856895804, moment 0.11613975367648266, torque Some(0.227053067688219)
evaluation 2800: force 0.19782226856895804, moment 0.11613975367648266, torque Some(0.22705306912280732)
evaluation 3000: force 0.19782226856895804, moment 0.11613975367648266, torque Some(0.22705306912280732)
evaluation 3200: force 0.19782230349050062, moment 0.11613961778005788, torque Some(0.22705306912280732)
evaluation 3400: force 0.19782226856895804, moment 0.11613975367648266, torque Some(0.22705306912280732)
evaluation 3600: force 0.1952689563120972, moment 0.11531705690362126, torque Some(0.22666716017767702)
evaluation 3800: force 0.1952689563120972, moment 0.11531705690362126, torque Some(0.22666716017767702)
evaluation 4000: force 0.1952689563120972, moment 0.11531705690362126, torque Some(0.22666716017767702)
evaluation 4200: force 0.1952689563120972, moment 0.11531705690362126, torque Some(0.22666716017767702)
evaluation 4400: force 0.19525724859503876, moment 0.11532214833102794, torque Some(0.22666716017767702)
evaluation 4600: force 0.1952689563120972, moment 0.11531705690362126, torque Some(0.22666716017767702)
evaluation 4800: force 0.18806478162935636, moment 0.1128122313462279, torque Some(0.2257667200681275)
evaluation 5000: force 0.18806478162935636, moment 0.1128122313462279, torque Some(0.2257667200681275)
evaluation 5200: force 0.18806478162935636, moment 0.1128122313462279, torque Some(0.2257667200681275)
evaluation 5400: force 0.18806478162935636, moment 0.1128122313462279, torque Some(0.2257667200681275)
evaluation 5600: force 0.1880656913968659, moment 0.1128108906128354, torque Some(0.2257667200681275)
evaluation 5800: force 0.17822019963083005, moment 0.11064602948460814, torque Some(0.22540188154534152)
evaluation 6000: force 0.17822019963083005, moment 0.11064602948460814, torque Some(0.2254018870741146)
evaluation 6200: force 0.17822019963083005, moment 0.11064602948460814, torque Some(0.22540188154534152)
evaluation 6400: force 0.17822019963083005, moment 0.11064602948460814, torque Some(0.22540188154534152)
evaluation 6600: force 0.17822019963083005, moment 0.11064602948460814, torque Some(0.22540188154534152)
evaluation 6800: force 0.17822019963083005, moment 0.11064602948460814, torque Some(0.22540188154534152)
evaluation 7000: force 0.1764701463710848, moment 0.10858366462621247, torque Some(0.2250453039390804)
evaluation 7200: force 0.1764701463710848, moment 0.10858366462621247, torque Some(0.2250453039390804)
evaluation 7400: force 0.1764701463710848, moment 0.10858366462621247, torque Some(0.2250453039390804)
evaluation 7600: force 0.1764701463710848, moment 0.10858366462621247, torque Some(0.2250453039390804)
evaluation 7800: force 0.1764701463710848, moment 0.10858201122824555, torque Some(0.2250453039390804)
evaluation 8000: force 0.1764701463710848, moment 0.10858366462621247, torque Some(0.2250453039390804)
evaluation 8200: force 0.17588009005042035, moment 0.10661041367051302, torque Some(0.2252074666107322)
evaluation 8400: force 0.17588009005042035, moment 0.10661041367051302, torque Some(0.2252074666107322)
evaluation 8600: force 0.17588009005042035, moment 0.10661041367051302, torque Some(0.2252074666107322)
evaluation 8800: force 0.17588009005042035, moment 0.10661041367051302, torque Some(0.2252074666107322)
evaluation 9000: force 0.17588020102656596, moment 0.10661039714782397, torque Some(0.2252074666107322)
evaluation 9200: force 0.17570210833556354, moment 0.10664028109911879, torque Some(0.22522905400122994)
evaluation 9400: force 0.17570210833556354, moment 0.10664028109911879, torque Some(0.22522905378767377)
evaluation 9600: force 0.17570210833556354, moment 0.10664028109911879, torque Some(0.22522905400122994)
evaluation 9800: force 0.17570210833556354, moment 0.10664028109911879, torque Some(0.22522905400122994)
evaluation 10000: force 0.17570210833556354, moment 0.10664028109911879, torque Some(0.22522905400122994)
