evaluation 10: speed 0.187895, force 0.0802 N, moment 0.0258 Nm, torque margin -0.0122 Nm, penetration 0.000048 m
evaluation 20: speed 0.187895, force 0.0802 N, moment 0.0258 Nm, torque margin -0.0122 Nm, penetration 0.000048 m
evaluation 30: speed 0.187895, force 0.0802 N, moment 0.0258 Nm, torque margin -0.0122 Nm, penetration 0.000048 m
evaluation 40: speed 0.187895, force 0.0802 N, moment 0.0258 Nm, torque margin -0.0122 Nm, penetration 0.000048 m
evaluation 50: speed 0.187895, force 0.0802 N, moment 0.0258 Nm, torque margin -0.0122 Nm, penetration 0.000048 m
evaluation 60: speed 0.187895, force 0.0802 N, moment 0.0258 Nm, torque margin -0.0122 Nm, penetration 0.000048 m
evaluation 70: speed 0.187895, force 0.0797 N, moment 0.0256 Nm, torque margin -0.0122 Nm, penetration 0.000048 m
evaluation 80: speed 0.187895, force 0.0802 N, moment 0.0258 Nm, torque margin -0.0122 Nm, penetration 0.000048 m
evaluation 90: speed 0.187895, force 0.0807 N, moment 0.0260 Nm, torque margin -0.0122 Nm, penetration 0.000048 m
evaluation 100: speed 0.187895, force 0.0802 N, moment 0.0258 Nm, torque margin -0.0122 Nm, penetration 0.000048 m
evaluation 110: speed 0.187621, force 0.0656 N, moment 0.0211 Nm, torque margin -0.0112 Nm, penetration 0.000047 m
evaluation 120: speed 0.187638, force 0.0655 N, moment 0.0211 Nm, torque margin -0.0112 Nm, penetration 0.000047 m
evaluation 130: speed 0.187638, force 0.0655 N, moment 0.0211 Nm, torque margin -0.0112 Nm, penetration 0.000047 m
evaluation 140: speed 0.187638, force 0.0654 N, moment 0.0210 Nm, torque margin -0.0112 Nm, penetration 0.000047 m
evaluation 150: speed 0.187638, force 0.0647 N, moment 0.0208 Nm, torque margin -0.0111 Nm, penetration 0.000047 m
evaluation 160: speed 0.187638, force 0.0655 N, moment 0.0211 Nm, torque margin -0.0112 Nm, penetration 0.000047 m
evaluation 170: speed 0.187638, force 0.0655 N, moment 0.0211 Nm, torque margin -0.0112 Nm, penetration 0.000047 m
evaluation 180: speed 0.187638, force 0.0656 N, moment 0.0211 Nm, torque margin -0.0112 Nm, penetration 0.000047 m
evaluation 190: speed 0.187638, force 0.0655 N, moment 0.0211 Nm, torque margin -0.0112 Nm, penetration 0.000047 m
evaluation 200: speed 0.187638, force 0.0651 N, moment 0.0209 Nm, torque margin -0.0112 Nm, penetration 0.000047 m
evaluation 210: speed 0.187638, force 0.0655 N, moment 0.0211 Nm, torque margin -0.0112 Nm, penetration 0.000047 m
evaluation 220: speed 0.187578, force 0.0631 N, moment 0.0203 Nm, torque margin -0.0109 Nm, penetration 0.000046 m
evaluation 230: speed 0.187578, force 0.0644 N, moment 0.0207 Nm, torque margin -0.0109 Nm, penetration 0.000046 m
evaluation 240: speed 0.187578, force 0.0632 N, moment 0.0203 Nm, torque margin -0.0109 Nm, penetration 0.000046 m
evaluation 250: speed 0.187578, force 0.0632 N, moment 0.0203 Nm, torque margin -0.0109 Nm, penetration 0.000046 m
evaluation 260: speed 0.187578, force 0.0632 N, moment 0.0203 Nm, torque margin -0.0109 Nm, penetration 0.000046 m
evaluation 270: speed 0.187578, force 0.0632 N, moment 0.0204 Nm, torque margin -0.0109 Nm, penetration 0.000046 m
evaluation 280: speed 0.187578, force 0.0632 N, moment 0.0203 Nm, torque margin -0.0109 Nm, penetration 0.000046 m
evaluation 290: speed 0.187578, force 0.0629 N, moment 0.0202 Nm, torque margin -0.0109 Nm, penetration 0.000046 m
evaluation 300: speed 0.187578, force 0.0631 N, moment 0.0203 Nm, torque margin -0.0109 Nm, penetration 0.000046 m
evaluation 310: speed 0.187578, force 0.0632 N, moment 0.0203 Nm, torque margin -0.0109 Nm, penetration 0.000046 m
evaluation 320: speed 0.187400, force 0.0616 N, moment 0.0200 Nm, torque margin -0.0102 Nm, penetration 0.000044 m
evaluation 330: speed 0.187426, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0102 Nm, penetration 0.000044 m
evaluation 340: speed 0.187426, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0102 Nm, penetration 0.000044 m
evaluation 350: speed 0.187426, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0102 Nm, penetration 0.000044 m
evaluation 360: speed 0.187426, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0102 Nm, penetration 0.000044 m
evaluation 370: speed 0.187426, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0102 Nm, penetration 0.000044 m
evaluation 380: speed 0.187426, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0102 Nm, penetration 0.000044 m
evaluation 390: speed 0.187426, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0102 Nm, penetration 0.000044 m
evaluation 400: speed 0.187426, force 0.0609 N, moment 0.0198 Nm, torque margin -0.0102 Nm, penetration 0.000044 m
evaluation 410: speed 0.187426, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0102 Nm, penetration 0.000044 m
evaluation 420: speed 0.187426, force 0.0614 N, moment 0.0199 Nm, torque margin -0.0102 Nm, penetration 0.000044 m
evaluation 430: speed 0.187259, force 0.0625 N, moment 0.0203 Nm, torque margin -0.0099 Nm, penetration 0.000043 m
evaluation 440: speed 0.187259, force 0.0622 N, moment 0.0202 Nm, torque margin -0.0099 Nm, penetration 0.000043 m
evaluation 450: speed 0.187259, force 0.0624 N, moment 0.0202 Nm, torque margin -0.0099 Nm, penetration 0.000043 m
evaluation 460: speed 0.187259, force 0.0624 N, moment 0.0202 Nm, torque margin -0.0099 Nm, penetration 0.000043 m
evaluation 470: speed 0.187259, force 0.0624 N, moment 0.0202 Nm, torque margin -0.0099 Nm, penetration 0.000044 m
evaluation 480: speed 0.187259, force 0.0629 N, moment 0.0204 Nm, torque margin -0.0099 Nm, penetration 0.000043 m
evaluation 490: speed 0.187259, force 0.0624 N, moment 0.0202 Nm, torque margin -0.0099 Nm, penetration 0.000043 m
evaluation 500: speed 0.187259, force 0.0618 N, moment 0.0201 Nm, torque margin -0.0099 Nm, penetration 0.000043 m
evaluation 510: speed 0.187259, force 0.0624 N, moment 0.0202 Nm, torque margin -0.0099 Nm, penetration 0.000043 m
evaluation 520: speed 0.187259, force 0.0624 N, moment 0.0202 Nm, torque margin -0.0099 Nm, penetration 0.000043 m
evaluation 530: speed 0.186836, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 540: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 550: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 560: speed 0.186861, force 0.0578 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 570: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 580: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 590: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
evaluation 600: speed 0.186861, force 0.0579 N, moment 0.0188 Nm, torque margin -0.0094 Nm, penetration 0.000041 m
