evaluation 10: speed 0.078749, force 0.0482 N, moment 0.0156 Nm, torque margin -0.0869 Nm, penetration 0.000027 m
evaluation 20: speed 0.078749, force 0.0482 N, moment 0.0156 Nm, torque margin -0.0869 Nm, penetration 0.000027 m
evaluation 30: speed 0.078749, force 0.0482 N, moment 0.0156 Nm, torque margin -0.0869 Nm, penetration 0.000027 m
evaluation 40: speed 0.078749, force 0.0482 N, moment 0.0156 Nm, torque margin -0.0869 Nm, penetration 0.000027 m
evaluation 50: speed 0.078749, force 0.0482 N, moment 0.0156 Nm, torque margin -0.0869 Nm, penetration 0.000027 m
evaluation 60: speed 0.078749, force 0.0482 N, moment 0.0156 Nm, torque margin -0.0869 Nm, penetration 0.000027 m
evaluation 70: speed 0.078749, force 0.0482 N, moment 0.0156 Nm, torque margin -0.0869 Nm, penetration 0.000027 m
evaluation 80: speed 0.078749, force 0.0481 N, moment 0.0156 Nm, torque margin -0.0869 Nm, penetration 0.000027 m
evaluation 90: speed 0.078749, force 0.0481 N, moment 0.0156 Nm, torque margin -0.0869 Nm, penetration 0.000027 m
evaluation 100: speed 0.078749, force 0.0482 N, moment 0.0156 Nm, torque margin -0.0869 Nm, penetration 0.000027 m
evaluation 110: speed 0.067670, force 0.0420 N, moment 0.0136 Nm, torque margin -0.0532 Nm, penetration 0.000020 m
evaluation 120: speed 0.067676, force 0.0419 N, moment 0.0136 Nm, torque margin -0.0532 Nm, penetration 0.000020 m
evaluation 130: speed 0.067676, force 0.0419 N, moment 0.0136 Nm, torque margin -0.0532 Nm, penetration 0.000020 m
evaluation 140: speed 0.067676, force 0.0418 N, moment 0.0135 Nm, torque margin -0.0534 Nm, penetration 0.000020 m
evaluation 150: speed 0.067676, force 0.0419 N, moment 0.0136 Nm, torque margin -0.0532 Nm, penetration 0.000020 m
evaluation 160: speed 0.067676, force 0.0419 N, moment 0.0136 Nm, torque margin -0.0532 Nm, penetration 0.000020 m
evaluation 170: speed 0.067676, force 0.0419 N, moment 0.0136 Nm, torque margin -0.0532 Nm, penetration 0.000020 m
evaluation 180: speed 0.067676, force 0.0417 N, moment 0.0135 Nm, torque margin -0.0532 Nm, penetration 0.000020 m
evaluation 190: speed 0.067676, force 0.0419 N, moment 0.0136 Nm, torque margin -0.0532 Nm, penetration 0.000020 m
evaluation 200: speed 0.067676, force 0.0421 N, moment 0.0136 Nm, torque margin -0.0532 Nm, penetration 0.000020 m
